
[00:00:00.000 --> 00:00:04.080]  生命如光 行在光中
[00:00:04.080 --> 00:00:06.440]  在這裏告訴我們
[00:00:06.440 --> 00:00:08.120]  在人生裏面
[00:00:08.120 --> 00:00:12.520]  我們的生命應該要怎樣走
[00:00:12.520 --> 00:00:14.440]  記得在兩個星期之前
[00:00:14.440 --> 00:00:18.760]  我們已經開展了2022年的經卷開始
[00:00:18.760 --> 00:00:22.880]  就是用《約翰一書》來開始
[00:00:22.880 --> 00:00:27.400]  記得上次我們講到一節很重要的經文
[00:00:27.400 --> 00:00:31.200]  今天我們先來溫習一下
[00:00:31.200 --> 00:00:33.120]  這裏說到
[00:00:33.120 --> 00:00:35.880]  在一章五節裏這樣說
[00:00:35.880 --> 00:00:40.600]  「神就是光 在他毫無黑暗
[00:00:40.600 --> 00:00:43.480]  這是我們從主所見
[00:00:43.480 --> 00:00:47.080]  又報給你們的訊息」
[00:00:47.080 --> 00:00:51.080]  約翰將生命的訊息傳給信徒
[00:00:51.080 --> 00:00:55.000]  這個訊息就是「神就是光」
[00:00:55.000 --> 00:00:58.440]  在《約翰福音》和《約翰書信》裏
[00:00:58.440 --> 00:01:02.120]  作者很喜歡用到「光」字
[00:01:02.120 --> 00:01:07.600]  因為「光」是用來表示生命、希望和盼望
[00:01:07.600 --> 00:01:14.160]  相反「黑暗」是表示死亡、絕望和罪
[00:01:14.160 --> 00:01:17.920]  這節經文很清楚地告訴我們
[00:01:17.920 --> 00:01:20.600]  我們作為一個屬神的生命
[00:01:20.600 --> 00:01:26.200]  是應該像「光」一樣發光發熱
[00:01:26.200 --> 00:01:30.240]  如果你說你依然生活在黑暗當中
[00:01:30.240 --> 00:01:33.920]  就是未完全去認識神
[00:01:33.920 --> 00:01:36.800]  接下來我們會一起繼續看看
[00:01:36.800 --> 00:01:39.560]  今天我們要看的經文
[00:01:39.560 --> 00:01:42.400]  今天我們要看的經文是在
[00:01:42.400 --> 00:01:47.360]  一章第八節到二章的六節
[00:01:47.360 --> 00:01:49.600]  我們先開始看看
[00:01:49.600 --> 00:01:53.040]  約翰跟我們說甚麼?
[00:01:53.040 --> 00:01:58.080]  約翰才是講述罪和認罪
[00:01:58.080 --> 00:02:02.760]  他在第八節和第九節這樣說
[00:02:02.760 --> 00:02:06.000]  「我們若說自己沒有罪
[00:02:06.000 --> 00:02:08.760]  就是欺騙自己
[00:02:08.760 --> 00:02:12.320]  真理就不在我們裏了
[00:02:12.320 --> 00:02:15.120]  我們若認自己的罪
[00:02:15.120 --> 00:02:17.360]  神是信實的
[00:02:17.360 --> 00:02:19.120]  是公義的
[00:02:19.120 --> 00:02:21.760]  必要赦免我們的罪
[00:02:21.760 --> 00:02:26.160]  洗淨我們一切的不義」
[00:02:26.160 --> 00:02:29.920]  記得在約翰傳福音的時候
[00:02:29.920 --> 00:02:33.640]  這一群在他當中的信徒裏面
[00:02:33.640 --> 00:02:36.640]  有一些是錯誤地
[00:02:36.640 --> 00:02:40.600]  將這個信仰的認知告訴別人
