
[00:00:00.000 --> 00:00:05.520]  今天我們一同來思想另外一個神蹟
[00:00:05.520 --> 00:00:07.320]  在這個神蹟裏面
[00:00:07.320 --> 00:00:14.240]  我們不單止看到彼得怎樣來經歷耶穌基督在他身上的神蹟
[00:00:14.240 --> 00:00:21.520]  亦都是我們每一個人都應該在神的面前所經歷的神蹟
[00:00:21.520 --> 00:00:27.560]  所以我們一同來思想《路加福音》第五章第一至十一節
[00:00:27.560 --> 00:00:30.400]  這段經文請大家聽我讀
[00:00:30.400 --> 00:00:36.680]  當我讀的時候大家細心來思想裏面給我們的提醒和教導
[00:00:36.680 --> 00:00:39.760]  《路加福音》第五章第一節說
[00:00:39.760 --> 00:00:42.560]  耶穌站在甲尼撒勒湖邊
[00:00:42.560 --> 00:00:44.480]  眾人擁擠他
[00:00:44.480 --> 00:00:46.240]  要聽神的道
[00:00:46.240 --> 00:00:49.000]  他見有兩隻船彎在湖邊
[00:00:49.000 --> 00:00:53.000]  擺於的人卻離開船駛往去了
[00:00:53.000 --> 00:00:54.520]  有一隻船折西門的
[00:00:54.520 --> 00:00:56.000]  耶穌就上去
[00:00:56.000 --> 00:00:58.000]  請他把船拆開
[00:00:58.000 --> 00:00:59.400]  稍微離岸
[00:00:59.400 --> 00:01:03.040]  就坐下從船上教訓眾人
[00:01:03.040 --> 00:01:04.760]  講完了對西門說
[00:01:04.760 --> 00:01:06.840]  把船開到水深之處
[00:01:06.840 --> 00:01:08.560]  下網打魚
[00:01:08.560 --> 00:01:09.760]  西門說夫子
[00:01:09.760 --> 00:01:11.320]  我們整夜勞力
[00:01:11.320 --> 00:01:13.000]  並沒有打著什麼
[00:01:13.000 --> 00:01:14.440]  但依從你的話
[00:01:14.440 --> 00:01:15.920]  我就下網
[00:01:15.920 --> 00:01:19.400]  他們下了網就圈著許多魚
[00:01:19.400 --> 00:01:21.760]  網險些裂開
[00:01:21.760 --> 00:01:24.960]  便招呼那隻船上的同伴來幫助
[00:01:24.960 --> 00:01:26.200]  他們就來
[00:01:26.200 --> 00:01:28.760]  馬船裝滿了兩隻船
[00:01:28.760 --> 00:01:32.200]  就甚至船要沉下去
[00:01:32.200 --> 00:01:33.400]  西門彼得看見
[00:01:33.400 --> 00:01:35.960]  就俯伏在耶穌膝前
