
[00:00:00.000 --> 00:00:03.440]  淫婦這個名詞今天很少用
[00:00:03.440 --> 00:00:06.140]  因為隨著現在這個年代
[00:00:06.140 --> 00:00:11.640]  在講平等、講女權、性開放的世代
[00:00:11.640 --> 00:00:14.820]  很少人再聽到淫婦這個名詞
[00:00:14.820 --> 00:00:15.920]  不過在聖經裡面
[00:00:15.920 --> 00:00:18.920]  淫婦這個詞都挺常用的
[00:00:18.920 --> 00:00:21.420]  而它帶著一個特別的意思
[00:00:21.420 --> 00:00:24.760]  是講到一些屬於神的子民
[00:00:24.760 --> 00:00:27.460]  離棄神反而去敬拜一些用木
[00:00:27.460 --> 00:00:29.860]  或者用石頭製造的偶像
[00:00:29.860 --> 00:00:32.760]  今天我們所看的經文
[00:00:32.760 --> 00:00:35.300]  在《使徒約翰》看到這個異象裡面
[00:00:35.300 --> 00:00:37.200]  看到一個大淫婦
[00:00:37.200 --> 00:00:39.540]  那就很明顯了
[00:00:39.540 --> 00:00:41.840]  這個大淫婦在這個異象裡面出現
[00:00:41.840 --> 00:00:44.680]  並不是當她行淫的時候斷正
[00:00:44.680 --> 00:00:48.320]  所以就是被人所懲罰
[00:00:48.320 --> 00:00:49.380]  不是在講這件事
[00:00:49.380 --> 00:00:54.380]  而是講這個淫婦似乎很明顯是講到一個比喻
[00:00:54.380 --> 00:00:55.880]  這個比喻很明顯
[00:00:55.880 --> 00:00:58.200]  也是帶出一個很重要的訊息
[00:00:58.200 --> 00:00:59.160]  那什麼訊息呢?
[00:00:59.160 --> 00:01:00.560]  我們今天就來看看
[00:01:00.560 --> 00:01:02.500]  首先我們問的第一個問題就是
[00:01:02.500 --> 00:01:05.140]  這個淫婦是誰呢?
[00:01:05.140 --> 00:01:08.140]  我們來看看經文怎麼來形容這個淫婦
[00:01:08.140 --> 00:01:09.940]  第一節就告訴我們
[00:01:09.940 --> 00:01:12.440]  在《約翰》這個異象裡面
[00:01:12.440 --> 00:01:15.940]  淫婦是坐在縱水上
[00:01:15.940 --> 00:01:17.720]  而十五節就告訴我們
[00:01:17.720 --> 00:01:18.980]  縱水是什麼呢?
[00:01:18.980 --> 00:01:23.160]  縱水就是指多聞多人多國多方
[00:01:23.160 --> 00:01:23.960]  什麼意思呢?
[00:01:23.960 --> 00:01:25.160]  很明顯
[00:01:25.160 --> 00:01:29.660]  這個末世出現的淫婦
[00:01:29.660 --> 00:01:31.260]  無論是一個人物也好
[00:01:31.260 --> 00:01:32.360]  一個機構也好
[00:01:32.360 --> 00:01:34.600]  或者是一個勢力也好
[00:01:34.600 --> 00:01:35.900]  這個淫婦的影響力
[00:01:35.900 --> 00:01:38.600]  不是單是在某一個地方
[00:01:38.600 --> 00:01:40.740]  她的影響力是偏
[00:01:40.740 --> 00:01:42.940]  是很廣的
[00:01:42.940 --> 00:01:44.640]  我們再看第二節
