
[00:00:00.000 --> 00:00:06.000]  2017年過得怎樣?好嗎?
[00:00:06.000 --> 00:00:12.000]  2017年是一年很特別的一年
[00:00:12.000 --> 00:00:17.000]  在香港來說是回歸20年
[00:00:17.000 --> 00:00:21.000]  應該是一個很開心慶祝的日子
[00:00:21.000 --> 00:00:23.000]  不過對我來說
[00:00:23.000 --> 00:00:29.000]  我感覺好像1997年的心情愉快過2017年
[00:00:29.000 --> 00:00:32.000]  回歸20年
[00:00:32.000 --> 00:00:38.000]  好像對於回歸就越來越失去了一些興奮
[00:00:38.000 --> 00:00:47.000]  反而是更多的徬徨、無奈、焦慮在當中
[00:00:47.000 --> 00:00:50.000]  不知道前面會怎樣
[00:00:50.000 --> 00:00:53.000]  這個一國兩制的演變
[00:00:53.000 --> 00:00:57.000]  到底是一國吞滅了兩制
[00:00:57.000 --> 00:01:00.000]  還是仍然可以有兩制的存在
[00:01:00.000 --> 00:01:07.000]  所以當我想到今天是2017年最後一天
[00:01:07.000 --> 00:01:10.000]  面對2018年的來臨
[00:01:10.000 --> 00:01:15.000]  我就選擇了《爾賽亞書》第40章這一段經文
[00:01:15.000 --> 00:01:18.000]  來跟大家一起思想
[00:01:18.000 --> 00:01:24.000]  其實剛才我們讀少了中間那段
[00:01:24.000 --> 00:01:28.000]  12至26節都是我要講到的經文
[00:01:28.000 --> 00:01:32.000]  不過因為讀的經文又很長時間
[00:01:32.000 --> 00:01:35.000]  一天我要講到也很長時間
[00:01:35.000 --> 00:01:39.000]  所以中間這一段相對是放輕了一點
[00:01:39.000 --> 00:01:44.000]  我們會特別看頭和尾這一段的經文
[00:01:44.000 --> 00:01:51.000]  這一章的聖經其實對於信主的信徒來說
[00:01:51.000 --> 00:01:54.000]  不會很陌生
[00:01:54.000 --> 00:01:57.000]  裡面有一些經文我們都熟悉的
[00:01:57.000 --> 00:02:02.000]  特別是最後的《如英展翅上騰》
[00:02:02.000 --> 00:02:05.000]  這些經文我們都很熟悉
[00:02:05.000 --> 00:02:10.000]  不過我們熟悉的只是一些金句經文
[00:02:10.000 --> 00:02:14.000]  而這一章的聖經有什麼特別呢
[00:02:14.000 --> 00:02:19.000]  或者它的歷史背景到底是怎樣呢
[00:02:19.000 --> 00:02:22.000]  我們就不太了解
[00:02:22.000 --> 00:02:27.000]  這也是我選擇《爾賽亞書》的其中一個原因
[00:02:27.000 --> 00:02:33.000]  就是挑戰大家不要只對金句熟悉
[00:02:33.000 --> 00:02:38.000]  金句從哪裡出來都是很重要的
[00:02:38.000 --> 00:02:44.000]  那一段金句出來的大範圍都是很重要的
[00:02:44.000 --> 00:02:47.000]  會不會我們讀聖經不只是讀金句
[00:02:47.000 --> 00:02:51.000]  而是要認識到那一章裡面說什麼
[00:02:51.000 --> 00:02:53.000]  那一本書裡面說什麼
