
[00:00:00.000 --> 00:00:06.160]  今天想和大家分享的經文是《約翰福音》一章二十九到四十二節
[00:00:06.160 --> 00:00:09.720]  這段聖經在《約翰福音》一開始的時間
[00:00:09.720 --> 00:00:12.080]  我不知道你們有沒有印象這段聖經
[00:00:12.080 --> 00:00:14.660]  這段聖經在講很特別的東西
[00:00:14.660 --> 00:00:19.840]  在講耶穌和安德烈和彼得的一個相遇
[00:00:19.840 --> 00:00:23.760]  其中一個很重要的問題也是今天我給的講題
[00:00:23.760 --> 00:00:26.940]  你們要什麼
[00:00:26.940 --> 00:00:29.140]  如果現在有人問你
[00:00:29.140 --> 00:00:31.160]  喂!你想要什麼?
[00:00:31.160 --> 00:00:32.040]  錢!
[00:00:32.040 --> 00:00:34.520]  這個答案多快!錢!
[00:00:34.520 --> 00:00:35.560]  還有沒有?
[00:00:35.560 --> 00:00:36.480]  你想要什麼?
[00:00:36.480 --> 00:00:37.260]  (身體健康)
[00:00:37.260 --> 00:00:38.720]  身體健康
[00:00:38.720 --> 00:00:41.840]  還有?你想要什麼?
[00:00:41.840 --> 00:00:43.340]  沒有了
[00:00:43.340 --> 00:00:45.360]  還有呢?
[00:00:45.360 --> 00:00:47.560]  還有呢?
[00:00:47.560 --> 00:00:48.600]  沒有答案了
[00:00:48.600 --> 00:00:49.360]  只有兩個答案
[00:00:49.360 --> 00:00:51.760]  錢和身體健康
[00:00:51.760 --> 00:00:52.800]  有沒有第三個答案?
[00:00:52.800 --> 00:00:53.760]  (心想事成)
[00:00:53.760 --> 00:00:55.120]  心想事成
[00:00:55.120 --> 00:00:57.600]  現在不是拜年
[00:00:57.600 --> 00:00:59.320]  (快要是初一了)
[00:00:59.320 --> 00:01:01.360]  對了,快要是初一了
[00:01:01.360 --> 00:01:02.560]  不過不是拜年
[00:01:02.560 --> 00:01:03.520]  不過可能有人問
[00:01:03.520 --> 00:01:05.440]  牧師你講而已
[00:01:05.440 --> 00:01:06.920]  我問你要什麼
[00:01:06.920 --> 00:01:08.240]  牧師能給你什麼?
[00:01:08.240 --> 00:01:10.800]  沒什麼可以給你,所以不用回答
[00:01:10.800 --> 00:01:13.560]  這個你們要什麼是誰問的?
[00:01:13.560 --> 00:01:15.520]  耶穌問的
[00:01:15.520 --> 00:01:18.160]  這段經文第一個對我來講最重要的就是
[00:01:18.160 --> 00:01:20.920]  如果我是當時跟着耶穌的人
[00:01:20.920 --> 00:01:23.720]  這裏說的應該是其中一個是安德烈
[00:01:23.720 --> 00:01:25.280]  你跟着耶穌的人叫你跟着耶穌
[00:01:25.280 --> 00:01:26.560]  跟着耶穌另一個人問你
[00:01:26.560 --> 00:01:28.200]  你想要什麼?
[00:01:28.200 --> 00:01:30.280]  如果你知道那個是耶穌
