
[00:00:00.000 --> 00:00:08.220]  我想問問大家有沒有試過認為人生一個低谷的時候呢?
[00:00:08.220 --> 00:00:11.060]  看我,是甚麼呢?
[00:00:11.060 --> 00:00:15.020]  當然是你自己知道,未必別人看到的
[00:00:15.020 --> 00:00:22.000]  那些球員人生低谷,可能是狀態不好
[00:00:22.000 --> 00:00:25.560]  好像我來說,我喜歡踢球
[00:00:25.560 --> 00:00:29.440]  覺得三五長球不入球已經是低潮
[00:00:29.440 --> 00:00:33.100]  當然這是在說踢球的狀態
[00:00:33.100 --> 00:00:36.000]  但是如果說人生的低谷
[00:00:36.000 --> 00:00:39.440]  很可能你會想到,有人破產
[00:00:39.440 --> 00:00:45.800]  我們理財不善,或者做生意失敗
[00:00:45.800 --> 00:00:52.400]  或者婚姻失敗,中間有很多問題挫折
[00:00:52.400 --> 00:01:02.600]  或者甚至離婚,或者事業,工作去了一個瓶頸的職位
[00:01:02.600 --> 00:01:07.000]  沒辦法再攀升,或者好像停留在一個階段
[00:01:07.000 --> 00:01:10.100]  都可能是你認為人生的低谷
[00:01:10.100 --> 00:01:14.800]  讀書都會的,留班,突然間再讀一年
[00:01:14.800 --> 00:01:18.300]  又是你自己去到一個人生的低谷
[00:01:18.300 --> 00:01:22.700]  還有很多很多,你可能會覺得自己是人生的低谷
[00:01:22.700 --> 00:01:24.500]  有很多的情況
[00:01:24.500 --> 00:01:27.900]  當然你會發覺,從一個低谷再回來
[00:01:27.900 --> 00:01:31.800]  又再賺錢,生意再好了
[00:01:31.800 --> 00:01:36.300]  工作得到賞識,學業進步
[00:01:36.300 --> 00:01:39.000]  婚姻家庭美滿,你就覺得
[00:01:39.000 --> 00:01:43.300]  這個開始攀回人生的高峰
[00:01:43.300 --> 00:01:47.500]  很多人都會這樣去看一個人生的低谷
[00:01:47.500 --> 00:01:52.300]  我們從這段經文,或者從大衛的生平去看的時候
[00:01:52.300 --> 00:01:57.300]  你發覺到大衛所認為的人生的低谷
[00:01:57.300 --> 00:02:02.600]  不是說他現在被這個阿撒隆叛變
[00:02:02.600 --> 00:02:04.600]  就是趕走了他出來皇宮
[00:02:04.600 --> 00:02:10.400]  已經好像被皇位都沒有了
[00:02:10.400 --> 00:02:13.500]  他會認為人生的低谷就是
[00:02:13.500 --> 00:02:18.000]  他和神的關係是去到一個冰點
[00:02:18.000 --> 00:02:20.700]  就是人生的低谷
[00:02:20.700 --> 00:02:24.700]  今天你和神的關係如何呢?
[00:02:24.700 --> 00:02:29.000]  是不是一個長期停滯不前呢?
[00:02:29.000 --> 00:02:35.900]  還是一個循例式的禱告、祈禱、回教會呢?
[00:02:35.900 --> 00:02:39.600]  或者是,當然有些已經不在我們當中
[00:02:39.600 --> 00:02:44.700]  沒有來崇拜,或者已經忘記了神
[00:02:44.700 --> 00:02:49.800]  這個才是值得我們去留意的人生低谷
[00:02:49.800 --> 00:02:52.400]  今天,就算我們坐在這裡
[00:02:52.400 --> 00:02:55.800]  可能都是我們人生的低谷
[00:02:55.800 --> 00:03:00.300]  因為我們和神的關係是沒有最親密
[00:03:00.300 --> 00:03:03.500]  沒有有連接,或者很疏遠
[00:03:03.500 --> 00:03:08.300]  即使我剛才所說,家庭生活美滿
[00:03:08.300 --> 00:03:11.500]  即使你的工作大有前景
[00:03:11.500 --> 00:03:15.400]  即使你學業美好
[00:03:15.400 --> 00:03:20.700]  即使各樣你覺得順利、有財有勢
[00:03:20.700 --> 00:03:26.900]  但是,這個未必是你人生的高潮
[00:03:26.900 --> 00:03:34.200]  當你和神的關係處於一個冰點
[00:03:34.200 --> 00:03:42.300]  處於一個冷漠,或者沒有尋求神的心意
[00:03:42.300 --> 00:03:45.100]  自己繼續的生活
[00:03:45.100 --> 00:03:49.200]  若即若離,可有可無的信仰
[00:03:49.200 --> 00:03:53.600]  其實你已經到了人生的低谷
[00:03:53.600 --> 00:03:55.500]  經過四年的籌劃
[00:03:55.500 --> 00:04:01.300]  阿撒隆終於去叛變大胃王
[00:04:01.300 --> 00:04:04.900]  從民眾中得掠民心
[00:04:04.900 --> 00:04:07.700]  他有把握知道民心所向
[00:04:07.700 --> 00:04:10.400]  所以在喜帕倫自立為王
[00:04:10.400 --> 00:04:16.100]  接著直搗黃龍,去到耶路撒冷
[00:04:16.100 --> 00:04:18.500]  去到大胃的皇宮
[00:04:18.500 --> 00:04:23.200]  去暗殺大胃,趕絕這班軍臣
[00:04:23.200 --> 00:04:30.300]  大胃為了不想有流血的事件
[00:04:30.300 --> 00:04:34.300]  或者大胃他自己不用軍隊去抵抗
[00:04:34.300 --> 00:04:37.300]  他選擇了逃跑
[00:04:37.300 --> 00:04:41.200]  選擇了逃亡去曠野裏面
[00:04:41.200 --> 00:04:45.600]  去保存他的性命
