
[00:00:00.000 --> 00:00:04.320]  今天要和大家分享的訊息就是
[00:00:04.320 --> 00:00:07.120]  打開聖經
[00:00:07.120 --> 00:00:09.720]  量熱生命
[00:00:09.720 --> 00:00:16.000]  究竟為什麼一群跟隨耶穌的人
[00:00:16.000 --> 00:00:20.280]  他經歷耶穌之後
[00:00:20.280 --> 00:00:22.000]  遇見復活主
[00:00:22.000 --> 00:00:24.600]  究竟二馬五司路上
[00:00:24.600 --> 00:00:28.000]  這兩個門徒是遇到什麼呢?
[00:00:28.000 --> 00:00:30.800]  一會兒我會和大家一起分享
[00:00:30.800 --> 00:00:32.600]  在分享之前
[00:00:32.600 --> 00:00:34.600]  我想和大家分享一下
[00:00:34.600 --> 00:00:36.600]  究竟今天在美國
[00:00:36.600 --> 00:00:40.800]  美國人對聖經的看法是怎樣的呢?
[00:00:40.800 --> 00:00:46.800]  在今年有一個這樣的survey
[00:00:46.800 --> 00:00:50.000]  在2017年來做的
[00:00:50.000 --> 00:00:54.400]  究竟美國人對聖經的看法是怎樣的?
[00:00:54.400 --> 00:01:00.400]  原來他們讀經認為聖經是一本神聖的書
[00:01:00.400 --> 00:01:03.400]  有82%
[00:01:03.400 --> 00:01:06.400]  值得注意的是
[00:01:06.400 --> 00:01:11.000]  美國人對可蘭經,對托拉,Torah
[00:01:11.000 --> 00:01:15.000]  是猶太的舊約聖經
[00:01:15.000 --> 00:01:18.400]  摩門經是逐年上升的
[00:01:18.400 --> 00:01:21.400]  可蘭經在2011年的時間
[00:01:21.400 --> 00:01:25.400]  是10%而已,現在已經升到21%
[00:01:25.400 --> 00:01:28.400]  每一個人家裏有多少本聖經呢?
[00:01:28.400 --> 00:01:29.400]  美國人大約有三本
[00:01:29.400 --> 00:01:32.400]  我想問一下這裡,做一個調查
[00:01:32.400 --> 00:01:37.400]  哪個你們的手機已經下載了聖經的呢?
[00:01:37.400 --> 00:01:39.400]  舉手
[00:01:39.400 --> 00:01:42.400]  差不多全部
[00:01:42.400 --> 00:01:46.400]  所以其實你不單止有三本
[00:01:46.400 --> 00:01:47.400]  你有幾百幾千本
[00:01:47.400 --> 00:01:52.400]  因為不同的版本的聖經都有
[00:01:52.400 --> 00:01:54.400]  他們的讀經習慣是什麼呢?
[00:01:54.400 --> 00:01:59.400]  從未讀過聖經是有32%
[00:01:59.400 --> 00:02:04.400]  每年讀一至兩次是8%
[00:02:04.400 --> 00:02:06.400]  每個星期讀四次以上14%
[00:02:06.400 --> 00:02:09.400]  每天讀是16%
[00:02:09.400 --> 00:02:13.400]  基督徒而言,每天讀只是41%
[00:02:13.400 --> 00:02:17.400]  即是有大約六成沒有每天讀
[00:02:17.400 --> 00:02:19.400]  每個星期讀四次左右33%
[00:02:19.400 --> 00:02:24.400]  即是有七成是每個星期少於四次
[00:02:24.400 --> 00:02:26.400]  讀經的動機是甚麼呢?
[00:02:26.400 --> 00:02:27.400]  為甚麼要讀經呢?
[00:02:27.400 --> 00:02:31.400]  聖經說話引領他們更加親近神
[00:02:31.400 --> 00:02:34.400]  有68%
[00:02:34.400 --> 00:02:37.400]  而基督徒有87%
[00:02:37.400 --> 00:02:41.400]  我相信這是一個最大的動機
[00:02:41.400 --> 00:02:44.400]  自然神的話語就是一個神聖的啟示
[00:02:44.400 --> 00:02:50.400]  是今天,過去,現在,將來都給我們有指引
[00:02:50.400 --> 00:02:52.400]  是我們生活不可或缺
