
[00:00:00.000 --> 00:00:03.280]  《聖經人》《聖經事》今天來到一個很特別的人物
[00:00:03.280 --> 00:00:07.560]  又是一個人,聖經人物是第一位以色列的士司
[00:00:07.560 --> 00:00:12.560]  在《士司記》裡面的第一位士司就是俄陀涅
[00:00:12.560 --> 00:00:15.320]  新穎雪很想大家一起讀《聖經》
[00:00:15.320 --> 00:00:19.640]  今天向大家介紹第一位士司俄陀涅
[00:00:19.640 --> 00:00:23.000]  這個人物很重要的
[00:00:23.000 --> 00:00:27.680]  不過在這個經文裡面沒有提到俄陀涅
[00:00:27.680 --> 00:00:30.760]  做過什麼事的細節
[00:00:30.760 --> 00:00:33.240]  他怎樣帶兵打仗,他沒有說
[00:00:33.240 --> 00:00:36.040]  怎樣殺死對方的元首,他沒有說
[00:00:36.040 --> 00:00:39.240]  怎樣殺對方的王,他沒有說
[00:00:39.240 --> 00:00:42.640]  只說他勝過了
[00:00:42.640 --> 00:00:46.320]  看看《士司記》第三章
[00:00:46.320 --> 00:00:48.720]  循環開始
[00:00:48.720 --> 00:00:52.480]  以色列人行謠說
[00:00:52.480 --> 00:00:57.640]  「眼中看為惡的事」
[00:00:57.640 --> 00:01:02.480]  我看在眼裡覺得你這樣行是很差很錯
[00:01:02.480 --> 00:01:04.600]  惡的
[00:01:04.600 --> 00:01:07.680]  「看為惡的事」「眼中看為惡的事」
[00:01:07.680 --> 00:01:10.400]  「行謠說眼中為惡的事」
[00:01:10.400 --> 00:01:14.200]  在舊約聖經出現過很多次
[00:01:14.200 --> 00:01:19.080]  王、人行謠說眼中為惡的事,很多
[00:01:19.080 --> 00:01:23.240]  以色列人當時入了迦南不久後,約書死了
[00:01:23.240 --> 00:01:27.800]  長老都死了,連入了迦南的第一代都死了
[00:01:27.800 --> 00:01:30.160]  於是有新的一代人興起
[00:01:30.160 --> 00:01:33.320]  他們行耶和華眼中看為惡的事
[00:01:33.320 --> 00:01:37.800]  究竟怎樣惡法,行什麼不對
[00:01:37.800 --> 00:01:40.400]  忘記耶和華,他們不對之處
[00:01:40.400 --> 00:01:42.200]  神很不高興的是什麼呢
[00:01:42.200 --> 00:01:45.280]  是忘記耶和華他們的神
[00:01:45.280 --> 00:01:46.920]  第一是忘記了神
[00:01:46.920 --> 00:01:49.320]  神有那麼多恩典帶領他們仙祖出來
[00:01:49.320 --> 00:01:52.160]  忘記了,給了他們律法,他們不理
[00:01:52.160 --> 00:01:55.120]  不記得看,不重要
[00:01:55.120 --> 00:01:58.480]  而走去除了忘記
[00:01:58.480 --> 00:02:00.960]  這個惡第一樣就是忘記耶和華
[00:02:00.960 --> 00:02:05.080]  第二樣是去侍奉巴力亞瑟拉
[00:02:05.080 --> 00:02:09.400]  這個朱巴力亞瑟拉是什麼呢
[00:02:09.400 --> 00:02:13.480]  都說了他們在迦南地這麼多民族
[00:02:13.480 --> 00:02:17.880]  他們都有自己當日不同敬拜的神
[00:02:17.880 --> 00:02:21.920]  通稱巴力亞瑟拉
[00:02:21.920 --> 00:02:26.600]  這個族有他的巴力,這個族有他的巴力
[00:02:26.600 --> 00:02:33.160]  巴力亞瑟拉的意思是主或主人
