
[00:00:00.000 --> 00:00:03.360]  今天為大家揀選了一個課題
[00:00:03.360 --> 00:00:05.360]  命題比較長
[00:00:05.360 --> 00:00:08.200]  從憂傷痛悔到柔和謙卑
[00:00:08.200 --> 00:00:11.320]  因為這個問題是我經常思考的
[00:00:11.320 --> 00:00:16.600]  我想這個問題讓我想起70年代
[00:00:16.600 --> 00:00:22.000]  那時我由中學到大學經常看《時代雜誌》
[00:00:22.000 --> 00:00:26.760]  整整兩三年經常報一件事
[00:00:26.760 --> 00:00:30.920]  在美國華盛頓尼克遜總統
[00:00:30.920 --> 00:00:32.920]  有這個水門事件
[00:00:32.920 --> 00:00:37.960]  繞了足足兩年他都揮之不去
[00:00:37.960 --> 00:00:40.680]  他要辭職下台
[00:00:40.680 --> 00:00:44.360]  而他有很多幕僚都入了監
[00:00:44.360 --> 00:00:46.360]  其中一個叫Chuck Colson
[00:00:46.360 --> 00:00:49.800]  就在這張照片的右邊
[00:00:49.800 --> 00:00:53.000]  Chuck Colson入了監之後
[00:00:53.000 --> 00:00:56.040]  他在監倉裏面信了主耶穌
[00:00:56.040 --> 00:01:00.680]  而信主之後他個人有一個很大的改變
[00:01:00.680 --> 00:01:05.400]  所以他出來之後成立了一個Prison Fellowship
[00:01:05.400 --> 00:01:09.040]  而在美國過去這幾十年
[00:01:09.040 --> 00:01:12.240]  都有很大的成果
[00:01:12.240 --> 00:01:16.440]  在2008年時President George W. Bush
[00:01:16.440 --> 00:01:21.720]  頒了一個Presidential Citizen Award給Chuck Colson
[00:01:21.720 --> 00:01:24.760]  Chuck Colson寫了很多本書
[00:01:24.760 --> 00:01:27.360]  有一本叫《Born Again》
[00:01:27.360 --> 00:01:31.920]  有另一本叫《From Watergate to Inner Peace》
[00:01:31.920 --> 00:01:41.960]  由水門事件到心裏面有個平安平靜的領袖
[00:01:41.960 --> 00:01:47.040]  內心的平安是我們每個人都會追求的
[00:01:47.040 --> 00:01:52.600]  所以我今天和大家選的聖經有兩段
[00:01:52.600 --> 00:01:55.160]  第一段是詩篇五十一篇
[00:01:55.160 --> 00:01:57.160]  我讀給大家聽聽
[00:01:57.160 --> 00:02:01.400]  「神下求你為我做清潔的心
[00:02:01.400 --> 00:02:04.960]  使我裏面重新有淨植的靈
[00:02:04.960 --> 00:02:07.320]  神下憂傷痛悔的心
[00:02:07.320 --> 00:02:08.800]  你必不倖寒」
[00:02:08.800 --> 00:02:13.440]  這是大衛王作為詩人所寫的一篇詩
[00:02:13.440 --> 00:02:15.440]  他犯了大罪之後
[00:02:15.440 --> 00:02:20.280]  他寫了一個悔改的詩歌
[00:02:20.280 --> 00:02:22.720]  舊約看到新約在新約的時候
[00:02:22.720 --> 00:02:24.040]  在《馬太福音》
[00:02:24.040 --> 00:02:27.040]  主耶穌說過一段這樣的說話
[00:02:27.040 --> 00:02:30.200]  其實是很豐富的說話
[00:02:30.200 --> 00:02:32.200]  我和大家說說
