
[00:00:00.000 --> 00:00:06.840]  好 那麼我們今天的講道題目是多結恩慈的果子
[00:00:06.840 --> 00:00:10.620]  那麼這是我們講聖靈的果子
[00:00:10.620 --> 00:00:14.300]  聖靈一個果子 但是有九個特徵
[00:00:14.300 --> 00:00:17.500]  那麼我們今天講到這恩慈的果子
[00:00:17.500 --> 00:00:22.400]  我們很希望普通羣體的弟兄姐妹
[00:00:22.400 --> 00:00:27.360]  有一個怎麼樣的聖靈的結束的果子的生命
[00:00:27.360 --> 00:00:30.580]  以後呢 無論是哪一個新朋友來到這裏呢
[00:00:30.580 --> 00:00:33.320]  進來的話 跟任何人交談
[00:00:33.320 --> 00:00:36.800]  跟任何人一起有團聚的時間分享的時候呢
[00:00:36.800 --> 00:00:41.160]  他們都會發現港福堂普通話的弟兄姐妹
[00:00:41.160 --> 00:00:42.900]  有一個很清楚的特徵的
[00:00:42.900 --> 00:00:46.160]  就是每個人都有聖靈的果子的特質在裏
[00:00:46.160 --> 00:00:50.240]  所以我們已經講了好幾個聖靈果子的特質了
[00:00:50.240 --> 00:00:52.920]  你有時間的話 你要做個人的退休
[00:00:52.920 --> 00:00:55.680]  我建議你回去聽我們的錄音
[00:00:55.680 --> 00:01:00.640]  讓上帝賜給我們的話語成爲你生命的幫助
[00:01:00.640 --> 00:01:04.160]  今天我們要講的是多結恩慈的果子
[00:01:04.160 --> 00:01:07.060]  那麼我們很熟悉的一段經文對不對
[00:01:07.060 --> 00:01:09.920]  大家可不可以一起大聲地念啊 好不好
[00:01:09.920 --> 00:01:11.740]  好 一 二 三
[00:01:11.740 --> 00:01:13.960]  聖靈所結的果子
[00:01:13.960 --> 00:01:22.880]  就是仁愛 喜樂 和平 忍耐 恩慈 良善 信實 溫柔 節制
[00:01:22.880 --> 00:01:26.640]  這樣的是沒有律法禁止
[00:01:26.640 --> 00:01:32.680]  好 今天我會跟大家看看什麼是恩慈
[00:01:32.680 --> 00:01:34.880]  恩慈爲什麼重要
[00:01:34.880 --> 00:01:38.040]  恩慈爲什麼容易被忽略
[00:01:38.040 --> 00:01:42.760]  還有我們要怎樣才能夠多結恩慈的果子
[00:01:42.760 --> 00:01:47.680]  那麼我們會怎麼樣解釋恩慈的意思呢
[00:01:47.680 --> 00:01:49.840]  如果要你解釋什麼是恩慈
[00:01:49.840 --> 00:01:52.960]  你會說什麼呢 你的定義是什麼
[00:01:52.960 --> 00:01:55.080]  你想想看
[00:01:55.080 --> 00:01:58.280]  你想一個詞 然後你跟旁邊的人說
[00:01:58.280 --> 00:02:01.040]  你的恩慈的定義是什麼
[00:02:01.040 --> 00:02:11.400]  啊 慈愛 還有呢 恩典 還有呢 恩慧 很多啊
