
[00:00:00.000 --> 00:00:02.440]  各位全因堂的弟兄姊妹
[00:00:02.440 --> 00:00:04.400]  祝你們新年快樂
[00:00:04.400 --> 00:00:05.800]  身體健康
[00:00:05.800 --> 00:00:07.280]  這裡一進來就很溫暖
[00:00:07.280 --> 00:00:08.640]  因為向東
[00:00:08.640 --> 00:00:10.480]  有一扇窗
[00:00:10.480 --> 00:00:11.880]  有太陽進來
[00:00:11.880 --> 00:00:14.280]  不用穿得很厚的站上來
[00:00:14.280 --> 00:00:16.480]  也是神的恩典
[00:00:16.480 --> 00:00:18.680]  今天跟大家分享的題目
[00:00:18.680 --> 00:00:21.880]  剛才主席也有帶出來
[00:00:21.880 --> 00:00:23.400]  就是《耶利米書》
[00:00:23.400 --> 00:00:25.200]  其實我今年對我自己的堂會
[00:00:25.200 --> 00:00:29.200]  都會主要講述《耶利米書》
[00:00:29.200 --> 00:00:30.000]  這本書
[00:00:30.000 --> 00:00:33.000]  因為舊約的書卷的講道
[00:00:33.000 --> 00:00:34.680]  就不是很多的
[00:00:34.680 --> 00:00:37.880]  我也希望弟兄姊妹有機會
[00:00:37.880 --> 00:00:39.680]  去接觸多一些舊約的書卷
[00:00:39.680 --> 00:00:41.600]  特別是《大仙之書》
[00:00:41.600 --> 00:00:44.840]  今年不知道大家有沒有看《煙花》
[00:00:44.840 --> 00:00:47.040]  因為我很多年都沒有在香港
[00:00:47.040 --> 00:00:49.200]  過除夕夜
[00:00:49.200 --> 00:00:52.000]  今年家人全都在
[00:00:52.000 --> 00:00:54.000]  我們去看《煙花》在尖沙咀
[00:00:54.000 --> 00:00:55.800]  是特別漂亮的
[00:00:55.800 --> 00:00:58.400]  我們已經進入了2025年
[00:00:58.400 --> 00:00:59.400]  很快的
[00:00:59.400 --> 00:01:00.200]  我們結束了新歷年
[00:01:00.200 --> 00:01:02.480]  接著就是舊歷年
[00:01:02.480 --> 00:01:03.600]  就是最後一星期
[00:01:03.600 --> 00:01:05.200]  一月已經是舊歷年
[00:01:05.200 --> 00:01:06.640]  就是蛇年
[00:01:06.640 --> 00:01:09.800]  那有沒有數算過日子
[00:01:09.800 --> 00:01:12.200]  今年2025年代表什麼
[00:01:12.200 --> 00:01:15.280]  代表21世紀我們過了四分之一
[00:01:15.280 --> 00:01:16.080]  四分之一了
[00:01:16.080 --> 00:01:17.680]  21世紀
[00:01:17.680 --> 00:01:22.080]  如果你2000年之前出生的
[00:01:22.080 --> 00:01:25.400]  舉手
[00:01:25.400 --> 00:01:27.880]  應該很多人在這裡舉手
[00:01:27.880 --> 00:01:29.480]  你很威風了
[00:01:29.480 --> 00:01:32.600]  你是住了兩個世紀的人
[00:01:32.600 --> 00:01:35.200]  不是這麼多人有機會住兩個世紀的
[00:01:35.200 --> 00:01:36.640]  其實是很威風的
[00:01:36.640 --> 00:01:38.480]  可以講很多歷史的
[00:01:38.480 --> 00:01:40.000]  所以我們處於一個
[00:01:40.000 --> 00:01:42.640]  很奇妙的獨特的時間
[00:01:42.640 --> 00:01:44.280]  我們留在這裡的人
[00:01:44.280 --> 00:01:46.680]  其實我們會見證很多事情
[00:01:46.680 --> 00:01:48.200]  但是我們作為基督徒
[00:01:48.200 --> 00:01:51.600]  我們在見證我們身邊所發生的事情
[00:01:51.600 --> 00:01:54.000]  其實不是只看這麼簡單的
[00:01:54.000 --> 00:01:56.800]  其實每一個基督徒都有一個使命的
[00:01:56.800 --> 00:01:58.000]  就是先知
[00:01:58.000 --> 00:02:00.640]  講先知的說話
[00:02:00.640 --> 00:02:03.400]  不是說你能夠預測香港未來
[00:02:03.400 --> 00:02:06.000]  經濟我們能不能夠解決財赤
[00:02:06.000 --> 00:02:06.800]  而是每一個基督徒
[00:02:06.800 --> 00:02:09.680]  我們有聖經有神的啟示的時候
[00:02:09.680 --> 00:02:11.680]  我們用聖經去看
[00:02:11.680 --> 00:02:14.680]  現在這個世代發生的事情
[00:02:14.680 --> 00:02:16.280]  所以每一個基督徒
[00:02:16.280 --> 00:02:20.280]  其實在神的救贖當中
[00:02:20.280 --> 00:02:21.680]  都給我們一個責任
[00:02:21.680 --> 00:02:25.800]  就是去講一些先知應有的聖音
[00:02:25.800 --> 00:02:27.680]  是讓不信的世代
[00:02:27.680 --> 00:02:30.400]  知道我們經歷的是什麼事情
[00:02:30.400 --> 00:02:32.480]  因為今天我講耶利米先知
[00:02:32.480 --> 00:02:35.800]  所以我想講一講耶利米是什麼人
[00:02:35.800 --> 00:02:38.480]  耶利米在這一章
[00:02:38.480 --> 00:02:40.480]  剛才讀的經文裡面
[00:02:40.480 --> 00:02:42.480]  神去呼召他
[00:02:42.480 --> 00:02:44.480]  神呼召耶利米
[00:02:44.480 --> 00:02:47.080]  其實當時神呼召他的時候
[00:02:47.080 --> 00:02:50.880]  說耶利米你要做我的代言人
[00:02:50.880 --> 00:02:53.080]  代言人我們今天聽很聽
[00:02:53.080 --> 00:02:55.280]  代言人當然有錢收
[00:02:55.280 --> 00:02:58.080]  但是當時的代言人是沒有錢收
[00:02:58.080 --> 00:03:00.680]  先知就是神的代言人
[00:03:00.680 --> 00:03:05.880]  神要差派耶利米做一些很特別的事情
[00:03:05.880 --> 00:03:07.480]  是什麼特別的事情
[00:03:07.480 --> 00:03:11.680]  其實他要向他自己的本族本民
[00:03:11.680 --> 00:03:14.680]  去宣告一些事情
[00:03:14.680 --> 00:03:16.480]  如果很消息的話
[00:03:16.480 --> 00:03:19.480]  買一些很對人有用的產品
[00:03:19.480 --> 00:03:20.680]  大家開心吧
[00:03:20.680 --> 00:03:23.080]  但是耶利米將要宣告的
[00:03:23.080 --> 00:03:26.280]  原來是神對猶大人的審判
[00:03:26.280 --> 00:03:27.680]  因為猶大國
[00:03:27.680 --> 00:03:29.080]  猶大的民族
[00:03:29.080 --> 00:03:33.280]  他們叛逆神已經去到一個水平
[00:03:33.280 --> 00:03:34.480]  已經沒有回頭
[00:03:34.480 --> 00:03:37.480]  神說我要施行我的審判
[00:03:37.480 --> 00:03:39.880]  你們整天以為我是你們的神
[00:03:39.880 --> 00:03:41.880]  你是我揀選的子民
[00:03:41.880 --> 00:03:43.880]  坐在一塊地上沒事的
[00:03:43.880 --> 00:03:46.280]  我們做什麼神都不管
[00:03:46.280 --> 00:03:48.480]  但是到了耶利米這個時代的時候
[00:03:48.480 --> 00:03:50.080]  神說先知
[00:03:50.080 --> 00:03:52.480]  你去告訴我的子民
[00:03:52.480 --> 00:03:54.080]  大難臨頭
[00:03:54.080 --> 00:03:57.880]  你們的車已經撞牆
[00:03:57.880 --> 00:03:59.480]  快要車毀人亡
[00:03:59.480 --> 00:04:01.480]  我就要對你們私人審判
[00:04:01.480 --> 00:04:04.480]  所以耶利米要宣告的不是好訊息
[00:04:04.480 --> 00:04:05.880]  對以色列人來說
[00:04:05.880 --> 00:04:08.280]  是一個不好的消息
[00:04:08.280 --> 00:04:09.880]  自然這件職責
[00:04:09.880 --> 00:04:11.880]  不是他很喜歡的職責
[00:04:11.880 --> 00:04:14.080]  所以神有時候邀請我們的時候
[00:04:14.080 --> 00:04:19.080]  不是用我們期待和渴望的方式出現的
[00:04:19.080 --> 00:04:21.680]  有時候神叫你幫他做一些事情服侍他的時候
[00:04:21.680 --> 00:04:23.480]  幫他派你去一些地方
[00:04:23.480 --> 00:04:24.680]  給你一些角色
[00:04:24.680 --> 00:04:26.880]  不是你很喜歡做的
[00:04:26.880 --> 00:04:29.080]  今天我想首先去看看
[00:04:29.080 --> 00:04:32.280]  耶利米所處的時代
[00:04:32.280 --> 00:04:35.280]  耶利米是在約西亞作王的時代
[00:04:35.280 --> 00:04:37.080]  那約西亞是什麼人呢
[00:04:37.080 --> 00:04:40.680]  約西亞的祖父和他爸爸都是猶大王
[00:04:40.680 --> 00:04:43.080]  都是壞的王
[00:04:43.080 --> 00:04:45.280]  約西亞自己是一個好的王
[00:04:45.280 --> 00:04:48.480]  他八歲就就位了
[00:04:48.480 --> 00:04:51.280]  然後管治了猶大國三十一年
[00:04:51.280 --> 00:04:54.680]  他也曾經進行過猶大國最後一次的
[00:04:54.680 --> 00:04:57.080]  我們叫做宗教改革
[00:04:57.080 --> 00:05:02.080]  試圖將猶大人帶回去神的身邊
[00:05:02.080 --> 00:05:04.480]  結果職責難返
[00:05:04.480 --> 00:05:06.280]  憑他一己的能力
[00:05:06.280 --> 00:05:09.680]  都做不到逆轉這個工作
[00:05:09.680 --> 00:05:12.280]  而他之後的兒子都是作王的
[00:05:12.280 --> 00:05:14.280]  但是都沒有一個好的王
[00:05:14.280 --> 00:05:18.680]  所以耶利米就是這個光景
[00:05:18.680 --> 00:05:21.080]  走進去被神呼召
[00:05:21.080 --> 00:05:22.880]  去做他的代言人
[00:05:22.880 --> 00:05:25.680]  要宣告神對以色列的審判
[00:05:25.680 --> 00:05:29.480]  以及神對列國的審判
[00:05:29.480 --> 00:05:30.480]  在這個呼召裡面
[00:05:30.480 --> 00:05:32.080]  剛才一開始
[00:05:32.080 --> 00:05:34.880]  第四節的經文就是
[00:05:34.880 --> 00:05:37.680]  耶和華的話臨到我說
[00:05:37.680 --> 00:05:41.680]  當時經文沒有記載耶利米在做什麼
[00:05:41.680 --> 00:05:43.880]  當時我們以為神呼召我們的時候
[00:05:43.880 --> 00:05:45.480]  或者神跟我們說的時候
[00:05:45.480 --> 00:05:46.980]  我們現在在做靈修
[00:05:46.980 --> 00:05:48.480]  我們在做祈禱
[00:05:48.480 --> 00:05:50.680]  但是這套經文沒有告訴我們
[00:05:50.680 --> 00:05:53.280]  究竟耶利米當時在做什麼
[00:05:53.280 --> 00:05:54.280]  但是神就去
[00:05:54.280 --> 00:05:56.080]  我們叫他call他
[00:05:56.080 --> 00:05:57.280]  如果我們在說
[00:05:57.280 --> 00:05:59.680]  移動電話移動呼召
[00:05:59.680 --> 00:06:01.480]  神是第一個去做這件事
[00:06:01.480 --> 00:06:03.480]  不用等我們有電話出來
[00:06:03.480 --> 00:06:04.480]  手機出來
[00:06:04.480 --> 00:06:07.280]  神已經當時去呼召耶利米
[00:06:07.280 --> 00:06:09.280]  神呼召耶利米
[00:06:09.280 --> 00:06:11.080]  告訴他你要做我的代言人
[00:06:11.080 --> 00:06:13.080]  但是神不要告訴他
[00:06:13.080 --> 00:06:15.080]  你要說什麼話
[00:06:15.080 --> 00:06:18.280]  如果你有看過摩西的歷史
[00:06:18.280 --> 00:06:20.680]  或者倚倡亞先知的歷史
[00:06:20.680 --> 00:06:22.680]  在呼召的時候
[00:06:22.680 --> 00:06:23.880]  神往往給一些說話
[00:06:23.880 --> 00:06:25.880]  這些先知
[00:06:25.880 --> 00:06:28.280]  摩西他跟法老說話
[00:06:28.280 --> 00:06:30.080]  他跟以色列的人說什麼話
[00:06:30.080 --> 00:06:32.880]  神寫了一個稿給他說
[00:06:32.880 --> 00:06:34.880]  但是在這裡耶利米是沒有的
[00:06:34.880 --> 00:06:36.680]  神只是說你去做我的代言人
[00:06:36.680 --> 00:06:40.080]  說什麼你不知道
[00:06:40.080 --> 00:06:43.080]  在這裡神說我呼召你
[00:06:43.080 --> 00:06:46.080]  叫你聽我的說話的時候
[00:06:46.080 --> 00:06:50.080]  神說我在你未出生的時候
[00:06:50.080 --> 00:06:52.480]  我已經做你在腹中
[00:06:52.480 --> 00:06:54.480]  我已經知道你
[00:06:54.480 --> 00:06:55.480]  你未出生的時候
[00:06:55.480 --> 00:06:57.480]  我已經將你分別為聖
[00:06:57.480 --> 00:07:01.480]  以及已經派你作列國的先知
[00:07:01.480 --> 00:07:02.880]  單單的一節經文
[00:07:02.880 --> 00:07:05.680]  在第五節裡面有四個動詞
[00:07:05.680 --> 00:07:08.480]  就是你未被造之前
[00:07:08.480 --> 00:07:11.680]  我是造你出來的
[00:07:11.680 --> 00:07:15.280]  然後我亦都認識你
[00:07:15.280 --> 00:07:17.280]  最重要的是當你未出生的時候
[00:07:17.280 --> 00:07:20.280]  我已經將你分別為聖
[00:07:20.280 --> 00:07:21.680]  什麼叫分別為聖
[00:07:21.680 --> 00:07:22.680]  分別為聖的意思
[00:07:22.680 --> 00:07:25.080]  不是耶利米是乖孩子
[00:07:25.080 --> 00:07:27.280]  是不會犯罪的
[00:07:27.280 --> 00:07:30.280]  而是耶利米一早給神
[00:07:30.280 --> 00:07:32.680]  另外差派他去服侍他
[00:07:32.680 --> 00:07:34.480]  服侍他的子民
[00:07:34.480 --> 00:07:36.280]  一個人怎麼被分別為聖
