
[00:00:00.000 --> 00:00:02.000]  兩姐妹平安
[00:00:02.000 --> 00:00:07.000]  我想問下在座當中有沒有哪位是足球迷
[00:00:07.000 --> 00:00:09.000]  可不可以舉手來看看
[00:00:09.000 --> 00:00:11.000]  有沒有呀
[00:00:11.000 --> 00:00:13.000]  多了一點點
[00:00:13.000 --> 00:00:15.000]  跟早堂差不多
[00:00:15.000 --> 00:00:17.000]  都是男士為主
[00:00:17.000 --> 00:00:21.000]  可能我接著要講的這單新聞
[00:00:21.000 --> 00:00:24.000]  你們可能都聽過
[00:00:24.000 --> 00:00:28.000]  在1989年4月15日
[00:00:28.000 --> 00:00:34.000]  在英國Sheffield城市的希爾斯堡體育場
[00:00:34.000 --> 00:00:38.000]  那天有一個足總盃的半決賽
[00:00:38.000 --> 00:00:43.000]  球隊是利物浦隊對洛定咸森林隊
[00:00:43.000 --> 00:00:45.000]  由於比賽開始之後
[00:00:45.000 --> 00:00:49.000]  還有五千多名球迷進不了場
[00:00:49.000 --> 00:00:55.000]  警方臨時開啟了原先用來做出口的C門
[00:00:55.000 --> 00:00:58.000]  但沒有給予必要的引導
[00:00:58.000 --> 00:01:02.000]  從而造成一單嚴重的踩踏事件
[00:01:02.000 --> 00:01:07.000]  導致96人喪生200人受傷
[00:01:07.000 --> 00:01:09.000]  為了掩蓋真相
[00:01:09.000 --> 00:01:13.000]  現場那位做出開門決定的指揮官
[00:01:13.000 --> 00:01:18.000]  謊稱是那些喝醉酒的球迷衝開了C門
[00:01:18.000 --> 00:01:24.000]  警方又安排攝影記者到處尋找酒瓶
[00:01:24.000 --> 00:01:29.000]  並下令抽查所有死者的血液酒精濃度
[00:01:29.000 --> 00:01:33.000]  同時太陽報未調查清楚
[00:01:33.000 --> 00:01:36.000]  完全附和了警方的結論
[00:01:36.000 --> 00:01:38.000]  並且捏造事實
[00:01:38.000 --> 00:01:44.000]  將被害球迷描繪成醉酒暴虐的足球流氓
[00:01:44.000 --> 00:01:50.000]  事實上希爾斯堡球場慘案發生後不久
[00:01:50.000 --> 00:01:53.000]  那位被任命調查的泰勒法官
[00:01:53.000 --> 00:01:58.000]  他發表報告指責任在警方身上
[00:01:58.000 --> 00:02:00.000]  而不是在球迷身上
[00:02:00.000 --> 00:02:05.000]  而政府內亦有人希望還球迷一個公道
[00:02:05.000 --> 00:02:08.000]  但當時的執政者戴卓爾夫人
[00:02:08.000 --> 00:02:12.000]  強硬將這些聲音壓下去
[00:02:12.000 --> 00:02:15.000]  而且擺明包庇警方
[00:02:15.000 --> 00:02:21.000]  她說泰勒法官的報告對警方是毀滅性的批評
[00:02:21.000 --> 00:02:24.000]  為什麼我們要接受呢?
[00:02:24.000 --> 00:02:29.000]  最終裁定了這個慘劇純屬意外
[00:02:29.000 --> 00:02:32.000]  沒有人需要為事件負責任
[00:02:32.000 --> 00:02:38.000]  接著那位負責球場治安的警長提前退休
[00:02:38.000 --> 00:02:40.000]  並且移居海外
[00:02:40.000 --> 00:02:47.000]  很多證據影像或錄音資料都莫名其妙地消失
[00:02:47.000 --> 00:02:54.000]  還有一些資料甚至被列入30年內都不能公開的極機密檔案
[00:02:54.000 --> 00:02:59.000]  就因為戴卓爾夫人當時一意孤行
[00:02:59.000 --> 00:03:04.000]  之後幾十年官僚系統因循手舊官官相為
[00:03:04.000 --> 00:03:09.000]  令利物浦球迷含冤超過20年
[00:03:09.000 --> 00:03:13.000]  但死難者的家屬
[00:03:13.000 --> 00:03:17.000]  還有一些倖存的人和球迷
[00:03:17.000 --> 00:03:21.000]  他們沒有因此放棄尋找真相
[00:03:21.000 --> 00:03:27.000]  在2000年他們組成了希爾斯堡正義運動組織
[00:03:27.000 --> 00:03:34.000]  並且對警方的現場指揮和助手提出指控
[00:03:34.000 --> 00:03:40.000]  到了2009年希爾斯堡慘案獨立調查委員會成立
[00:03:40.000 --> 00:03:45.000]  14萬個英國民眾在政府官方網站上
[00:03:45.000 --> 00:03:49.000]  聯署簽署了一份請願書
[00:03:49.000 --> 00:03:55.000]  就是要求公開慘案歷史的檔案
[00:03:55.000 --> 00:03:57.000]  到了2011年
[00:03:57.000 --> 00:04:02.000]  英國政府表示會公開這件事的全部絕密檔案
[00:04:02.000 --> 00:04:04.000]  繼續調查
[00:04:04.000 --> 00:04:07.000]  到了2012年9月12日
[00:04:07.000 --> 00:04:10.000]  調查結果正式出爐
[00:04:10.000 --> 00:04:15.000]  報告認為這次慘案的一個非常主要原因
[00:04:15.000 --> 00:04:18.000]  是警方控制不力
[00:04:18.000 --> 00:04:26.000]  同時還指出有164份警員的聲明被刪改
[00:04:26.000 --> 00:04:32.000]  有116份報告中清除了對警員不利的證據
[00:04:32.000 --> 00:04:36.000]  這一天被球迷稱為「真相日」
[00:04:36.000 --> 00:04:39.000]  到了2014年
