
[00:00:00.000 --> 00:00:04.400]  我們今天想分享一個題目就是「復興」
[00:00:04.400 --> 00:00:06.600]  「復興」的三個要素
[00:00:06.600 --> 00:00:09.800]  如果你有留意你進來的時候
[00:00:09.800 --> 00:00:11.600]  你不是看到海報的
[00:00:11.600 --> 00:00:12.400]  是不是?
[00:00:12.400 --> 00:00:14.800]  重新出發
[00:00:14.800 --> 00:00:18.600]  其實如果你留意英文字是Revive
[00:00:18.600 --> 00:00:22.600]  其實Revive另外一個解釋就是「復興」
[00:00:22.600 --> 00:00:26.200]  或者是一個Revival的意思
[00:00:26.200 --> 00:00:29.600]  所以我們今天就看看「復興」
[00:00:29.600 --> 00:00:31.000]  究竟是怎麼樣呢?
[00:00:31.000 --> 00:00:33.800]  那些要素究竟是有些什麼呢?
[00:00:33.800 --> 00:00:38.200]  我們可以經歷神給我們的那種「復興」
[00:00:38.200 --> 00:00:41.800]  在這個若拿書裡面
[00:00:41.800 --> 00:00:44.200]  我們是看到
[00:00:44.200 --> 00:00:48.000]  特別是第三章我們就看到這個「復興」
[00:00:48.000 --> 00:00:52.800]  在這個若拿書裡面
[00:00:52.800 --> 00:00:55.400]  很短的
[00:00:55.400 --> 00:00:57.400]  就是一卷的書
[00:00:57.400 --> 00:00:58.600]  只有四章而已
[00:00:59.000 --> 00:01:02.000]  若拿這個角色我們都很明白了
[00:01:02.000 --> 00:01:05.200]  或者都很了解這個若拿究竟是怎麼樣
[00:01:05.200 --> 00:01:10.600]  所以第一章就講到他抗拒神對他的呼召
[00:01:10.600 --> 00:01:12.600]  對他的使命
[00:01:12.600 --> 00:01:16.400]  接著第二章就講到神對他的管教了
[00:01:16.400 --> 00:01:19.200]  因為神叫他去東他去了西
[00:01:19.200 --> 00:01:20.400]  是不是?
[00:01:20.400 --> 00:01:24.200]  就說專門跑到西班牙
[00:01:24.200 --> 00:01:30.600]  他斯那麼遠,你知不知道那裡是距離以色列大概有二千里
[00:01:30.600 --> 00:01:33.600]  神就叫他去尼尼尾城
[00:01:33.600 --> 00:01:36.400]  當時是亞述帝國的首都
[00:01:36.400 --> 00:01:38.000]  那裡是七百里
[00:01:38.000 --> 00:01:40.800]  他就不肯
[00:01:40.800 --> 00:01:43.000]  無聲地抗議
[00:01:43.000 --> 00:01:44.800]  就上了一艘船
[00:01:44.800 --> 00:01:48.200]  就想著有那麼遠去到那麼遠
[00:01:48.200 --> 00:01:50.000]  兩千里的地方
[00:01:50.000 --> 00:01:51.800]  無聲地抗議
[00:01:51.800 --> 00:01:57.400]  但是神是有他的計劃和使命
[00:01:57.400 --> 00:02:00.400]  他就說去到一個地步
[00:02:00.400 --> 00:02:03.400]  有時候我們會發覺我們跟若拿差不多
[00:02:03.400 --> 00:02:06.200]  都是很固執的一個人
[00:02:06.200 --> 00:02:06.800]  是不是?
[00:02:06.800 --> 00:02:09.000]  神叫我們去東
[00:02:09.000 --> 00:02:10.200]  我們要去西
[00:02:10.200 --> 00:02:12.000]  你不要說我們
[00:02:12.000 --> 00:02:14.000]  兩歲的小朋友你就知道了
[00:02:14.000 --> 00:02:17.200]  你叫他不要碰那個電掣
[00:02:17.200 --> 00:02:18.600]  他一定要碰的
[00:02:18.600 --> 00:02:19.400]  是不是?
[00:02:19.400 --> 00:02:21.600]  我們人都是這樣
[00:02:22.000 --> 00:02:26.600]  神就有個管教來到了
[00:02:26.600 --> 00:02:29.200]  他甚至叫那些船員扔他下海
