
[00:00:00.000 --> 00:00:02.840]  前陣子聽到一個故事
[00:00:02.840 --> 00:00:05.440]  這個故事應該是虛構
[00:00:05.440 --> 00:00:08.840]  完全跟聖經沒有關係
[00:00:08.840 --> 00:00:10.520]  話說有一天
[00:00:10.520 --> 00:00:14.880]  有一個天使去到一個農村裡
[00:00:14.880 --> 00:00:21.160]  他進入了一個農夫一個老農夫的家裡
[00:00:21.160 --> 00:00:22.600]  有兩夫婦
[00:00:22.600 --> 00:00:25.200]  跟這對夫婦說
[00:00:25.200 --> 00:00:31.200]  上帝見到你們是很良善、很純真的人
[00:00:31.200 --> 00:00:34.320]  於是現在我決定要祝福你們
[00:00:34.320 --> 00:00:36.720]  我給你們有三個願望
[00:00:36.720 --> 00:00:39.360]  不過有一個條件
[00:00:39.360 --> 00:00:45.000]  就是無論你們許下的這三個是什麼願望也好
[00:00:45.000 --> 00:00:47.800]  當中所得到的祝福
[00:00:47.800 --> 00:00:49.920]  你的鄰居
[00:00:49.920 --> 00:00:53.160]  他同樣都會得到同樣的祝福
[00:00:53.160 --> 00:00:54.600]  而且是雙倍的
[00:00:54.600 --> 00:00:59.080]  如果你家裡突然間有這樣的天使出現
[00:00:59.080 --> 00:01:00.240]  跟你說這些東西
[00:01:00.240 --> 00:01:01.480]  你也會很開心
[00:01:01.480 --> 00:01:06.080]  這對老夫婦就想
[00:01:06.080 --> 00:01:08.520]  要什麼呢?
[00:01:08.520 --> 00:01:10.040]  第一樣馬上想到
[00:01:10.040 --> 00:01:17.560]  我希望可以有一座小山這麼大的稻米場給我
[00:01:17.560 --> 00:01:20.200]  如果有這麼多的稻米
[00:01:20.200 --> 00:01:22.920]  我今年就不需要再耕種了
[00:01:22.920 --> 00:01:26.240]  到了第二天一起床
[00:01:26.240 --> 00:01:33.160]  突然發現有一座這樣的小山突然在她家出現
[00:01:33.160 --> 00:01:34.440]  真的很神奇
[00:01:34.440 --> 00:01:38.560]  當中有很多很漂亮的稻米
[00:01:38.560 --> 00:01:40.360]  又肥又大粒
[00:01:40.360 --> 00:01:44.880]  於是這對老夫婦就非常興奮
[00:01:44.880 --> 00:01:50.560]  就想我家的穀倉不夠裝
