
[00:00:00.000 --> 00:00:01.320]  各位電影節目,大家平安
[00:00:01.320 --> 00:00:02.880]  我們又一齊讀聖經了
[00:00:02.880 --> 00:00:07.360]  生命樹宣教網絡為大家預備了聖經人、聖經事
[00:00:07.360 --> 00:00:11.040]  講了很多集都是在講機電
[00:00:11.040 --> 00:00:12.560]  如果你看時詩記
[00:00:12.560 --> 00:00:16.720]  你會發覺機電是佔了很長的篇幅
[00:00:16.720 --> 00:00:20.000]  可以說是重要的時詩之一
[00:00:20.000 --> 00:00:21.920]  我們今天繼續講機電
[00:00:21.920 --> 00:00:25.960]  機電我想也有十次八次
[00:00:25.960 --> 00:00:27.560]  一個這麼重要的人物
[00:00:27.560 --> 00:00:29.360]  今天的聖經人物機電
[00:00:29.360 --> 00:00:33.240]  事情就是機電對抗米電人
[00:00:33.240 --> 00:00:39.000]  為什麼沒有召我們同去是問號
[00:00:39.000 --> 00:00:42.320]  機電遭遇了一個問題
[00:00:42.320 --> 00:00:44.000]  人家問他
[00:00:44.000 --> 00:00:46.760]  為什麼你不叫我們一起去
[00:00:46.760 --> 00:00:49.160]  被人怪責的
[00:00:49.160 --> 00:00:52.920]  打了聖仗搏命之後還被人怪責
[00:00:52.920 --> 00:00:56.960]  這個也是我們今天很多時候會遭遇的問題
[00:00:56.960 --> 00:00:58.640]  跟大家看看這段聖經
[00:00:58.640 --> 00:00:59.600]  這段聖經很短的
[00:00:59.600 --> 00:01:01.840]  不過我們一起研究一下
[00:01:01.840 --> 00:01:05.320]  這兩節聖經上一次讀過了
[00:01:05.320 --> 00:01:07.000]  時詩記第七章
[00:01:07.000 --> 00:01:10.280]  他已經打贏了仗了
[00:01:10.280 --> 00:01:14.560]  機電打發人走遍以法連山地
[00:01:14.560 --> 00:01:17.160]  叫人去以法連
[00:01:17.160 --> 00:01:22.440]  以法連的十二支派分給他的地方在山上
[00:01:22.440 --> 00:01:23.320]  高一點的
[00:01:23.320 --> 00:01:26.680]  就說你們下來攻擊米電人
[00:01:26.680 --> 00:01:28.280]  再補充一下
[00:01:28.280 --> 00:01:34.760]  米電人是一個在約旦河的東面
[00:01:34.760 --> 00:01:38.320]  是屬於阿滿
[00:01:38.320 --> 00:01:41.120]  摩押阿滿
[00:01:41.120 --> 00:01:42.680]  以東這些地方
[00:01:42.680 --> 00:01:45.520]  再下一點的阿拉伯沙漠那裡
[00:01:45.520 --> 00:01:48.480]  是很多個大世民族的
[00:01:48.480 --> 00:01:50.960]  一起就叫米電人
[00:01:50.960 --> 00:01:52.760]  這次就來攻擊以色列人
[00:01:52.760 --> 00:01:54.480]  就在他們收割的時候
[00:01:54.480 --> 00:01:58.400]  就說弄爛他們的田地令他們很痛苦
[00:01:58.400 --> 00:02:00.000]  哀求耶和華
[00:02:00.000 --> 00:02:05.000]  這次就叫了神派機電跟他們對抗
[00:02:05.000 --> 00:02:08.200]  機電就是一個本來很弱信心
[00:02:08.200 --> 00:02:10.280]  很害怕的人
[00:02:10.280 --> 00:02:12.600]  經過很多次問神
[00:02:12.600 --> 00:02:14.080]  你給我一個證據
[00:02:14.080 --> 00:02:16.480]  知道你和我同在一定可以
[00:02:16.480 --> 00:02:18.600]  如果我是上帝
[00:02:18.600 --> 00:02:21.640]  就已經沒有耐性一巴掌打過去
[00:02:21.640 --> 00:02:23.200]  要找其他人
[00:02:23.200 --> 00:02:26.200]  不過上帝對他們很有耐性
[00:02:26.200 --> 00:02:29.480]  終於將他們練成一個很有信心的人
[00:02:29.480 --> 00:02:35.080]  只是帶著三百人去和米電人
[00:02:35.080 --> 00:02:39.080]  如果讀下去是有十二萬人的米電
[00:02:39.080 --> 00:02:42.640]  但是三百人好像戰狼三百那套電影
[00:02:42.640 --> 00:02:44.440]  可以和別人打
[00:02:44.440 --> 00:02:46.680]  但是機電有這個信心
[00:02:46.680 --> 00:02:50.280]  終於他竟然贏了
[00:02:50.280 --> 00:02:53.280]  打到米電人逃跑
[00:02:53.280 --> 00:02:55.880]  馬上就叫人去以法連山地
[00:02:55.880 --> 00:02:57.680]  快點在山上下來
[00:02:57.680 --> 00:03:02.040]  請你們以法連人幫我守住約旦河的渡口
