
[00:00:00.000 --> 00:00:05.160]  弟兄姊妹平安 新年快樂
[00:00:05.160 --> 00:00:08.200]  還有甚麼 蒙福蒙恩 是不是
[00:00:08.200 --> 00:00:10.720]  我們最需要的就是神賜福
[00:00:10.720 --> 00:00:14.400]  因為這個世界上的福是有時暫時的
[00:00:14.400 --> 00:00:18.960]  今天大家可以和我一起來看一篇詩篇
[00:00:18.960 --> 00:00:25.320]  其實讀詩篇你可以很多事做的
[00:00:25.320 --> 00:00:28.880]  就是你可以讀 你可以看
[00:00:28.880 --> 00:00:33.080]  不作聲地看 你又可以聽
[00:00:33.080 --> 00:00:37.440]  你又可以朗誦 好像背詩一樣
[00:00:37.440 --> 00:00:41.480]  又可以唱 因為詩篇很多篇都是詩歌
[00:00:41.480 --> 00:00:46.200]  還有你可以背完它
[00:00:46.200 --> 00:00:49.040]  我走過這幾十年
[00:00:49.040 --> 00:00:51.920]  詩篇對我的人生有很大影響
[00:00:51.920 --> 00:00:54.320]  因為我們小時候
[00:00:54.320 --> 00:00:58.040]  那個教會是很注重背聖經的
[00:00:58.040 --> 00:01:06.360]  就是說我們一年要鼓勵大家背 52節
[00:01:06.360 --> 00:01:09.360]  因為每年是52個禮拜
[00:01:09.360 --> 00:01:12.920]  我們每個禮拜回主教學就一定有一節聖經
[00:01:12.920 --> 00:01:19.360]  到三個月它要我們背 90幾節
[00:01:19.360 --> 00:01:24.800]  接著半年 接著九個月 接著一年
[00:01:24.800 --> 00:01:27.600]  我最記得全年聖誕節的時候
[00:01:27.600 --> 00:01:30.480]  就是背這句的時候
[00:01:30.480 --> 00:01:35.640]  就是你可以選擇背一季 半年 九個月 或者一年
[00:01:35.640 --> 00:01:40.080]  我們小時候當然挑戰自己要背一年
[00:01:40.080 --> 00:01:42.480]  所以有個老師坐在你旁邊
[00:01:42.480 --> 00:01:44.480]  你就不停地背給他聽
[00:01:44.480 --> 00:01:47.520]  背著背著背著 背到有時你真的不記得怎麼辦
[00:01:47.520 --> 00:01:49.560]  老師真的很好 他說不要緊
[00:01:49.560 --> 00:01:53.880]  我停在這裏繼續會聽你的
[00:01:53.880 --> 00:01:56.880]  你就看一看 再回來再背
[00:01:56.880 --> 00:02:02.080]  我們很多時候每年都完成了52節
[00:02:02.080 --> 00:02:06.120]  然後他就會給我們有獎品
[00:02:06.120 --> 00:02:09.080]  很多聖經 那些新舊有聖經
[00:02:09.080 --> 00:02:11.880]  如果我們多就送給別人
[00:02:11.880 --> 00:02:15.840]  或者一些牌要上上下下 不住禱告 凡事謝恩
[00:02:15.840 --> 00:02:18.960]  所以那時候因為這麼小的時候背這句
[00:02:18.960 --> 00:02:21.240]  那些金句就跟著我了
[00:02:21.240 --> 00:02:22.800]  跟了我幾十年
[00:02:22.800 --> 00:02:26.520]  或者說我跟著了聖經幾十年
[00:02:26.520 --> 00:02:31.880]  所以今早就跟大家用一個新的方法來讀一下
[00:02:31.880 --> 00:02:33.240]  還有我忘記了說
[00:02:33.240 --> 00:02:38.600]  你可以嘗嘗詩篇裏面的甜酸苦辣
[00:02:38.600 --> 00:02:41.840]  因為裏面有很多很甜的經文
[00:02:41.840 --> 00:02:45.280]  讀完之後你真的心裏面覺得很甘甜
[00:02:45.280 --> 00:02:47.200]  也有很多苦的
[00:02:47.200 --> 00:02:52.400]  哇 那些詩人真的哭著這樣跟神說的
[00:02:52.400 --> 00:02:53.840]  很痛苦很痛苦
[00:02:53.840 --> 00:02:55.400]  身體又有疾病
[00:02:55.400 --> 00:02:57.960]  外面又有仇敵
[00:02:57.960 --> 00:02:59.760]  很多很多艱難
[00:02:59.760 --> 00:03:01.640]  它在那裏苦的
[00:03:01.640 --> 00:03:05.760]  但是也有辣的
[00:03:05.760 --> 00:03:07.640]  有時候真的很辣
[00:03:07.640 --> 00:03:09.880]  不知道怎樣吞下去
[00:03:09.880 --> 00:03:11.760]  但是它是呼求神
[00:03:11.760 --> 00:03:13.080]  酸 是不是
[00:03:13.080 --> 00:03:15.040]  人家這麼好 為什麼我不好呢
[00:03:15.040 --> 00:03:16.800]  一跟別人比較 你知不知道
[00:03:16.800 --> 00:03:20.320]  就會心酸酸的 是不是
[00:03:20.320 --> 00:03:22.280]  今天跟大家讀這篇詩
[00:03:22.280 --> 00:03:24.240]  我用這個方法
[00:03:24.240 --> 00:03:26.480]  我先請你聽一次
[00:03:26.480 --> 00:03:28.920]  就是那個是和合本的
[00:03:28.920 --> 00:03:33.960]  接著我就會跟大家讀聖經的新譯本
[00:03:33.960 --> 00:03:35.920]  你看看有什麼不同的
[00:03:35.920 --> 00:03:40.440]  看是不是人們花這麼多時間精神去翻譯新譯本
[00:03:40.440 --> 00:03:42.080]  現代的譯本
[00:03:42.080 --> 00:03:44.280]  對我們有什麼幫助呢
[00:03:44.280 --> 00:03:45.960]  你可以比較一下
[00:03:45.960 --> 00:03:47.800]  但是先聽好嗎
[00:03:47.800 --> 00:03:48.960]  這個題目是
[00:03:48.960 --> 00:03:51.560]  主啊 我要投靠你
[00:03:51.560 --> 00:03:58.400]  是一個要信靠神的祈禱
[00:03:58.400 --> 00:03:59.960]  求你保佑我
[00:03:59.960 --> 00:04:01.800]  因為我投靠你
[00:04:01.800 --> 00:04:03.120]  我的心啊
[00:04:03.120 --> 00:04:04.920]  你曾對耶和華說
[00:04:04.920 --> 00:04:06.360]  你是我的主
[00:04:06.360 --> 00:04:09.000]  我的好處不在你以外
[00:04:09.000 --> 00:04:11.080]  輪到世上的聖民
[00:04:11.080 --> 00:04:13.160]  他們由美由善
[00:04:13.160 --> 00:04:15.360]  是我最喜悅的
[00:04:15.360 --> 00:04:17.680]  以別神代替耶和華的
[00:04:17.680 --> 00:04:20.080]  他們的仇富必加增
[00:04:20.080 --> 00:04:23.400]  他們所挑戰的罪我不獻上
[00:04:23.400 --> 00:04:26.760]  我嘴唇也不提別神的名號
[00:04:26.760 --> 00:04:29.040]  耶和華是我的產業
[00:04:29.040 --> 00:04:30.720]  是我懷中的份
[00:04:30.720 --> 00:04:32.000]  我所得的
[00:04:32.000 --> 00:04:34.080]  你為我持守
[00:04:34.080 --> 00:04:36.240]  用乘涼給我的地界
[00:04:36.240 --> 00:04:38.440]  坐落在街尾之處
[00:04:38.440 --> 00:04:40.960]  我的產業實在美好
[00:04:40.960 --> 00:04:42.640]  我必稱
[00:04:42.640 --> 00:04:44.920]  眾那教我的耶和華
[00:04:44.920 --> 00:04:46.960]  我的心腸在夜間
[00:04:46.960 --> 00:04:49.160]  也警惕警戒我
[00:04:49.160 --> 00:04:51.880]  我將耶和華常擺在我面前
[00:04:51.880 --> 00:04:53.760]  因祂在我右邊
[00:04:53.760 --> 00:04:55.800]  我便不自要動
[00:04:55.800 --> 00:04:58.320]  因此我的心歡喜
[00:04:58.320 --> 00:04:59.960]  我的靈快樂
[00:04:59.960 --> 00:05:03.200]  我的肉身也要安然居處
[00:05:03.200 --> 00:05:05.320]  因為你必不將我的靈魂
[00:05:05.320 --> 00:05:06.880]  撇在陰間
[00:05:06.880 --> 00:05:10.120]  也不叫你的聖者見後懷
[00:05:10.120 --> 00:05:12.840]  你必將生命的道路指示我
[00:05:12.840 --> 00:05:14.000]  在你面前
[00:05:14.000 --> 00:05:16.440]  門有燭有喜樂
[00:05:16.440 --> 00:05:17.920]  在你右手中
[00:05:17.920 --> 00:05:20.320]  有永遠的福樂
[00:05:20.320 --> 00:05:22.320]  多謝Peter 執事
[00:05:22.320 --> 00:05:26.320]  他跟我們讀了這篇詩篇
[00:05:26.320 --> 00:05:29.600]  我跟大家曾經提過
[00:05:29.600 --> 00:05:35.120]  當我面對人生第一次進醫院做手術
[00:05:35.120 --> 00:05:37.640]  生第一個兒子的時候
[00:05:37.640 --> 00:05:40.200]  我一直背詩篇23篇
[00:05:40.200 --> 00:05:43.160]  我上去跟大家分享了
[00:05:43.160 --> 00:05:45.000]  一直背到我醒了
[00:05:45.000 --> 00:05:49.040]  我都說我睡著用了麻醉藥
[00:05:49.040 --> 00:05:51.720]  我還記不記得背詩篇23篇
[00:05:51.720 --> 00:05:55.160]  再背一遍又記得
[00:05:55.160 --> 00:05:57.800]  到生一個女兒的時候
[00:05:57.800 --> 00:05:59.720]  背哪一篇呢
[00:05:59.720 --> 00:06:01.680]  除了詩篇23篇之外
[00:06:01.680 --> 00:06:04.000]  就是背詩篇16篇
[00:06:04.000 --> 00:06:07.760]  因為當時覺得神真的很恩待我
[00:06:07.760 --> 00:06:09.800]  讓我們有了兒子
[00:06:09.800 --> 00:06:12.120]  然後有個女兒
[00:06:12.120 --> 00:06:13.480]  是很開心的
[00:06:13.480 --> 00:06:16.280]  人生真的覺得很開心
[00:06:16.280 --> 00:06:18.760]  當時在Fuller神學院讀
[00:06:18.760 --> 00:06:21.320]  黃牧師在讀博士學位
[00:06:21.320 --> 00:06:23.600]  但是在做神學生的時候
[00:06:23.600 --> 00:06:25.920]  神就賜給我們這個女兒
[00:06:25.920 --> 00:06:27.400]  很開心
[00:06:27.400 --> 00:06:30.240]  生的時候也是不停背
[00:06:30.240 --> 00:06:32.360]  待會你就知道經文說什麼
[00:06:32.360 --> 00:06:34.280]  為什麼我會不停背
[00:06:34.280 --> 00:06:36.360]  但是到了我女兒回家
[00:06:36.360 --> 00:06:37.840]  不到一個星期
[00:06:37.840 --> 00:06:41.000]  就發現她的黃疸的數字很高
[00:06:41.000 --> 00:06:42.760]  一路上一路下
[00:06:42.760 --> 00:06:44.760]  你經常抱著她
[00:06:44.760 --> 00:06:45.680]  什麼都沒有用的
[00:06:45.680 --> 00:06:50.920]  我媽媽當時在香港飛來陪我陪月十幾天
[00:06:50.920 --> 00:06:54.560]  她說女兒你這樣經常抱著這個孫女
[00:06:54.560 --> 00:06:55.920]  都醫不了她
[00:06:55.920 --> 00:06:58.120]  你快點回去給醫生看吧
[00:06:58.120 --> 00:07:00.160]  於是乎真的回去給醫生看
[00:07:00.160 --> 00:07:01.320]  醫生說不行了
[00:07:01.320 --> 00:07:03.160]  你送她進醫院
[00:07:03.160 --> 00:07:06.760]  所以幾天人生我就要跟她分開
[00:07:06.760 --> 00:07:09.400]  她在醫院裡睡在那個箱裡面
[00:07:09.400 --> 00:07:10.160]  照燈
[00:07:10.160 --> 00:07:11.760]  他們叫照燈
[00:07:11.760 --> 00:07:15.320]  其實我們家裡都幫她照太陽的
[00:07:15.320 --> 00:07:17.560]  但是都降不下來
[00:07:17.560 --> 00:07:19.360]  結果就要去醫院照
[00:07:19.360 --> 00:07:20.840]  看見她很慘的
[00:07:20.840 --> 00:07:24.920]  天天都要按腳底抽血
[00:07:24.920 --> 00:07:27.640]  看看她的數字怎麼樣
[00:07:27.640 --> 00:07:30.680]  一直都是背這一篇詩篇
[00:07:30.680 --> 00:07:32.080]  這樣捱過的
[00:07:32.080 --> 00:07:36.560]  你就知道裡面一定有些東西是很幫到我的
[00:07:36.560 --> 00:07:38.360]  跟大家一起讀一讀
[00:07:38.360 --> 00:07:40.400]  這個是新譯本來的
[00:07:40.400 --> 00:07:44.320]  但是稍後我說的時候兩樣譯本都會一起看
[00:07:44.320 --> 00:07:46.080]  大家來試一下
[00:07:46.080 --> 00:07:49.120]  跟我一起讀一讀好不好
[00:07:49.120 --> 00:07:49.800]  一起來吧
[00:07:49.800 --> 00:07:52.640]  詩篇十六篇是現代中文譯本
[00:07:52.640 --> 00:07:53.520]  請
[00:08:10.400 --> 00:08:13.440]  市民多麼高貴啊
[00:08:13.440 --> 00:08:18.600]  跟他們在一起是我最大的喜樂
[00:08:18.600 --> 00:08:21.280]  只是看這三字聖經
[00:08:21.280 --> 00:08:24.160]  你會發覺現代的中文譯本
[00:08:24.160 --> 00:08:27.440]  是讀得很現代化
[00:08:27.440 --> 00:08:29.320]  它提到說
[00:08:29.320 --> 00:08:31.200]  神啊你保護我
[00:08:31.200 --> 00:08:33.720]  在和合本就說你保佑我
[00:08:33.720 --> 00:08:37.520]  我們中國人拜神都是求神保佑的
[00:08:37.520 --> 00:08:40.200]  這裡就說你保護我
[00:08:40.200 --> 00:08:42.920]  因為我都是投靠你的
[00:08:42.920 --> 00:08:45.160]  接著又說
[00:08:45.160 --> 00:08:46.400]  它不是耶和華了
[00:08:46.400 --> 00:08:47.560]  它用上主
[00:08:47.560 --> 00:08:49.000]  其實上主就是耶和華
[00:08:49.000 --> 00:08:52.200]  耶和華就是那位我試的神
[00:08:52.200 --> 00:08:56.240]  就是說它讓你自己在後面填充的
[00:08:56.240 --> 00:08:58.680]  就是說耶和華
[00:08:58.680 --> 00:09:02.320]  我希望我經歷到你是我的牧者
[00:09:02.320 --> 00:09:05.640]  耶和華我經歷到你是我的力量
[00:09:05.640 --> 00:09:07.960]  我經歷到你是我的避難所
[00:09:07.960 --> 00:09:10.600]  是我的盆石
[00:09:10.600 --> 00:09:11.800]  耶和華這個字就是
[00:09:11.800 --> 00:09:13.880]  I am who I am
[00:09:13.880 --> 00:09:16.680]  就是我就是你需要的時候
[00:09:16.680 --> 00:09:19.760]  就是能夠幫助你的那位神
[00:09:19.760 --> 00:09:22.280]  它就說你是我的主
[00:09:22.280 --> 00:09:25.200]  你是我一切幸福的源頭
[00:09:25.200 --> 00:09:30.120]  這裡為什麼詩人要去投靠神呢
[00:09:30.120 --> 00:09:32.640]  先說這個詩人是大衛來的
[00:09:32.640 --> 00:09:35.880]  而這一篇叫大衛的金詩來的
[00:09:35.880 --> 00:09:39.520]  整個裡面有幾篇金詩
[00:09:39.520 --> 00:09:41.840]  但是金詩為什麼叫金詩呢
[00:09:41.840 --> 00:09:43.920]  它又沒有好好地交代
[00:09:43.920 --> 00:09:47.000]  但是從每一篇的金詩裡面你看
[00:09:47.000 --> 00:09:52.120]  你發覺裡面是虎裡面有黃金
[00:09:52.120 --> 00:09:55.920]  就是說好像在煉金一樣
[00:09:55.920 --> 00:09:59.040]  所以這幾篇金詩是很寶貴的
[00:09:59.040 --> 00:10:01.720]  我現在跟大家看第一篇
[00:10:01.720 --> 00:10:03.800]  十六篇這個
[00:10:03.800 --> 00:10:06.280]  它認定了神是可以投靠的
[00:10:06.280 --> 00:10:11.040]  原因是他是大衛的主
[00:10:11.040 --> 00:10:13.160]  你找到一個主
[00:10:13.160 --> 00:10:16.360]  你就有一切幸福的源頭了
[00:10:16.360 --> 00:10:17.560]  為什麼呢
[00:10:17.560 --> 00:10:21.120]  因為人最需要的不是只有兩餐飯吃
[00:10:21.120 --> 00:10:24.680]  有件衣服穿 有個地方住
[00:10:24.680 --> 00:10:27.320]  他需要一個歸屬感
[00:10:27.320 --> 00:10:30.000]  究竟我是屬於哪一個的呢
[00:10:30.000 --> 00:10:32.240]  我有沒有爸爸媽媽的呢
[00:10:32.240 --> 00:10:34.480]  我有沒有兄弟姊妹的呢
[00:10:34.480 --> 00:10:37.440]  或者你結了婚的弟兄姊妹
[00:10:37.440 --> 00:10:41.680]  你會說我的丈夫 我的太太
[00:10:41.680 --> 00:10:45.120]  就是你有一種歸屬
[00:10:45.120 --> 00:10:46.520]  子女也是的
[00:10:46.520 --> 00:10:48.360]  你給他很多玩具
[00:10:48.360 --> 00:10:51.280]  給他很多物質的東西豐富
[00:10:51.280 --> 00:10:52.800]  很豐富他
[00:10:52.800 --> 00:10:55.400]  但是如果沒有爸爸媽媽叫
[00:10:55.400 --> 00:10:57.560]  那些東西都沒有什麼意思的
[00:10:57.560 --> 00:11:01.320]  所以有時候你看到我們的孫子孫女
[00:11:01.320 --> 00:11:03.400]  你照顧得他很辛苦的
[00:11:03.400 --> 00:11:06.760]  但是呢 到他爸爸媽媽一下班
[00:11:06.760 --> 00:11:08.280]  車子還沒到
[00:11:08.280 --> 00:11:11.520]  他站在門口說 爸爸 媽媽
[00:11:11.520 --> 00:11:13.720]  你說他真的很甜的
[00:11:13.720 --> 00:11:15.400]  這個爸爸媽媽
[00:11:15.400 --> 00:11:17.920]  什麼一天辛苦 是不是
[00:11:17.920 --> 00:11:19.520]  受老闆氣什麼的
[00:11:19.520 --> 00:11:20.520]  他都放下了
[00:11:20.520 --> 00:11:21.480]  都忘記了
[00:11:21.480 --> 00:11:23.200]  因為看到寶貝 是不是
[00:11:23.200 --> 00:11:26.160]  看到兒子女兒跑過來給他
[00:11:26.160 --> 00:11:29.200]  抱著他
[00:11:29.200 --> 00:11:31.320]  歸屬很重要
[00:11:31.320 --> 00:11:34.160]  你人生有沒有主的呢
[00:11:34.160 --> 00:11:36.560]  誰是你的主呢
[00:11:36.560 --> 00:11:38.560]  你說我就是我的主
[00:11:38.560 --> 00:11:43.360]  現在你知道很多是單身貴族 是不是
[00:11:43.360 --> 00:11:46.560]  他們不需要有什麼歸屬的
[00:11:46.560 --> 00:11:47.920]  他就屬於自己
[00:11:47.920 --> 00:11:49.800]  我就是主
[00:11:49.800 --> 00:11:51.960]  他人生快不快樂
[00:11:51.960 --> 00:11:53.400]  外表很快樂的
[00:11:53.400 --> 00:11:56.600]  因為暫時一個恩怨 是不是
[00:11:56.600 --> 00:11:59.200]  有一個單身的姐妹跟我說
[00:11:59.200 --> 00:12:02.560]  我一個人吃飽就全家吃飽了
[00:12:02.560 --> 00:12:04.240]  我第一次聽她這樣說
[00:12:04.240 --> 00:12:06.640]  我都覺得很有意思
[00:12:06.640 --> 00:12:09.520]  我一個人吃飽飯就全家都飽了
[00:12:09.520 --> 00:12:11.720]  因為全家就是他自己的恩 是不是
[00:12:11.720 --> 00:12:14.920]  一個人穿得暖就全家都暖了
[00:12:14.920 --> 00:12:16.720]  那真的 做單身呢
[00:12:16.720 --> 00:12:19.760]  其實你真的很自由 很釋放
[00:12:19.760 --> 00:12:22.480]  哇 很多錢剩下 真的很多錢剩下
[00:12:22.480 --> 00:12:25.760]  很多錢可以去豪華一下
[00:12:25.760 --> 00:12:30.440]  但是 很孤單 很寂寞
[00:12:30.440 --> 00:12:33.240]  當有人陪你喝完酒 跳完舞
[00:12:33.240 --> 00:12:34.680]  回到家睡覺
[00:12:34.680 --> 00:12:38.000]  都睡得著 因為你有酒 酒醉 是不是
[00:12:38.000 --> 00:12:39.520]  醒過來一看
[00:12:39.520 --> 00:12:42.160]  沒有人的 左右沒有 右又沒有
[00:12:42.160 --> 00:12:43.440]  很孤單
[00:12:43.440 --> 00:12:46.520]  所以人是需要找到一位主
[00:12:46.520 --> 00:12:48.240]  生命的主宰
[00:12:48.240 --> 00:12:50.760]  我們創造我們的主
[00:12:50.760 --> 00:12:54.960]  那你就有一切幸福的源頭了
[00:12:54.960 --> 00:12:58.200]  所以這篇大衛的金詩
