
[00:00:00.000 --> 00:00:02.000]  各位靖姐妹 各位來賓 晚安
[00:00:02.000 --> 00:00:08.000]  如果我們說有兩樣東西給大家去選
[00:00:08.000 --> 00:00:14.000]  一個是最稍為流行的 時尚的一個手機
[00:00:14.000 --> 00:00:17.000]  又或者這本的眾主新歌
[00:00:17.000 --> 00:00:20.000]  你只可以二選其一 你會選甚麼
[00:00:20.000 --> 00:00:25.000]  我想大部份人 你不敢說出來的話
[00:00:25.000 --> 00:00:27.000]  我們都會選手機的 是不是
[00:00:28.000 --> 00:00:30.000]  不是說眾主新歌裏面的不寶貴
[00:00:30.000 --> 00:00:33.000]  其實眾主新歌裏面那首詩歌都很寶貴 是不是
[00:00:33.000 --> 00:00:36.000]  信息都很豐富 但是老實說
[00:00:36.000 --> 00:00:40.000]  你拿著手機可以找到超過眾主新歌有的歌
[00:00:40.000 --> 00:00:46.000]  我可以隨時上網找到超過眾主新歌裏面有的歌
[00:00:46.000 --> 00:00:49.000]  所以在我們的處境裏面
[00:00:49.000 --> 00:00:52.000]  我們學者很容易就選擇了這件事
[00:00:54.000 --> 00:00:58.000]  但是如果我們想告訴你 要去選
[00:00:58.000 --> 00:01:05.000]  關乎到生命和正義 或者公義
[00:01:05.000 --> 00:01:07.000]  你會選哪樣
[00:01:07.000 --> 00:01:12.000]  正如孟子跟我們說的 如我所欲也
[00:01:12.000 --> 00:01:19.000]  在裏面怎麽說到 如我所欲也 熊掌亦所欲也
[00:01:20.000 --> 00:01:24.000]  義者不可兼得 捨如而取熊掌者也
[00:01:24.000 --> 00:01:32.000]  接著他解釋說 生亦我所欲也 義亦我所欲也
[00:01:32.000 --> 00:01:37.000]  義者不可兼得 捨身而取義者也
[00:01:37.000 --> 00:01:44.000]  可能大家似乎不太習慣 但其實裏面說得很簡單
[00:01:44.000 --> 00:01:48.000]  魚和熊掌可能我們都想要 是不是
[00:01:49.000 --> 00:01:51.000]  但是當不能夠兩樣都兼得的時候
[00:01:51.000 --> 00:01:53.000]  我們會去選哪樣
[00:01:53.000 --> 00:01:56.000]  魚代表著甚麼呢 代表著生命
[00:01:56.000 --> 00:02:03.000]  如果是生命關乎到生命 關乎到義的事情的時候
[00:02:03.000 --> 00:02:05.000]  你兩者只可以取其一
