
[00:00:00.000 --> 00:00:03.000]  各位頂姐妹午安 處內平安
[00:00:03.000 --> 00:00:07.000]  大家見到這個題目應該都會感覺到
[00:00:07.000 --> 00:00:11.000]  很詩詩細語 很情深 是嗎
[00:00:11.000 --> 00:00:13.000]  傳言愛理
[00:00:13.000 --> 00:00:16.000]  我們在這裡都問一下
[00:00:16.000 --> 00:00:20.000]  不知道大家會不會都喜歡聽歌或者唱歌
[00:00:20.000 --> 00:00:23.000]  首先給大家看看一些歌詞
[00:00:23.000 --> 00:00:25.000]  大家知不知道是一些歌
[00:00:25.000 --> 00:00:28.000]  我唱不出來 因為我都很低音
[00:00:28.000 --> 00:00:29.000]  大家看看歌詞
[00:00:29.000 --> 00:00:32.000]  這校園 這班房 這走廊 這禮堂
[00:00:32.000 --> 00:00:34.000]  是不是都知道是什麼歌
[00:00:34.000 --> 00:00:36.000]  學生的話可能都會知道
[00:00:36.000 --> 00:00:40.000]  記得讀書的時代 我們離開校園了
[00:00:40.000 --> 00:00:45.000]  這些歌都給我們當時的一些心情
[00:00:45.000 --> 00:00:47.000]  好 另外一首
[00:00:47.000 --> 00:00:50.000]  是你多麼溫馨的目光
[00:00:50.000 --> 00:00:52.000]  教我堅毅望著前路
[00:00:52.000 --> 00:00:57.000]  都是重陽 母親的愛
[00:00:57.000 --> 00:01:01.000]  都會在節日 或者平時
[00:01:01.000 --> 00:01:07.000]  其實每一天 我們都知道母親的愛
[00:01:07.000 --> 00:01:11.000]  接著這個 我們的友誼
[00:01:11.000 --> 00:01:15.000]  雪有萬里山 隔左兩地搖
[00:01:15.000 --> 00:01:18.000]  友誼改不了
[00:01:18.000 --> 00:01:23.000]  這些歌詞 或者一些歌
[00:01:23.000 --> 00:01:26.000]  無論是流行曲 或者是詩歌
[00:01:26.000 --> 00:01:29.000]  其實在一些時候
[00:01:29.000 --> 00:01:35.000]  都會給我們一些心情的釋放
[00:01:35.000 --> 00:01:37.000]  無論在任何的情境
[00:01:37.000 --> 00:01:40.000]  都會有時 可能有些歌詞
[00:01:40.000 --> 00:01:46.000]  都會幫助我們有一個安慰 或者鼓勵
[00:01:46.000 --> 00:01:49.000]  在這一段經文裡
[00:01:49.000 --> 00:01:56.000]  其實我們這一首 都是一首很美麗的詩歌
[00:01:56.000 --> 00:01:59.000]  用希伯來文去讀的時候 去唱的時候
[00:01:59.000 --> 00:02:02.000]  其實都是一首很美麗的詩歌
[00:02:02.000 --> 00:02:04.000]  我們今天讀的經文就是
[00:02:04.000 --> 00:02:07.000]  學者一般都會認為
[00:02:07.000 --> 00:02:10.000]  這個是第二二賽亞書
[00:02:10.000 --> 00:02:13.000]  就是由第四十章至到五十五章
[00:02:13.000 --> 00:02:20.000]  說到秘魯的猶太人 他們將要歸回他們的故鄉
[00:02:20.000 --> 00:02:26.000]  這段時期其實涵蓋了大約六十年
[00:02:26.000 --> 00:02:29.000]  在公元前五百九十七年
[00:02:29.000 --> 00:02:32.000]  第一次驅逐開始
[00:02:32.000 --> 00:02:35.000]  至公元前五百三十九年
[00:02:35.000 --> 00:02:37.000]  回到耶路撒冷
[00:02:37.000 --> 00:02:42.000]  因為先知 我們在裡面的經文會看到
[00:02:42.000 --> 00:02:47.000]  他知道波斯王居魯士的名字
[00:02:47.000 --> 00:02:50.000]  有些翻譯本可能會是賽魯士
[00:02:50.000 --> 00:02:52.000]  知道他的名字
[00:02:52.000 --> 00:02:58.000]  知道他下令要讓居住在巴比倫的以色列人
[00:02:58.000 --> 00:03:01.000]  他們自由回到家園
[00:03:01.000 --> 00:03:07.000]  所以他的工作一定是發生在流亡的最後一年
[00:03:07.000 --> 00:03:10.000]  或者是之後的不久
[00:03:10.000 --> 00:03:14.000]  我們為了正確去理解和領會
[00:03:14.000 --> 00:03:16.000]  二賽亞先知所說的話
[00:03:16.000 --> 00:03:24.000]  我們去了解一下這些說話當時所身處的背景
[00:03:24.000 --> 00:03:30.000]  當巴比倫的軍隊最終在公元前五百八十七年
[00:03:30.000 --> 00:03:33.000]  摧毀了耶路撒冷的時候
[00:03:33.000 --> 00:03:36.000]  最後一個國王西底加
[00:03:36.000 --> 00:03:42.000]  在目睹自己的兒子被殺之後傷目失明
[00:03:42.000 --> 00:03:44.000]  隨著他的流放
[00:03:44.000 --> 00:03:49.000]  大衛家族就在大約四百年之後消失
[00:03:49.000 --> 00:03:54.000]  隨之而來的就是所羅門聖殿的毀滅
[00:03:54.000 --> 00:03:59.000]  這座聖殿就是在三百五十多年的時間裡
[00:03:59.000 --> 00:04:07.000]  一直是統一以色列的宗教和文化生活的中心
[00:04:07.000 --> 00:04:09.000]  在王國分裂之後
[00:04:09.000 --> 00:04:15.000]  又成為猶大的宗教和文化生活的中心
[00:04:15.000 --> 00:04:18.000]  隨著聖殿的結束
[00:04:18.000 --> 00:04:23.000]  現在他們處於遙遠的敵人的控制之下
[00:04:23.000 --> 00:04:25.000]  首先是巴比倫
[00:04:25.000 --> 00:04:28.000]  之後是波斯
[00:04:28.000 --> 00:04:31.000]  這個可以說是對一個民族
[00:04:31.000 --> 00:04:38.000]  無論是社會和宗教信仰的一個長期致命的打擊
[00:04:38.000 --> 00:04:41.000]  必然會引起人對上帝
[00:04:41.000 --> 00:04:47.000]  對世界和這個很特殊被揀選的民族的目的
[00:04:47.000 --> 00:04:49.000]  有一個質疑
[00:04:49.000 --> 00:04:53.000]  以色列人就是在失去家園
[00:04:53.000 --> 00:04:56.000]  聖殿和領袖
[00:04:56.000 --> 00:05:03.000]  他們就是感到被上帝所遺忘和遺棄
[00:05:03.000 --> 00:05:06.000]  因為聖殿已經不存在
[00:05:06.000 --> 00:05:13.000]  表示在聖殿裡受敬拜的上帝再沒有能力
[00:05:13.000 --> 00:05:17.000]  為他們打開新的路
[00:05:17.000 --> 00:05:23.000]  當以色列的領導人他們要艱難流亡的時候
[00:05:23.000 --> 00:05:26.000]  就是留下成千上萬的人民
[00:05:26.000 --> 00:05:29.000]  他們要盡力地去生存
[00:05:29.000 --> 00:05:33.000]  在當時他們的腦中和心裡面
[00:05:33.000 --> 00:05:36.000]  一定會出現很多的問題
[00:05:36.000 --> 00:05:42.000]  就是為什麼我們會發生這樣的事情
[00:05:42.000 --> 00:05:46.000]  現在我們的未來是什麼
[00:05:46.000 --> 00:05:49.000]  在這一切當中
[00:05:49.000 --> 00:05:52.000]  上帝在哪裡
[00:05:52.000 --> 00:05:54.000]  就是在這一刻
[00:05:54.000 --> 00:06:02.000]  上帝是藉著先知去表達他對子民的愛情
[00:06:02.000 --> 00:06:08.000]  這一段的經文可以說是改變人類歷史的情歌
[00:06:08.000 --> 00:06:14.000]  這一首的希伯來歌是用很多的對偶的方法去寫成
[00:06:14.000 --> 00:06:17.000]  每一節都有對偶的排列
[00:06:17.000 --> 00:06:21.000]  令到我們讀起來都會有很多平衡的感覺
