
[00:00:00.000 --> 00:00:02.000]  我們低頭走過禱告
[00:00:02.000 --> 00:00:05.760]  耶穌多謝祢的恩典
[00:00:05.760 --> 00:00:09.920]  過去一直未停過與我們同在
[00:00:09.920 --> 00:00:13.920]  求祢幫助我們知道如何回應祢的恩典
[00:00:13.920 --> 00:00:16.480]  特別幫助我們認定
[00:00:16.480 --> 00:00:19.400]  如果我們的生活是信仰化
[00:00:19.400 --> 00:00:22.280]  我們的信仰是生活化的時候
[00:00:22.280 --> 00:00:28.040]  我們一定可以在我們的親朋戚友當中
[00:00:28.040 --> 00:00:30.040]  留下一個好的印象
[00:00:30.040 --> 00:00:32.960]  以致我們跟他們分享福音的時候
[00:00:32.960 --> 00:00:34.960]  就會輕而易舉
[00:00:34.960 --> 00:00:36.360]  求祢帶領我們
[00:00:36.360 --> 00:00:37.760]  聽我們的禱告
[00:00:37.760 --> 00:00:40.160]  因代下面說的聽的
[00:00:40.160 --> 00:00:43.040]  都是因為祢的說話被建立
[00:00:43.040 --> 00:00:45.280]  多謝祢奉耶穌基督的名
[00:00:45.280 --> 00:00:46.000]  阿們
[00:00:46.000 --> 00:00:47.880]  今天
[00:00:47.880 --> 00:00:52.440]  會跟大家分享門徒德與瑟的選擇
[00:00:52.440 --> 00:00:55.840]  首先我會給一些是非提
[00:00:56.320 --> 00:00:58.320]  是否值得
[00:00:58.320 --> 00:01:01.200]  第一個
[00:01:01.200 --> 00:01:03.480]  台灣有一個家庭
[00:01:03.480 --> 00:01:05.360]  最近因為
[00:01:05.360 --> 00:01:08.880]  開始去想
[00:01:08.880 --> 00:01:11.480]  到底選誰做總統呢
[00:01:11.480 --> 00:01:14.600]  這個是真人真事
[00:01:14.600 --> 00:01:17.640]  是台灣一個弟兄
[00:01:17.640 --> 00:01:19.320]  我以前的會友告訴我
[00:01:19.320 --> 00:01:21.560]  他現在正在幫助這個家庭
[00:01:21.560 --> 00:01:23.560]  子女
[00:01:23.560 --> 00:01:25.680]  支持民進黨
[00:01:26.440 --> 00:01:28.680]  父母支持國民黨
[00:01:28.680 --> 00:01:31.200]  吃飯的時候
[00:01:31.200 --> 00:01:33.600]  就是因為最近副總統的辯論
[00:01:33.600 --> 00:01:35.120]  報章的評論
[00:01:35.120 --> 00:01:37.720]  然後接著今天總統的辯論
[00:01:37.720 --> 00:01:41.640]  就叫得臉紅耳熱
[00:01:41.640 --> 00:01:44.680]  所以好幾餐的飯
[00:01:44.680 --> 00:01:46.640]  都吃得很不開心
[00:01:46.640 --> 00:01:48.320]  最近
[00:01:48.320 --> 00:01:50.320]  甚至子女說
[00:01:50.320 --> 00:01:51.920]  這一段時間
[00:01:51.920 --> 00:01:53.920]  不會回家吃飯
[00:01:54.760 --> 00:01:57.040]  老婦聽完很不開心
[00:01:57.040 --> 00:01:58.840]  我想問大家
[00:01:58.840 --> 00:02:00.360]  是因為
[00:02:00.360 --> 00:02:03.720]  支持政黨的不同取向
[00:02:03.720 --> 00:02:07.360]  而弄得父子父女不和
[00:02:07.360 --> 00:02:09.360]  母子母女不和
[00:02:09.360 --> 00:02:10.640]  值不值得
[00:02:10.640 --> 00:02:13.280]  有多少人認為不值得的
[00:02:13.280 --> 00:02:14.680]  讓一讓給我看
[00:02:14.680 --> 00:02:16.320]  OK
[00:02:16.320 --> 00:02:18.280]  我希望
[00:02:18.280 --> 00:02:19.680]  這些show hand
[00:02:19.680 --> 00:02:21.680]  能夠告訴這個家庭聽
[00:02:22.560 --> 00:02:24.880]  接著第二件事
[00:02:24.880 --> 00:02:26.880]  我們過去一年
[00:02:26.880 --> 00:02:28.880]  因為佔中反中
[00:02:28.880 --> 00:02:32.800]  也有很多父母子女不和
[00:02:32.800 --> 00:02:35.440]  甚至有些子女不回家睡
[00:02:35.440 --> 00:02:37.560]  跑掉了
[00:02:37.560 --> 00:02:39.760]  我又想問問大家
[00:02:39.760 --> 00:02:40.960]  值不值得
[00:02:40.960 --> 00:02:43.480]  有多少人認為不值得的
[00:02:43.480 --> 00:02:44.480]  可不可以舉手
[00:02:44.480 --> 00:02:45.480]  讓一讓給我看
[00:02:45.480 --> 00:02:47.240]  不值得
