
[00:00:00.000 --> 00:00:04.720]  今日我們在崇拜的訊息來到史達林醫院的第五章
[00:00:04.720 --> 00:00:08.240]  這三月份我們都講得比較密一點
[00:00:08.240 --> 00:00:12.960]  可能都幫助到大家能夠更加掌握到史達林醫院裏面的訊息
[00:00:12.960 --> 00:00:18.000]  今日我會主要是講第五章裏面的經文的訊息
[00:00:18.000 --> 00:00:20.480]  但可能都會回去和大家去溫習一下
[00:00:20.480 --> 00:00:24.480]  我們前面四三二一這幾章其實都很有關連
[00:00:24.480 --> 00:00:28.480]  今日的題目是「我們為這事作見證」
[00:00:28.480 --> 00:00:32.720]  這個題目其實是出自在當中一節的經文
[00:00:32.720 --> 00:00:36.240]  在第五章的三十二節
[00:00:36.240 --> 00:00:44.160]  經文這裏講「我們為這事作見證
[00:00:44.160 --> 00:00:51.040]  神賜給順從之人的聖靈也為這事作見證」
[00:00:51.040 --> 00:00:55.360]  我相信見證是在史達林醫院裏面一個很重要的訊息
[00:00:55.360 --> 00:01:01.520]  從第五章回頭我想每一章都拿一節經文和大家來看一下
[00:01:01.520 --> 00:01:05.760]  其實我想整個史達林醫院二十八章的書卷裏面
[00:01:05.760 --> 00:01:08.560]  都是一個見證 都是很多的見證
[00:01:08.560 --> 00:01:10.320]  所以我想和大家來溫習
[00:01:10.320 --> 00:01:13.600]  除了五章三十二節的見證
[00:01:13.600 --> 00:01:20.000]  我相信一會兒大家會溫習到記得之前我們所聽過的訊息
[00:01:20.000 --> 00:01:22.000]  我們一起讀一下這幾節經文
[00:01:22.000 --> 00:01:24.480]  由史達林醫院的四章三十三節開始
[00:01:24.480 --> 00:01:27.200]  一會兒每一章我都會抽一節經文出來
[00:01:27.200 --> 00:01:29.200]  我們一起讀完這幾節經文
[00:01:29.200 --> 00:01:32.160]  先是四章三十三節 預備起
[00:01:32.160 --> 00:01:36.640]  「使徒大有能力見證主耶穌復活
[00:01:36.640 --> 00:01:40.240]  眾人也都蒙恩
[00:01:40.240 --> 00:01:43.520]  你們殺了那生命的主
[00:01:43.520 --> 00:01:46.960]  神卻叫他從死裡復活了
[00:01:46.960 --> 00:01:51.440]  我們都是為這事作見證
