
[00:00:00.000 --> 00:00:02.960]  我們今天再思想看小徒的經文
[00:00:02.960 --> 00:00:05.160]  大家在讀聖經之前
[00:00:05.160 --> 00:00:07.160]  我們再同心祈禱
[00:00:31.000 --> 00:00:36.300]  以祢的慈愛來去恩待凡是信靠祢的人
[00:00:36.300 --> 00:00:39.880]  主今次我們再次來思想啟示錄的經文
[00:00:39.880 --> 00:00:41.680]  主我們仰望祢自己
[00:00:41.680 --> 00:00:45.560]  將活潑的盼望放在我們心中
[00:00:45.560 --> 00:00:47.840]  由知道祢自己的在來
[00:00:47.840 --> 00:00:52.680]  我們就更加知道預備好自己來去見祢
[00:00:52.680 --> 00:00:54.400]  求主使人在這段時間
[00:00:54.400 --> 00:00:56.360]  施下祢自己的恩賢
[00:00:56.360 --> 00:00:59.040]  讓我們同德幫助
[00:00:59.040 --> 00:01:00.160]  我們仰望祈禱
[00:01:00.160 --> 00:01:02.200]  奉耶穌基督成名求
[00:01:02.200 --> 00:01:04.200]  阿門
[00:01:04.200 --> 00:01:09.800]  我們先分開聖經第十九章啟示錄的經文
[00:01:09.800 --> 00:01:11.560]  大家都會留意到這段時間
[00:01:11.560 --> 00:01:13.600]  當我們在讀啟示錄的時候
[00:01:13.600 --> 00:01:17.160]  會說到很多關於主耶穌在來的事情
[00:01:17.160 --> 00:01:19.240]  聖經裡面提及一件事情
[00:01:19.240 --> 00:01:22.360]  祂說你們要專心等候
[00:01:22.360 --> 00:01:25.000]  那將要顯現的
[00:01:25.000 --> 00:01:28.320]  要帶給你的恩惠
[00:01:28.320 --> 00:01:31.480]  在我們地上有不同的生活
[00:01:31.480 --> 00:01:33.040]  有不同的經歷
[00:01:33.040 --> 00:01:37.160]  但是聖經仍然勉勵我們要專心的等候
[00:01:37.160 --> 00:01:39.240]  耶穌基督顯現的時候
[00:01:39.240 --> 00:01:43.440]  祂再回來的時候要帶給我們的恩惠
[00:01:43.440 --> 00:01:46.200]  真正的終局不在我們的眼前
[00:01:46.200 --> 00:01:51.560]  而是在將來上帝要帶來的永恆的恩典
[00:01:51.560 --> 00:01:53.880]  而我們今天在我們日常生活當中
[00:01:53.880 --> 00:01:57.760]  怎樣常常留心神自己的計劃
[00:01:57.760 --> 00:02:02.960]  亦都預備自己去承受將來神給我們的恩
[00:02:02.960 --> 00:02:08.240]  正是今天你們和我要常常留心的思想的事情
[00:02:08.240 --> 00:02:10.560]  大家記得我們之前讀啟示錄的時候
[00:02:10.560 --> 00:02:12.960]  讀到第十七章十八章
[00:02:12.960 --> 00:02:15.640]  講到有大淫婦
[00:02:15.640 --> 00:02:19.120]  亦都講到有大巴比倫
[00:02:19.120 --> 00:02:22.320]  當你讀的時候你會發覺十七十八章裡面
[00:02:22.320 --> 00:02:24.280]  很多悲哀的描述
[00:02:24.280 --> 00:02:29.240]  因為二者他們完全的傾覆
[00:02:29.240 --> 00:02:35.320]  大巴比倫大淫婦所代表的世界的世俗的城市
[00:02:35.320 --> 00:02:39.600]  又或者說是各個敵對神的不同的群體
[00:02:39.600 --> 00:02:42.640]  他們面對神的審判
[00:02:42.640 --> 00:02:45.840]  所以你看到裡面充滿著很多的悲哀
[00:02:45.840 --> 00:02:48.760]  很多的哀嘆的聲音
[00:02:48.760 --> 00:02:51.720]  但是聖經來到第十九章的時候
[00:02:51.720 --> 00:02:54.920]  整個的情況是改變了
[00:02:54.920 --> 00:02:56.800]  不再是悲哀的事情
[00:02:56.800 --> 00:02:59.520]  而是講述到不斷的頌讚
[00:02:59.520 --> 00:03:01.440]  不斷的讚美
[00:03:01.440 --> 00:03:04.920]  因為基督得勝了
[00:03:04.920 --> 00:03:07.040]  在第十九章裡面你會見到
[00:03:07.040 --> 00:03:10.040]  充滿著很多不同敬拜的場景
[00:03:10.040 --> 00:03:12.280]  很多頌讚的場景
[00:03:12.280 --> 00:03:14.640]  亦都講到在神的時候
[00:03:14.640 --> 00:03:19.480]  上帝讓主耶穌基督再次來到世上
[00:03:19.480 --> 00:03:22.680]  正所講的基督的再臨出現
[00:03:22.680 --> 00:03:25.320]  因此歡喜快樂的場景出現了
[00:03:25.320 --> 00:03:31.040]  而教會在當時亦都獻上對神的頌讚和敬拜
[00:03:31.040 --> 00:03:34.160]  其實今天當我們在教會裡面敬拜的時候
[00:03:34.160 --> 00:03:38.000]  亦都是在預演著對主的敬拜
[00:03:38.000 --> 00:03:39.800]  因為知道我們今天的敬拜
[00:03:39.800 --> 00:03:42.240]  一路延伸到將來
[00:03:42.240 --> 00:03:44.280]  當主再回來的時候
[00:03:44.280 --> 00:03:46.160]  當時的敬拜
[00:03:46.160 --> 00:03:50.320]  而當我們再思想將來的事情的時候
[00:03:50.320 --> 00:03:54.760]  我們就會更加知道今天怎樣來敬拜神
[00:03:54.760 --> 00:03:56.320]  在你作讀十九章的時候
[00:03:56.320 --> 00:03:58.320]  你發覺十九章裡面
[00:03:58.320 --> 00:04:02.880]  你見到有三個很龐大的合唱團
[00:04:02.880 --> 00:04:06.440]  他們都將那種敬拜獻給上帝
[00:04:06.440 --> 00:04:10.360]  我們試一下一個一個來思想
[00:04:10.360 --> 00:04:12.160]  在開始的時候十九章第一節
[00:04:12.160 --> 00:04:14.320]  講到天上有一大群人
[00:04:14.320 --> 00:04:16.680]  他們在敬拜讚美神
[00:04:16.680 --> 00:04:18.880]  第十九章第一節講到
[00:04:18.880 --> 00:04:25.320]  「這些事以後我聽見天上好像有一大群人大聲說
[00:04:25.320 --> 00:04:26.800]  Hallelujah
[00:04:26.800 --> 00:04:31.880]  救恩、榮耀、權能都屬於我們的神」
[00:04:31.880 --> 00:04:33.120]  然後第二節講
[00:04:33.120 --> 00:04:37.240]  「因為他的審判是真實公義的
[00:04:37.240 --> 00:04:39.960]  他審判了那大淫婦
[00:04:39.960 --> 00:04:42.560]  那以淫亂敗壞了世界的
[00:04:42.560 --> 00:04:49.000]  並且為他的僕人向淫婦伸了流血的冤」
[00:04:49.000 --> 00:04:51.040]  聖經提到有一大群人
[00:04:51.040 --> 00:04:52.960]  他們在天上
[00:04:52.960 --> 00:04:55.080]  他們是甚麼人呢?
[00:04:55.080 --> 00:04:57.760]  如果你留意前面十八章的時候
[00:04:57.760 --> 00:05:00.200]  聖經提到有一大群人
[00:05:00.200 --> 00:05:02.920]  在十八章第二十節有提到
[00:05:02.920 --> 00:05:06.680]  有眾聖徒、有先知等等
[00:05:06.680 --> 00:05:09.160]  然後十九章之前一節
[00:05:09.160 --> 00:05:12.360]  就是十八章的二十四節
[00:05:12.360 --> 00:05:18.120]  就提到有先知、聖徒和遞送一切被殺的人的血
[00:05:18.120 --> 00:05:20.040]  聖經提到這一大群人
[00:05:20.040 --> 00:05:23.280]  包括了很多歷代的聖徒
[00:05:23.280 --> 00:05:25.320]  很多的先知
[00:05:25.320 --> 00:05:30.760]  特別是很多曾經是為主的真道、殉道的人
[00:05:30.760 --> 00:05:32.920]  這一大群人他們在天上
[00:05:32.920 --> 00:05:38.880]  他們一切來讚美神、稱頌、歌頌上帝
[00:05:38.880 --> 00:05:41.080]  而特別他們歌頌到的
[00:05:41.080 --> 00:05:44.120]  是神在大巴比倫身上
[00:05:44.120 --> 00:05:47.800]  為了他們來伸了冤
