
[00:00:00.000 --> 00:00:05.000]  如果耶穌一出世已經是一個超能的嬰兒
[00:00:05.000 --> 00:00:08.400]  祂一出世已經可以坐下來
[00:00:08.400 --> 00:00:10.700]  會走、會走
[00:00:10.700 --> 00:00:14.300]  甚至可以又跳又唱
[00:00:14.300 --> 00:00:15.500]  吃什麼都可以
[00:00:15.500 --> 00:00:17.300]  尿片都不用吐
[00:00:17.300 --> 00:00:19.400]  我想問,如果你生了這樣的嬰兒
[00:00:19.400 --> 00:00:20.500]  一出世已經是這樣
[00:00:20.500 --> 00:00:24.000]  你開心嗎?
[00:00:24.000 --> 00:00:28.300]  大家都要存著一個很害怕的想法
[00:00:28.300 --> 00:00:30.800]  去歡迎一個這樣的嬰兒
[00:00:30.800 --> 00:00:33.600]  甚至耶穌一出世是一個超能的嬰兒
[00:00:33.600 --> 00:00:35.600]  甚至可以識飛
[00:00:35.600 --> 00:00:37.800]  祂可以來拯救這個地球
[00:00:37.800 --> 00:00:41.700]  不知道你們覺得耶穌多麼厲害
[00:00:41.700 --> 00:00:44.300]  甚至祂的眼睛可以出一些激光出來
[00:00:44.300 --> 00:00:46.100]  射死那些壞人
[00:00:46.100 --> 00:00:47.600]  一個嬰兒已經識飛
[00:00:47.600 --> 00:00:48.800]  可以有激光出來
[00:00:48.800 --> 00:00:50.400]  殺死那些壞人
[00:00:50.400 --> 00:00:52.200]  這個世界你說多麼好
[00:00:52.200 --> 00:00:59.300]  會不會如果這樣的形象的耶穌會有很多人立刻去相信祂呢?
[00:00:59.300 --> 00:01:01.300]  但是很可惜
[00:01:01.300 --> 00:01:02.700]  耶穌的童年
[00:01:02.700 --> 00:01:04.000]  耶穌的少年
[00:01:04.000 --> 00:01:05.700]  耶穌的青年時期
[00:01:05.700 --> 00:01:07.800]  在祂三十歲之前
[00:01:07.800 --> 00:01:11.300]  是一個平凡不過的生命
[00:01:11.300 --> 00:01:16.800]  因為三十歲之前的耶穌的大部分的歷史
[00:01:16.800 --> 00:01:19.800]  都沒有正式記錄下來
[00:01:19.800 --> 00:01:21.900]  耶穌三十歲之前做了些什麼呢?
[00:01:21.900 --> 00:01:23.000]  很多人都相信
[00:01:23.000 --> 00:01:27.000]  祂只是過了一個普通的木匠的兒子的生活
[00:01:27.000 --> 00:01:29.700]  可能跟爸爸一起怎麼去鬥木
[00:01:29.700 --> 00:01:31.800]  做一個木匠的兒子
[00:01:31.800 --> 00:01:36.800]  這段時期通常都會被稱為一場隱藏的歲月
[00:01:36.800 --> 00:01:38.200]  沒有什麼特別記錄下來
