
[00:00:00.000 --> 00:00:08.140]  我們今天講到保羅是如何將他的生命全部改變過來
[00:00:08.140 --> 00:00:10.700]  活像基督徒
[00:00:10.700 --> 00:00:16.240]  他活着唯一的目的就是這位主耶穌
[00:00:16.240 --> 00:00:21.440]  我們看看《已忽所書》第二章第四節至第十節的講法
[00:00:21.440 --> 00:00:25.440]  然而神既有豐富的憐憫
[00:00:25.440 --> 00:00:27.440]  因他愛我們的大愛
[00:00:27.440 --> 00:00:29.440]  當我們死在過犯的時候
[00:00:29.440 --> 00:00:32.000]  便叫我們與基督一同活過來
[00:00:32.000 --> 00:00:34.000]  你們得救是本福恩
[00:00:34.000 --> 00:00:37.000]  他又叫我們與基督耶穌一同復活
[00:00:37.000 --> 00:00:39.000]  一同坐在天上
[00:00:39.000 --> 00:00:42.000]  要將他極豐富的恩典
[00:00:42.000 --> 00:00:46.000]  就是他在基督耶穌裏向我們所施的恩賜
[00:00:46.000 --> 00:00:49.000]  顯明給後來的世代看
[00:00:49.000 --> 00:00:52.500]  你們得救是本福恩也因着順
[00:00:52.500 --> 00:00:56.000]  這並不是出於自己乃是神所賜的
[00:00:56.000 --> 00:00:58.500]  也不是出於行爲免得有人自誇
[00:00:58.500 --> 00:01:00.500]  我們願是他的工作
[00:01:00.500 --> 00:01:02.500]  在基督耶穌裏造成的
[00:01:02.500 --> 00:01:04.500]  爲要叫我們行善
[00:01:04.500 --> 00:01:06.500]  這就是神所預備
[00:01:06.500 --> 00:01:08.500]  叫我們行的
[00:01:08.500 --> 00:01:11.500]  這裏其實今天我們講的
[00:01:11.500 --> 00:01:15.500]  就是說活出一個基督徒的生命
[00:01:15.500 --> 00:01:17.500]  就是活出一個不一樣的生命
[00:01:17.500 --> 00:01:19.500]  一個不一樣的生命
[00:01:19.500 --> 00:01:23.500]  很自然就會和現今世界的文化
[00:01:23.500 --> 00:01:26.500]  有一個抗衡的力量在
[00:01:26.500 --> 00:01:29.500]  剛纔講了保羅信了主之後
[00:01:29.500 --> 00:01:32.500]  他整個的生命被改變
[00:01:32.500 --> 00:01:34.500]  當主耶穌和他的生命同行的時候
[00:01:34.500 --> 00:01:38.500]  他的生命變成一個很興奮的生命
[00:01:38.500 --> 00:01:45.500]  我們看看他如何活出一個興奮的生命
[00:01:45.500 --> 00:01:49.500]  原來基督徒這個名詞是從哪裏開始的呢
[00:01:49.500 --> 00:01:52.500]  原來在聖經裏面記載
[00:01:52.500 --> 00:01:54.500]  是從安提阿開始的
[00:01:54.500 --> 00:01:58.500]  我們看看安提阿究竟是怎樣的
[00:01:58.500 --> 00:02:01.500]  有幾個地圖在這裏
[00:02:01.500 --> 00:02:07.500]  其實安提阿就在敘利亞和土耳其的邊境
[00:02:07.500 --> 00:02:11.500]  在西北部的地方
[00:02:11.500 --> 00:02:14.500]  以前就屬於敘利亞
[00:02:14.500 --> 00:02:16.500]  但現在就屬於土耳其
[00:02:16.500 --> 00:02:18.500]  在土耳其哪裏呢
[00:02:18.500 --> 00:02:22.500]  土耳其現在有個城叫Antakya
[00:02:22.500 --> 00:02:26.500]  好像很熟悉
[00:02:26.500 --> 00:02:31.500]  翻譯過來就是安提阿或者安提阿
[00:02:31.500 --> 00:02:34.500]  當時的古名叫安提阿
[00:02:34.500 --> 00:02:37.500]  現在就在土耳其的地方
[00:02:37.500 --> 00:02:39.500]  其實在第一世紀裏面
[00:02:39.500 --> 00:02:42.500]  安提阿是一個很重要的城鎮
[00:02:42.500 --> 00:02:45.500]  其實在整個羅馬帝國裏面
[00:02:45.500 --> 00:02:48.500]  它是第三大的一個城市
[00:02:48.500 --> 00:02:51.500]  相傳馬太在哪裏寫馬太福音呢
[00:02:51.500 --> 00:02:55.500]  原來就在安提阿這個地方寫馬太福音
[00:02:55.500 --> 00:03:01.500]  保羅花了14年的時間住在安提阿里面
[00:03:01.500 --> 00:03:03.500]  在新約裏面
[00:03:03.500 --> 00:03:05.500]  基督徒
[00:03:05.500 --> 00:03:07.500]  我們就會有個問題
[00:03:07.500 --> 00:03:08.500]  什麼叫基督徒
[00:03:08.500 --> 00:03:10.500]  基督徒是什麼意思呢
[00:03:10.500 --> 00:03:12.500]  我們就想一下
[00:03:12.500 --> 00:03:17.500]  原來基督徒這個詞在新約裏面出現了三次
[00:03:17.500 --> 00:03:20.500]  第一次在哪裏呢
[00:03:20.500 --> 00:03:22.500]  在《史唐傳》第十一章
[00:03:22.500 --> 00:03:25.500]  就是說門徒被稱爲基督徒
[00:03:25.500 --> 00:03:27.500]  是從安提阿開始的
[00:03:27.500 --> 00:03:31.500]  原來那個時候這個名字基督徒
[00:03:31.500 --> 00:03:33.500]  其實翻出來的意思
[00:03:33.500 --> 00:03:37.500]  就是跟隨或者跟從耶穌的人
[00:03:37.500 --> 00:03:39.500]  其實在當時來說
[00:03:39.500 --> 00:03:41.500]  這個是一個花名
[00:03:41.500 --> 00:03:42.500]  是一個暱稱
[00:03:42.500 --> 00:03:46.500]  相信大家以前或者小時候
