
[00:00:00.000 --> 00:00:02.000]  我們看了《彼得前書》
[00:00:02.000 --> 00:00:04.000]  《彼得前書》講到一開始
[00:00:04.000 --> 00:00:08.000]  第一章講到我們的救贖是聖父、聖子、聖靈
[00:00:08.000 --> 00:00:11.000]  都有那個的位份
[00:00:11.000 --> 00:00:14.000]  或者有不同的負責的部分
[00:00:14.000 --> 00:00:17.000]  接著就講我們得救之後
[00:00:17.000 --> 00:00:19.000]  我們會得到些什麼
[00:00:19.000 --> 00:00:23.000]  我們有兩堂的時間就看到得救之後得到些什麼
[00:00:23.000 --> 00:00:26.000]  然後我們就不只是要為了上天國
[00:00:26.000 --> 00:00:28.000]  我們很重要的
[00:00:28.000 --> 00:00:30.000]  就是我們要過一個聖潔的生活
[00:00:30.000 --> 00:00:32.000]  上一次都看了
[00:00:32.000 --> 00:00:36.000]  我們成聖是需要什麼樣的動力
[00:00:36.000 --> 00:00:38.000]  或者知識
[00:00:38.000 --> 00:00:41.000]  以致我們生活可以成為聖潔
[00:00:41.000 --> 00:00:48.000]  大家如果沒有參與了以前那五次的查經的話
[00:00:48.000 --> 00:00:51.000]  大家可以在YouTube打劉永事牧師
[00:00:51.000 --> 00:00:56.000]  就會看到我們過去的教導
[00:00:56.000 --> 00:01:00.000]  記住信徒不是單打獨鬥
[00:01:00.000 --> 00:01:03.000]  主耶穌教導我們門徒去祈禱
[00:01:03.000 --> 00:01:04.000]  我已經講了
[00:01:04.000 --> 00:01:06.000]  那個不是叫主祷文
[00:01:06.000 --> 00:01:08.000]  那個是耶穌教我們去祈禱
[00:01:08.000 --> 00:01:09.000]  一開始怎麼樣
[00:01:09.000 --> 00:01:12.000]  我們在天上的父
[00:01:12.000 --> 00:01:15.000]  這個是一個個人性的禱告
[00:01:15.000 --> 00:01:17.000]  教我們個人怎樣去祈禱
[00:01:17.000 --> 00:01:19.000]  但他提出我們一個觀念是什麼
[00:01:19.000 --> 00:01:20.000]  我們是一個群體
[00:01:20.000 --> 00:01:22.000]  我們在天上的父
[00:01:22.000 --> 00:01:25.000]  今天我們應該有一個很重要的意識
[00:01:25.000 --> 00:01:27.000]  我們是彼此之間有關連的
[00:01:27.000 --> 00:01:31.000]  我們是基督的身體裏面
[00:01:31.000 --> 00:01:34.000]  我們是一個教堂
[00:01:34.000 --> 00:01:37.000]  我們今天就會看
[00:01:37.000 --> 00:01:39.000]  活石建成為靈宮
[00:01:39.000 --> 00:01:41.000]  我們首先來看彼得前書
[00:01:41.000 --> 00:01:43.000]  第二章第四到第八節
[00:01:43.000 --> 00:01:46.000]  這個就是今天晚上我們要查經文
[00:01:46.000 --> 00:01:52.000]  原來我還沒跟大家分享那個畫面
[00:01:52.000 --> 00:01:53.000]  真失敗
[00:01:53.000 --> 00:01:55.000]  好
[00:01:55.000 --> 00:01:57.000]  大家看到畫面了
[00:01:57.000 --> 00:02:01.000]  彼得前書第二章第四到第八節
[00:02:01.000 --> 00:02:04.000]  我很想大家一齊來讀
[00:02:04.000 --> 00:02:06.000]  可能讀出聲位找心來讀
[00:02:06.000 --> 00:02:09.000]  但我請二汪帶領我們讀這段經文
[00:02:09.000 --> 00:02:11.000]  第二章第四到第八節
[00:02:11.000 --> 00:02:15.000]  主乃活石,固然是被人所棄的
[00:02:15.000 --> 00:02:18.000]  卻是被神所揀選,所寶貴的
