
[00:00:00.000 --> 00:00:04.000]  我們講到這個《啟示錄》
[00:00:04.000 --> 00:00:09.300]  我想很多人覺得《啟示錄》是一本很難了解的書
[00:00:09.300 --> 00:00:14.000]  但是《啟示錄》卻是一個很重要的一卷書
[00:00:14.000 --> 00:00:16.500]  《啟示錄》裡面有很多的預言
[00:00:16.500 --> 00:00:19.000]  講到將來的事情
[00:00:19.000 --> 00:00:22.000]  特別現在末日越來越接近
[00:00:22.000 --> 00:00:24.000]  主債來的時候越來越接近了
[00:00:24.000 --> 00:00:26.500]  神的兒女們都應該要明白
[00:00:26.500 --> 00:00:28.500]  未來要發生的事情
[00:00:28.500 --> 00:00:32.000]  以至於我們知道怎麼在這個時候我們來預備我們自己
[00:00:32.000 --> 00:00:35.000]  我們在前面的信息裡面講到
[00:00:35.000 --> 00:00:37.000]  《啟示錄》的第一章、第二章、第三章
[00:00:37.000 --> 00:00:39.500]  今天我們要開始講第四章了
[00:00:39.500 --> 00:00:41.000]  但是我們先稍微複習一下
[00:00:41.000 --> 00:00:44.000]  《啟示錄》第一章到第三章裡面
[00:00:44.000 --> 00:00:47.000]  你可以看見《啟示錄》裡面第一章一開始
[00:00:47.000 --> 00:00:50.000]  約翰看見異象
[00:00:50.000 --> 00:00:52.500]  所以約翰看見這個異象裡面
[00:00:52.500 --> 00:00:53.500]  他看到什麼呢?
[00:00:53.500 --> 00:00:56.000]  第一章裡面就看見說他看見這個人子
[00:00:56.000 --> 00:00:57.500]  看見耶穌基督
[00:00:57.500 --> 00:00:59.500]  所以我們在第一章裡面講到說
[00:00:59.500 --> 00:01:01.000]  認識這位耶穌基督
[00:01:01.000 --> 00:01:03.000]  這是一個非常重要的事情
[00:01:03.000 --> 00:01:05.000]  那麼接著在第一章裡面
[00:01:05.000 --> 00:01:08.000]  也講到耶穌基督他的工作、他的身份
[00:01:08.000 --> 00:01:11.000]  那麼在第一章裡面也讓我們看見說
[00:01:11.000 --> 00:01:13.000]  侍奉耶穌基督的工人
[00:01:13.000 --> 00:01:16.000]  約翰就是那一個侍奉耶穌基督的工人
[00:01:16.000 --> 00:01:17.500]  他看見了這位主
[00:01:17.500 --> 00:01:21.500]  所以他的侍奉才能夠帶出影響力、帶出國效
[00:01:21.500 --> 00:01:25.000]  那麼第二章、第三章就講到《啟示錄》的七個教會
[00:01:25.000 --> 00:01:29.000]  我們講到這些教會裡面大部分都被主責備
[00:01:29.000 --> 00:01:38.000]  那麼只有《寺美拉》還有《推亞推拉》
[00:01:38.000 --> 00:01:41.000]  這些教會裡面
