
[00:00:00.000 --> 00:00:04.000]  瞎眼的、瘸鐵的、血氣枯乾的許多人
[00:00:04.000 --> 00:00:06.600]  他們躺在那裡做什麼
[00:00:06.600 --> 00:00:09.040]  古聖經上面說
[00:00:09.040 --> 00:00:11.800]  他們躺在那裡等水動
[00:00:11.800 --> 00:00:14.000]  因為他們說在那邊有天使
[00:00:14.000 --> 00:00:15.600]  他會攪動水
[00:00:15.600 --> 00:00:17.000]  當水一動的時候
[00:00:17.000 --> 00:00:18.280]  無論你害了什麼病
[00:00:18.280 --> 00:00:20.000]  你只要下到池子裡面
[00:00:20.000 --> 00:00:22.400]  你就病就得醫治
[00:00:22.400 --> 00:00:23.400]  太棒了
[00:00:23.400 --> 00:00:24.480]  他來樂陽
[00:00:24.480 --> 00:00:26.280]  但是您知道嗎
[00:00:26.280 --> 00:00:32.200]  現在我們來講到底西伯來話畢氏大是什麼意思
[00:00:32.200 --> 00:00:38.000]  畢在西伯來話裡面叫做房子或者是家
[00:00:38.000 --> 00:00:41.400]  畢氏大是說恩典憐憫之家
[00:00:41.400 --> 00:00:43.280]  或者是醫治之家
[00:00:43.280 --> 00:00:46.280]  因為神的恩典、神的憐憫
[00:00:46.280 --> 00:00:48.480]  包括祂的醫治
[00:00:48.480 --> 00:00:52.600]  譬如說當有人患了病來找耶穌的時候
[00:00:52.600 --> 00:00:56.600]  常常耶穌說要在身上顯出神的榮耀來
[00:00:56.600 --> 00:00:59.200]  或者說這個人是因為他犯了罪
[00:00:59.200 --> 00:01:01.200]  所以神赦免你
[00:01:01.200 --> 00:01:04.400]  赦免你讓你病好起來
[00:01:04.400 --> 00:01:07.600]  所以憐憫、恩典包括醫治
[00:01:07.600 --> 00:01:13.600]  所以畢氏大就是憐憫、恩典、醫治之家
[00:01:13.600 --> 00:01:17.880]  而池子在希臘文裡面
[00:01:17.880 --> 00:01:20.880]  它的意思是說跳下去
[00:01:20.880 --> 00:01:22.080]  順便一提
[00:01:22.080 --> 00:01:24.480]  我們上次講的
[00:01:24.480 --> 00:01:26.880]  耶穌是世界的光
[00:01:26.880 --> 00:01:28.480]  那個瞎眼的人
[00:01:28.480 --> 00:01:31.280]  他是在哪裡得到醫治
[00:01:31.280 --> 00:01:34.000]  他是在西羅底池
[00:01:34.000 --> 00:01:37.800]  西羅底池池子的意思是說奉差遣
[00:01:37.800 --> 00:01:41.600]  所以意思說我是奉神差遣來這裡來醫治你的
[00:01:41.600 --> 00:01:43.600]  你相信就得醫治
[00:01:43.600 --> 00:01:45.400]  因為我是世界的光
[00:01:45.400 --> 00:01:49.600]  今天耶穌說你跳下去你就要得到醫治
[00:01:49.600 --> 00:01:53.200]  但是這個人他患病患了三十八年
[00:01:53.200 --> 00:01:55.200]  其實他這個病到底是什麼病
[00:01:55.200 --> 00:01:57.000]  神經上沒有講
[00:01:57.000 --> 00:02:00.400]  但是肯定他不聾不啞不瞎
[00:02:00.400 --> 00:02:01.200]  對不對
[00:02:01.200 --> 00:02:03.000]  他還能講話
[00:02:03.000 --> 00:02:03.600]  對不對
[00:02:03.600 --> 00:02:06.200]  他還能看見池子水洞
[00:02:06.200 --> 00:02:06.800]  對不對
[00:02:06.800 --> 00:02:09.400]  然後他說每次我看到水洞我要下去的時候
[00:02:09.400 --> 00:02:11.800]  表示說他還能動一些
[00:02:11.800 --> 00:02:15.000]  但是他患了三十八年的病
[00:02:15.000 --> 00:02:18.600]  如果真是重病真的拖不了三十八年
[00:02:18.600 --> 00:02:21.200]  而我們再想想
[00:02:21.200 --> 00:02:24.600]  這個人是誰跟他在搶路子
[00:02:24.600 --> 00:02:27.400]  誰跟他在搶著要下池子
[00:02:27.400 --> 00:02:30.400]  瞎眼的缺腿的血氣枯乾的
[00:02:30.400 --> 00:02:35.400]  我今天如果跟東東比賽看哪一個跑得快的話
[00:02:35.400 --> 00:02:37.400]  我是跑不過他了
[00:02:37.400 --> 00:02:39.000]  說不一定
[00:02:39.000 --> 00:02:42.400]  但是我跟姚姥姥比賽跑路我一定跑得過她
[00:02:42.400 --> 00:02:43.600]  對不對
[00:02:43.600 --> 00:02:45.600]  瞎眼的缺點的
[00:02:45.600 --> 00:02:47.600]  那也不一定
[00:02:47.600 --> 00:02:51.600]  姚姥姥說不定左腳蹬右腳一當二出去了
[00:02:51.600 --> 00:02:53.600]  他這裡是說是缺腿的
[00:02:53.600 --> 00:02:54.600]  瞎眼的
[00:02:54.600 --> 00:02:56.200]  血氣枯乾的
[00:02:56.200 --> 00:02:58.000]  他居然搶不過他們
[00:02:58.000 --> 00:02:59.600]  你說像話嗎
[00:02:59.600 --> 00:03:02.600]  所以耶穌就問他一個很有意思的問題
[00:03:02.600 --> 00:03:05.000]  你要權益嗎
[00:03:05.000 --> 00:03:06.600]  三十八年了
[00:03:06.600 --> 00:03:08.600]  你還在這邊幹什麼
[00:03:08.600 --> 00:03:11.000]  你要等襲擊發生嗎
[00:03:11.000 --> 00:03:13.600]  從耶穌的角度來看
[00:03:13.600 --> 00:03:17.600]  那個池水在動的時候也不是什麼天使
[00:03:17.600 --> 00:03:20.600]  那個水下面有活泉
[00:03:20.600 --> 00:03:22.600]  那麼耶穌自己很清楚
[00:03:22.600 --> 00:03:26.600]  神蹟是神做出來的
[00:03:26.600 --> 00:03:28.600]  耶穌要你權益你就權益
[00:03:28.600 --> 00:03:30.600]  那麼耶穌問他說
[00:03:30.600 --> 00:03:32.600]  你要權益嗎
[00:03:32.600 --> 00:03:33.600]  他還怎麼樣
[00:03:33.600 --> 00:03:34.600]  一大堆理由
[00:03:34.600 --> 00:03:35.600]  對不對
[00:03:35.600 --> 00:03:37.600]  我在這邊這麼說
[00:03:37.600 --> 00:03:39.600]  我每次看到水動的時候
[00:03:39.600 --> 00:03:41.600]  要下去的時候已經來不及了
[00:03:41.600 --> 00:03:44.600]  又沒有人把我放下去
[00:03:44.600 --> 00:03:46.600]  所以耶穌說你要權益嗎
[00:03:46.600 --> 00:03:48.600]  然後耶穌跟他說什麼
[00:03:48.600 --> 00:03:51.600]  起來拿你的鹿子走吧
[00:03:51.600 --> 00:03:53.600]  結果他就起來拿著鹿子就走了
[00:03:53.600 --> 00:03:55.600]  神蹟就發生了
[00:03:55.600 --> 00:03:58.600]  假如他還要說沒有人把我放到水池裡面
[00:03:58.600 --> 00:04:00.600]  他一輩子起不來
[00:04:00.600 --> 00:04:03.600]  他一輩子活不起來不是嗎
[00:04:03.600 --> 00:04:05.600]  所以我就禁不住想說
[00:04:05.600 --> 00:04:07.600]  你要權益嗎
[00:04:07.600 --> 00:04:08.600]  你要得救嗎
[00:04:08.600 --> 00:04:14.600]  你可能有了38年的上教會
[00:04:14.600 --> 00:04:17.600]  但是從來就沒有得救
[00:04:17.600 --> 00:04:20.600]  或者說你根本就沒有要得救
[00:04:20.600 --> 00:04:23.600]  像這個患了38年病的人
[00:04:23.600 --> 00:04:26.600]  有各式各樣的藉口
[00:04:26.600 --> 00:04:29.600]  連瞎眼的都權益了
[00:04:29.600 --> 00:04:30.600]  連瘸子都權益了
[00:04:30.600 --> 00:04:33.600]  連血腥哭乾的都權益了
[00:04:33.600 --> 00:04:35.600]  他還沒有權益
