
[00:00:00.000 --> 00:00:02.640]  第一節大家平安,又一齊讀聖經
[00:00:02.640 --> 00:00:06.360]  生命樹宣教網絡為大家預備聖經人士
[00:00:06.360 --> 00:00:08.320]  以及聖經背後的上帝
[00:00:08.320 --> 00:00:11.920]  看看各方面的互動是怎樣
[00:00:11.920 --> 00:00:15.560]  今天繼續講時詩記都來到最後了
[00:00:15.560 --> 00:00:18.560]  時詩記最後那五章再次提一提
[00:00:18.560 --> 00:00:20.600]  是非常之混亂的
[00:00:20.600 --> 00:00:24.600]  完全是應了那時以色列中沒有王管
[00:00:24.600 --> 00:00:26.600]  各人任意而行
[00:00:26.600 --> 00:00:30.000]  大家不停地廝殺
[00:00:30.000 --> 00:00:33.800]  主要是大家自己之間打的
[00:00:33.800 --> 00:00:37.600]  卞雅敏死了二萬五千人
[00:00:37.600 --> 00:00:39.880]  城邑全燒
[00:00:39.880 --> 00:00:42.400]  卞雅敏是其中一個支派
[00:00:42.400 --> 00:00:44.600]  由於他有些很惡的人
[00:00:44.600 --> 00:00:49.800]  記得南邊的城市他們覺得不夠地方住
[00:00:49.800 --> 00:00:54.800]  於是向北派了五個探子去找到北邊的拉益
[00:00:54.800 --> 00:00:56.800]  殺了那些人
[00:00:56.800 --> 00:00:59.200]  然後改名叫丹
[00:00:59.200 --> 00:01:02.800]  發生了很多事情
[00:01:02.800 --> 00:01:09.600]  接著又有人被卞雅敏人殺死
[00:01:09.600 --> 00:01:15.200]  於是全部的以色列支派一齊攻擊卞雅敏
[00:01:15.200 --> 00:01:17.200]  卞雅敏覺得我們好打
[00:01:17.200 --> 00:01:19.400]  就跟你這麼多人打
[00:01:19.400 --> 00:01:22.200]  四十萬人我們二萬多
[00:01:22.200 --> 00:01:25.600]  都夠膽跟以色列十一支派打
[00:01:25.600 --> 00:01:30.000]  結果到最後卞雅敏輸了仗
[00:01:30.000 --> 00:01:32.400]  死了二萬五千人
[00:01:32.400 --> 00:01:36.200]  以色列當時來說
[00:01:36.200 --> 00:01:40.200]  二萬五千人是很多人
[00:01:40.200 --> 00:01:45.600]  差不多是卞雅敏全部主要的壯丁
[00:01:45.600 --> 00:01:48.000]  而且城邑都被燒了
[00:01:48.000 --> 00:01:52.200]  你見到當時是一個非常亂世
[00:01:52.200 --> 00:01:55.400]  大家讀一下《史詩記》二十章
[00:01:55.400 --> 00:01:56.800]  二十章是這樣說的
