
[00:00:00.000 --> 00:00:02.300]  今天是年初五
[00:00:02.300 --> 00:00:03.800]  仍然是農曆年期間
[00:00:03.800 --> 00:00:06.500]  所以也要跟大家說聲新年快樂
[00:00:06.500 --> 00:00:07.860]  主恩上載
[00:00:07.860 --> 00:00:13.300]  今晚我們繼續說我們《新命記》的第一個系列
[00:00:13.300 --> 00:00:17.340]  叫做《過去與現在的對話》的一篇訊息
[00:00:17.340 --> 00:00:18.960]  這一篇今天的訊息
[00:00:18.960 --> 00:00:21.160]  其實已經是這個系列的第三講了
[00:00:21.160 --> 00:00:22.360]  過年之前
[00:00:22.360 --> 00:00:24.560]  其實我們分別邀請了
[00:00:24.560 --> 00:00:28.060]  Pastor Eamon 和 Pastor Liz 來到我們中間
[00:00:28.060 --> 00:00:31.940]  他們和我們其實主要是集中分享了
[00:00:31.940 --> 00:00:35.560]  《新命記》的頭三章不同的內容
[00:00:35.560 --> 00:00:37.700]  《新命記》的頭三章的內容
[00:00:37.700 --> 00:00:39.200]  其實主要是在說什麼呢?
[00:00:39.200 --> 00:00:44.240]  就是在說摩西說回以色列人之前的一些歷史
[00:00:44.240 --> 00:00:46.740]  他和一群新的以色列人
[00:00:46.740 --> 00:00:50.900]  指的是那群在礦業出生的那一代
[00:00:50.900 --> 00:00:52.440]  叫做新一代的以色列人
[00:00:52.440 --> 00:00:56.500]  去回顧當日摩西自己
[00:00:56.500 --> 00:00:58.100]  如何被蒙召
[00:00:58.100 --> 00:01:02.800]  然後帶上一代的以色列人去出埃及
[00:01:02.800 --> 00:01:06.500]  然後他又在以色列人的中間做了一件事情
[00:01:06.500 --> 00:01:10.700]  就是為他們立了不同的領袖
[00:01:10.700 --> 00:01:14.200]  什麼千夫長、百夫長、十夫長那一類的
[00:01:14.200 --> 00:01:16.700]  而到他們一直走一直走
[00:01:16.700 --> 00:01:21.100]  就到了一個地方叫做加底斯巴尼亞的地方
[00:01:21.100 --> 00:01:23.700]  摩西就和一群以色列人說
[00:01:23.700 --> 00:01:26.900]  我們要照耶和華所說的
[00:01:26.900 --> 00:01:29.100]  上去德那地為業
[00:01:29.100 --> 00:01:33.500]  不過這群百姓聽到這件事之後
