
[00:00:00.000 --> 00:00:02.000]  大家認不認得這個戒指呢?
[00:00:02.000 --> 00:00:05.000]  這個戒指是一部電影的
[00:00:05.000 --> 00:00:08.000]  很出名的魔戒,《Lord of the Ring》
[00:00:08.000 --> 00:00:11.000]  這部電影的故事就是說
[00:00:11.000 --> 00:00:16.000]  誰擁有這個戒指的話,就可以擁有無上的權力
[00:00:16.000 --> 00:00:18.000]  所以這部故事就是說
[00:00:18.000 --> 00:00:21.000]  無論正與邪的人物,故事人物
[00:00:21.000 --> 00:00:24.000]  都是為了這個戒指來爭奪
[00:00:24.000 --> 00:00:26.000]  這個戒指
[00:00:26.000 --> 00:00:30.000]  因為我們所看的故事,這個故事裡面的主角就不需要爭奪
[00:00:30.000 --> 00:00:35.000]  因為他從皇帝手上就拿到一隻擁有權力的戒指
[00:00:35.000 --> 00:00:39.000]  可以有權力來做他要做的事情
[00:00:39.000 --> 00:00:43.000]  其實權力,好像錢和明星一樣
[00:00:43.000 --> 00:00:46.000]  都是中性的,視乎你怎樣用它
[00:00:46.000 --> 00:00:51.000]  當我們運用權力在神的心意裡面的時候
[00:00:51.000 --> 00:00:54.000]  我們可以榮神益人
[00:00:54.000 --> 00:00:58.000]  如果不是的話,很有可能就會帶來災難、毀滅
[00:00:58.000 --> 00:01:01.000]  今天的故事其實是一個好的例子
[00:01:01.000 --> 00:01:05.000]  當人擁有權力的時候,有什麼地方可以出錯呢?
[00:01:05.000 --> 00:01:10.000]  可以出錯的地方,這個故事人物裡面都會出錯
[00:01:10.000 --> 00:01:13.000]  今天我們一同在這個故事學習
[00:01:13.000 --> 00:01:18.000]  怎樣可以避免陷入權力的陷阱裡面
[00:01:18.000 --> 00:01:20.000]  好了,我們來看這個故事
[00:01:20.000 --> 00:01:22.000]  故事一開始的時候
[00:01:22.000 --> 00:01:27.000]  說到哈曼被皇帝所升職
[00:01:27.000 --> 00:01:31.000]  超乎他們其他的臣僕
[00:01:31.000 --> 00:01:34.000]  甚至皇帝叫其他的臣僕
[00:01:34.000 --> 00:01:36.000]  看到哈曼都要跪拜他
[00:01:36.000 --> 00:01:43.000]  《聖經》沒有說為什麼哈曼可以得到這樣的升職
[00:01:43.000 --> 00:01:47.000]  不過重要的是,我們如果看這個故事的話
[00:01:47.000 --> 00:01:51.000]  我們都不難發現,哈曼在升職之前
[00:01:51.000 --> 00:01:54.000]  其實他只是一個普通的臣僕
[00:01:54.000 --> 00:01:57.000]  但是就是某一些原因
[00:01:57.000 --> 00:02:00.000]  讓這個皇帝在眾多的僕人裡面
[00:02:00.000 --> 00:02:02.000]  只是提升哈曼而已
[00:02:02.000 --> 00:02:04.000]  好了,我記得我以前
[00:02:04.000 --> 00:02:09.000]  大家都知道我以前是在電腦行業工作的
[00:02:09.000 --> 00:02:11.000]  有一次我親眼看到
[00:02:11.000 --> 00:02:13.000]  在一個部門裡面
[00:02:13.000 --> 00:02:16.000]  有一個人被提升
[00:02:16.000 --> 00:02:18.000]  成為那個部門的主管
[00:02:18.000 --> 00:02:21.000]  看著這個人一夜之間
[00:02:21.000 --> 00:02:22.000]  變成了另外一個人
