
[00:00:00.000 --> 00:00:02.000]  領著每平安
[00:00:02.000 --> 00:00:04.000]  讓我再一次同心祈禱
[00:00:04.000 --> 00:00:09.520]  七喜主耶穌,我們感謝祢
[00:00:09.520 --> 00:00:11.520]  因為祢既愛世間屬祢的人
[00:00:11.520 --> 00:00:13.520]  祢就愛我們到底
[00:00:13.520 --> 00:00:18.000]  我感謝祢,雖然我們面對著很多外在環境的限制
[00:00:18.000 --> 00:00:21.520]  但我們仍然可以在祢面前去敬拜祢
[00:00:21.520 --> 00:00:24.560]  讓我們在祢面前真是愛慕祢
[00:00:24.560 --> 00:00:27.280]  讓我們在祢面前去等候祢
[00:00:27.280 --> 00:00:29.280]  聆聽祢自己對我們說的話
[00:00:30.000 --> 00:00:32.000]  求祢在我們中間親自幫助我們
[00:00:32.000 --> 00:00:34.000]  聖靈親自成為我們的導師
[00:00:34.000 --> 00:00:36.000]  成為我們的提醒
[00:00:36.000 --> 00:00:38.000]  我們仰望主,等候祢的恩典
[00:00:38.000 --> 00:00:40.000]  禱告奉主耶穌的名求
[00:00:40.000 --> 00:00:42.000]  阿門
[00:00:42.000 --> 00:00:46.000]  這段時間我相信對很多弟兄姐妹來說
[00:00:46.000 --> 00:00:48.000]  都是一段很不容易的時間
[00:00:48.000 --> 00:00:52.000]  特別面對著疫情的情況的時候
[00:00:52.000 --> 00:00:54.000]  我們心裡都為之一沉
[00:00:54.000 --> 00:00:58.000]  每一天我們起床的時候
[00:00:58.000 --> 00:01:00.000]  他們起床的時候
[00:01:00.000 --> 00:01:02.000]  早上第一樣會做的
[00:01:02.000 --> 00:01:04.000]  通常都是看新聞
[00:01:04.000 --> 00:01:06.000]  錄播的時間
[00:01:06.000 --> 00:01:08.000]  我早上起床的時候
[00:01:08.000 --> 00:01:10.000]  就看到有2萬8千宗的確診
[00:01:10.000 --> 00:01:14.000]  當中超過500個死亡的個案
[00:01:14.000 --> 00:01:18.000]  可想而知
[00:01:18.000 --> 00:01:20.000]  到星期天弟兄姐妹一起崇拜的時候
[00:01:20.000 --> 00:01:22.000]  我相信遠遠會超過這個數字
[00:01:26.000 --> 00:01:28.000]  每一天在不同的地方
[00:01:28.000 --> 00:01:30.000]  我相信大家這段時間
[00:01:30.000 --> 00:01:32.000]  面對得最多的情況是什麼呢
[00:01:32.000 --> 00:01:36.000]  周圍我們都看到
[00:01:36.000 --> 00:01:38.000]  香港真的要找口罩
[00:01:38.000 --> 00:01:40.000]  一罩難求
[00:01:40.000 --> 00:01:44.000]  有時看到很多畫面
[00:01:44.000 --> 00:01:46.000]  是很多人凌晨
[00:01:46.000 --> 00:01:48.000]  三四點的時間去排隊找口罩
[00:01:48.000 --> 00:01:52.000]  心裡都是一種很不舒服的感覺
[00:01:54.000 --> 00:01:56.000]  有時又看到一些片段
[00:01:56.000 --> 00:01:58.000]  有些公公婆婆
[00:01:58.000 --> 00:02:00.000]  甚至要坐著輪椅
[00:02:00.000 --> 00:02:02.000]  都要排隊去找口罩
[00:02:02.000 --> 00:02:06.000]  有些甚至在內地
[00:02:06.000 --> 00:02:08.000]  看到有些朋友
[00:02:08.000 --> 00:02:10.000]  不斷去左撲右撲
[00:02:10.000 --> 00:02:12.000]  四處奔波找醫院
[00:02:12.000 --> 00:02:14.000]  但都沒有醫院去收他們
[00:02:14.000 --> 00:02:16.000]  有些來來回回
[00:02:16.000 --> 00:02:18.000]  十幾個小時找醫院
[00:02:18.000 --> 00:02:20.000]  可能去完醫院打一次針
[00:02:20.000 --> 00:02:22.000]  然後回家
[00:02:22.000 --> 00:02:24.000]  所以確診是
[00:02:24.000 --> 00:02:26.000]  二萬八千宗
