
[00:00:00.000 --> 00:00:01.440]  各位頂展會 早晨
[00:00:01.440 --> 00:00:05.520]  面對疫情第三波出現
[00:00:05.520 --> 00:00:10.680]  想不到這星期我們又回到之前的防疫措施安排
[00:00:10.680 --> 00:00:14.480]  我們只能夠在螢光幕的面前
[00:00:14.480 --> 00:00:16.480]  一起去敬拜
[00:00:16.480 --> 00:00:18.880]  我相信在這段時間
[00:00:18.880 --> 00:00:22.160]  可能都會令到我們原本想著
[00:00:22.160 --> 00:00:23.800]  這個暑假
[00:00:23.800 --> 00:00:27.480]  能夠有機會離開一下
[00:00:27.480 --> 00:00:31.280]  這一個想法應該都幻滅了
[00:00:31.280 --> 00:00:36.280]  所以我們由一個"Vacation"
[00:00:36.280 --> 00:00:40.200]  變成一個"Staycation"
[00:00:40.200 --> 00:00:44.560]  由一個打算度假的想法
[00:00:44.560 --> 00:00:47.560]  變成要在家裏度假
[00:00:47.560 --> 00:00:50.160]  可能你都會像我一樣
[00:00:50.160 --> 00:00:52.320]  都會嘗試去想一下
[00:00:52.320 --> 00:00:54.040]  如果真的有得飛
[00:00:54.040 --> 00:00:56.160]  那可以飛去哪裏呢?
[00:00:56.160 --> 00:00:59.080]  我不知道這裏會不會是你的選擇呢?
[00:00:59.080 --> 00:01:01.800]  你猜不猜到這裏是甚麼地方呢?
[00:01:01.800 --> 00:01:09.000]  這裏就是台北的十份
[00:01:09.000 --> 00:01:14.320]  幾年前有機會和師母去過這裏
[00:01:14.320 --> 00:01:17.120]  十份這裏最令我深刻
[00:01:17.120 --> 00:01:19.400]  就是很多人在這裏會做甚麼?
[00:01:19.400 --> 00:01:22.160]  就是放天燈
[00:01:22.160 --> 00:01:28.680]  當人們在放天燈之前
[00:01:28.680 --> 00:01:31.480]  就會寫上一些祝福語
[00:01:31.480 --> 00:01:35.520]  當我看著這些天燈一盞一盞地
[00:01:35.520 --> 00:01:37.640]  升上半空的時候
[00:01:37.640 --> 00:01:39.880]  我心裏就想起
[00:01:39.880 --> 00:01:42.360]  就好像我們基督徒
[00:01:42.360 --> 00:01:44.240]  決志信主之後
[00:01:44.240 --> 00:01:45.640]  接受了耶穌基督
[00:01:45.640 --> 00:01:48.280]  成為我們個人的救主和生命的主
[00:01:48.280 --> 00:01:50.400]  聖靈就在我們心裏面
[00:01:50.400 --> 00:01:53.200]  天燈裏面的火種
[00:01:53.200 --> 00:01:54.360]  就是聖靈
[00:01:54.360 --> 00:01:56.760]  不斷地燃燒
[00:01:56.760 --> 00:02:01.200]  由於你明白為甚麼它會飛上去
[00:02:01.200 --> 00:02:03.320]  因為如果你有物理的知識
[00:02:03.320 --> 00:02:04.200]  你就會明白
[00:02:04.200 --> 00:02:06.440]  裏面的熱空氣
[00:02:06.440 --> 00:02:07.960]  即是裏面的空氣
[00:02:07.960 --> 00:02:10.200]  輕過外面的冷空氣
[00:02:10.200 --> 00:02:12.200]  就會升上去
[00:02:12.200 --> 00:02:14.080]  當我一直看的時候
[00:02:14.080 --> 00:02:16.520]  就好像基督徒的生命
[00:02:16.520 --> 00:02:20.200]  當我們不斷被聖靈充滿的時候
[00:02:20.200 --> 00:02:24.120]  我們裏面比世界更有能力
[00:02:24.120 --> 00:02:27.720]  我們生命裏面的力量不斷被提升
[00:02:27.720 --> 00:02:30.880]  為主來去到發熱、發光
[00:02:30.880 --> 00:02:34.760]  為主作榮耀的見證
[00:02:34.760 --> 00:02:36.880]  面對著疫情的反覆
[00:02:36.880 --> 00:02:39.320]  經濟、政治的危機
[00:02:39.320 --> 00:02:41.440]  我們都好像活在一個
[00:02:41.440 --> 00:02:44.200]  震動搖晃的社會
[00:02:44.200 --> 00:02:46.800]  好像由不知何時開始
[00:02:46.800 --> 00:02:49.720]  到這一刻都未停過
[00:02:49.720 --> 00:02:51.280]  我們好像都活在一個
