
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹讓我們再一次同心地低頭禱告
[00:00:06.000 --> 00:00:08.000]  現在主我們感謝你
[00:00:08.000 --> 00:00:10.000]  你召聚一羣屬你的人
[00:00:10.000 --> 00:00:14.000]  從這個世界上分別出來來跟隨你
[00:00:14.000 --> 00:00:16.000]  主雖然今天我們有一些的情況
[00:00:16.000 --> 00:00:19.000]  但是主我們要再一次的來感謝你
[00:00:19.000 --> 00:00:21.000]  也再一次的來宣告
[00:00:21.000 --> 00:00:25.000]  主你說兩三個人聚在一起來禱告的時候
[00:00:25.000 --> 00:00:27.000]  你就在我們當中
[00:00:27.000 --> 00:00:28.000]  主我們感謝你
[00:00:28.000 --> 00:00:30.000]  因爲你是那位信使的主
[00:00:30.000 --> 00:00:33.000]  我們知道你現在與我們同在
[00:00:33.000 --> 00:00:37.000]  但願主你親自的來安靜我們的心
[00:00:37.000 --> 00:00:39.000]  也賜給我們一顆受教的心
[00:00:39.000 --> 00:00:42.000]  來聆聽你親自對我們說的話
[00:00:42.000 --> 00:00:45.000]  我們把以下的時間恭敬的交託給你
[00:00:45.000 --> 00:00:47.000]  願你得着我們每一個人的心
[00:00:47.000 --> 00:00:48.000]  我們同心禱告仰望
[00:00:48.000 --> 00:00:50.000]  奉主耶穌基督的名
[00:00:50.000 --> 00:00:51.000]  Amen
[00:00:55.000 --> 00:00:59.000]  首先我想給大家看一幅圖畫
[00:00:59.000 --> 00:01:03.000]  這個圖畫你看到什麼
[00:01:03.000 --> 00:01:10.000]  你看到什麼
[00:01:10.000 --> 00:01:13.000]  上方你看到什麼
[00:01:13.000 --> 00:01:20.000]  有個婦人看聖經
[00:01:20.000 --> 00:01:23.000]  有沒有別人看到別的東西
[00:01:26.000 --> 00:01:27.000]  啊
[00:01:27.000 --> 00:01:31.000]  麗兒你看到什麼
[00:01:31.000 --> 00:01:35.000]  有個老人在她的旁邊
[00:01:35.000 --> 00:01:36.000]  還有呢
[00:01:36.000 --> 00:01:40.000]  後面還有另外一個女人
[00:01:40.000 --> 00:01:42.000]  好 看到三個人
[00:01:42.000 --> 00:01:44.000]  大家還沒有看到別的東西
