
[00:00:00.000 --> 00:00:03.660]  這一堂課就講到關於我們去代土
[00:00:03.660 --> 00:00:08.060]  現在無論我們在美國、在英國
[00:00:08.060 --> 00:00:12.200]  特別已經是來了這些地方一段時間的
[00:00:12.200 --> 00:00:14.780]  至少當你有十年、八年以上
[00:00:14.780 --> 00:00:17.480]  基本上我們的生活都算是挺穩定的
[00:00:17.480 --> 00:00:19.280]  也都算是挺好的
[00:00:19.280 --> 00:00:24.380]  但是我們仍然有時是心繫香港或者心繫中國
[00:00:24.380 --> 00:00:29.020]  當你看到一些人可能在困難當中的時候
[00:00:29.020 --> 00:00:31.360]  我們有些什麼的體會呢?
[00:00:31.360 --> 00:00:36.640]  特別有時我們是很難去做到一些很實質的事
[00:00:36.640 --> 00:00:38.340]  但是不要忘記
[00:00:38.340 --> 00:00:42.320]  我們很有限 但是我們可以向著無限的神來呼吸
[00:00:42.320 --> 00:00:44.360]  正如我講的
[00:00:44.360 --> 00:00:48.140]  剛剛我教會有一個會友回教會很多年了
[00:00:48.140 --> 00:00:53.600]  他已經有三代同堂了
[00:00:53.600 --> 00:00:56.700]  但是他的丈夫是做建築的
[00:00:56.700 --> 00:01:00.580]  已經退休了 但是剛剛發現了有癌症
[00:01:00.580 --> 00:01:02.940]  而且是挺嚴重的
[00:01:02.940 --> 00:01:06.480]  但是我都發了一個口信給他
[00:01:06.480 --> 00:01:08.300]  還有為他祈禱
[00:01:08.300 --> 00:01:12.340]  近期我已經講了在外地也是
[00:01:12.340 --> 00:01:15.060]  有一個家庭剛剛移民了去澳洲
[00:01:15.060 --> 00:01:16.520]  在我木訊那裏有講
[00:01:16.520 --> 00:01:18.840]  誰知他八、九歲的兒子的腦
[00:01:18.840 --> 00:01:21.280]  在一些很特別的情況有些血漬住在那裏
[00:01:21.280 --> 00:01:24.580]  使得他痛得很厲害 進了ICU
[00:01:24.580 --> 00:01:28.540]  但是又經歷了一件事就是弟兄姊妹那份的愛
[00:01:28.540 --> 00:01:32.060]  他去了埃及大約不到三個月
[00:01:32.060 --> 00:01:33.860]  但是他也有參加當地的教會
[00:01:33.860 --> 00:01:35.700]  他說當地的教會弟兄姊妹很好
[00:01:35.700 --> 00:01:37.800]  幫他照顧另外兩個小孩
[00:01:37.800 --> 00:01:42.680]  讓他們兩夫婦可以去醫院陪伴兒子
[00:01:42.680 --> 00:01:45.500]  他們很有信心 仍然感恩的
[00:01:45.500 --> 00:01:47.540]  不過他就說 我跟他說
[00:01:47.540 --> 00:01:50.420]  其實如果你在香港 在這個時候你就糟糕了
[00:01:50.420 --> 00:01:54.280]  因為香港封鎖 不可以讓你進去探病
[00:01:54.280 --> 00:01:56.880]  但是他可以進去ICU陪伴兒子
[00:01:56.880 --> 00:02:00.660]  最近兒子出院了 但是7月1日
[00:02:00.660 --> 00:02:03.520]  就會做一個大手術 腦的手術
[00:02:03.520 --> 00:02:04.960]  都叫我們為他祈禱
[00:02:04.960 --> 00:02:07.280]  我一定會每次為他去禱告
[00:02:07.280 --> 00:02:09.020]  就是說我們在外地
[00:02:09.020 --> 00:02:11.840]  但是我們仍然可以為故鄉
[00:02:11.840 --> 00:02:15.500]  或者一些你熟悉的人去禱告
[00:02:15.500 --> 00:02:19.240]  所以今天會跟大家分享這個課題
[00:02:19.240 --> 00:02:24.540]  就叫做異地同心 但是我們一起來發功的
[00:02:24.540 --> 00:02:27.460]  大家知道現在香港的情況
[00:02:27.460 --> 00:02:31.740]  其實我們在不同年代有不同的人會離開的
[00:02:31.740 --> 00:02:35.440]  可能在中國的政權變色的時候
[00:02:35.440 --> 00:02:37.540]  就有很多人走來香港
[00:02:37.540 --> 00:02:40.640]  在97的時候之前
[00:02:40.640 --> 00:02:44.460]  或者89之後也有很多人離開香港去了外地
[00:02:44.460 --> 00:02:46.300]  今天我們在這裡的人
[00:02:46.300 --> 00:02:49.000]  大部分都是原本不是在這裡出生的
[00:02:49.000 --> 00:02:50.240]  不是在這裡長大的
[00:02:50.240 --> 00:02:52.940]  但是我們都是不同的原因而離開的
[00:02:52.940 --> 00:02:57.660]  而香港提出要離開的人
[00:02:57.660 --> 00:03:01.240]  其實政府就沒有一個數據給我們
[00:03:01.240 --> 00:03:08.000]  甚至就說到林鄭月娥在澳洲和紐西蘭的會議裡面
[00:03:08.000 --> 00:03:11.860]  那些人就問她那個香港人移民是很厲害的
[00:03:11.860 --> 00:03:14.440]  你怎麼看?你記得她笑著就說
[00:03:14.440 --> 00:03:17.240]  我走的都是逃犯來的
[00:03:17.240 --> 00:03:23.100]  但是後來就透過特首辦就澄清了
[00:03:23.100 --> 00:03:25.320]  我不是說走的那些人
[00:03:25.320 --> 00:03:28.280]  只不過是有些人犯罪而離開這樣
[00:03:28.280 --> 00:03:29.620]  就是移民的問題
[00:03:29.620 --> 00:03:32.000]  政府完全都說沒有那麼多人移民的
[00:03:32.000 --> 00:03:34.340]  但是有些實在的數據
[00:03:34.340 --> 00:03:38.780]  永久離開香港而提早拿MPF的
[00:03:38.780 --> 00:03:41.540]  增加了72%就得到17億
[00:03:41.540 --> 00:03:44.680]  這個就是3月底的事
[00:03:44.680 --> 00:03:47.680]  那些人就要離開了
[00:03:47.680 --> 00:03:49.380]  但是現在其實是卡住的
[00:03:49.380 --> 00:03:51.440]  如果你離開香港
[00:03:51.440 --> 00:03:54.900]  去別的地方就未必可以拿到MPF的
[00:03:54.900 --> 00:03:58.060]  除非你說你不做事
[00:03:58.060 --> 00:04:05.640]  至少那個外匯有2690億轉了去加拿大那邊的
[00:04:05.640 --> 00:04:11.600]  加拿大那邊都挺多的人移民
[00:04:11.600 --> 00:04:13.600]  我們客觀一點去看
[00:04:13.600 --> 00:04:15.980]  現在香港的處境
[00:04:15.980 --> 00:04:18.180]  很多人離開是為了小孩
