
[00:00:00.000 --> 00:00:01.280]  各位親愛的兄姊妹
[00:00:01.280 --> 00:00:04.040]  我們又延讀神的話語了
[00:00:04.040 --> 00:00:06.580]  記不記得我們一開始的時候
[00:00:06.580 --> 00:00:08.760]  就會今次有一個系列的
[00:00:08.760 --> 00:00:12.160]  就是講耶穌登山變象
[00:00:12.160 --> 00:00:17.200]  突然之間在山上出現了摩西和以利亞
[00:00:17.200 --> 00:00:20.120]  為什麼耶穌要登山變象呢?
[00:00:20.120 --> 00:00:22.120]  其實是一件很重要的事
[00:00:22.120 --> 00:00:26.640]  所以我們會透過這件事去了解更多的真理
[00:00:26.640 --> 00:00:30.900]  我們先有變象變臉的前傳
[00:00:30.900 --> 00:00:32.640]  就像電影一樣
[00:00:32.640 --> 00:00:35.100]  有正傳也有後傳
[00:00:35.100 --> 00:00:41.880]  前傳講到耶穌和一幫門徒去到蓋薩利亞比
[00:00:41.880 --> 00:00:45.280]  這個地方裡面去問
[00:00:45.280 --> 00:00:48.280]  究竟你說我是誰呢?
[00:00:48.280 --> 00:00:51.680]  這個地方對他們來說是絕對不利的
[00:00:51.680 --> 00:00:52.680]  為什麼呢?
[00:00:52.680 --> 00:00:57.180]  那裡有蓋薩的妙語「危訛高聳」
[00:00:57.180 --> 00:01:00.180]  也有拜假神的妙語
[00:01:00.180 --> 00:01:05.980]  但是耶穌在那時候只不過是一個被視為不錯的老師
[00:01:05.980 --> 00:01:07.980]  說話都很有能力
[00:01:07.980 --> 00:01:11.180]  但是跟隨他的只是一些犯夫走卒
[00:01:11.180 --> 00:01:14.180]  或者是一些婦孺孩子
[00:01:14.180 --> 00:01:15.980]  那耶穌就要瞞逃
[00:01:15.980 --> 00:01:17.980]  你說我是誰呢?
[00:01:17.980 --> 00:01:18.980]  為什麼會這樣做?
[00:01:18.980 --> 00:01:20.980]  因為耶穌快要面對死亡
[00:01:20.980 --> 00:01:22.980]  祂要找繼承人
[00:01:22.980 --> 00:01:25.980]  繼承祂這個天國的使命
[00:01:25.980 --> 00:01:27.980]  所以一定要了解
[00:01:27.980 --> 00:01:29.980]  那些人對祂的認識有多少
[00:01:29.980 --> 00:01:31.480]  那些門徒都很好
[00:01:31.480 --> 00:01:34.480]  就說到有人說你是很特別的先知
[00:01:34.480 --> 00:01:36.980]  是獅洗約翰
[00:01:36.980 --> 00:01:38.480]  或者是以利亞
[00:01:38.480 --> 00:01:40.480]  或者是耶利米
[00:01:40.480 --> 00:01:42.980]  大家可以上回YouTube裡面
[00:01:42.980 --> 00:01:45.980]  看回上兩次我的分享
[00:01:45.980 --> 00:01:49.980]  但是耶穌並不滿足於人們對祂這樣的稱呼
[00:01:49.980 --> 00:01:51.980]  因為祂是一個很尊貴的稱呼
[00:01:51.980 --> 00:01:53.980]  我曾經說過一個例子
[00:01:53.980 --> 00:01:55.980]  如果你是億萬富翁
[00:01:55.980 --> 00:01:57.980]  但是別人說你是百萬富翁
[00:01:57.980 --> 00:01:59.980]  那你也不是很滿意
[00:01:59.980 --> 00:02:02.980]  之後彼得很清楚地說
[00:02:02.980 --> 00:02:05.980]  你就是永生神的兒子
[00:02:05.980 --> 00:02:07.980]  耶穌馬上讚他
[00:02:07.980 --> 00:02:10.980]  誤導他誤導這個道理
[00:02:10.980 --> 00:02:12.980]  得到稱讚
[00:02:12.980 --> 00:02:14.980]  耶穌說這個絕對不是你
[00:02:14.980 --> 00:02:18.980]  單憑你自己的眼光去看的一件事
[00:02:18.980 --> 00:02:21.980]  有神的靈來啟示你
[00:02:21.980 --> 00:02:23.980]  接著耶穌不單讚賞他
[00:02:23.980 --> 00:02:25.980]  就會得到福氣
[00:02:25.980 --> 00:02:30.980]  他說到教會要建基在這個盆石上面
[00:02:30.980 --> 00:02:32.980]  這個就是天主教
[00:02:32.980 --> 00:02:34.980]  以這一段經文作為
[00:02:34.980 --> 00:02:36.980]  彼得就是教皇
[00:02:36.980 --> 00:02:37.980]  是第一個的教皇
[00:02:37.980 --> 00:02:41.980]  一路的教皇就承繼下去了
[00:02:41.980 --> 00:02:43.980]  當然這個解釋是有錯誤的
[00:02:43.980 --> 00:02:45.980]  上次你也要看了
[00:02:45.980 --> 00:02:47.980]  但是我們停了一個星期
[00:02:47.980 --> 00:02:49.980]  上個星期我可以直播
[00:02:49.980 --> 00:02:51.980]  跟大家一起分享
[00:02:51.980 --> 00:02:53.980]  但是因為剛剛你們教會
[00:02:53.980 --> 00:02:55.980]  就有安息禮所以就停了
[00:02:55.980 --> 00:02:57.980]  但是輪到今天
[00:02:57.980 --> 00:03:01.980]  就因為我要在萬城坐高牆
[00:03:01.980 --> 00:03:04.980]  回到我住的地方
[00:03:04.980 --> 00:03:06.980]  那個時間是1點鐘的車
[00:03:06.980 --> 00:03:09.980]  所以我就不能夠跟大家有直播
[00:03:09.980 --> 00:03:11.980]  所以就錄影了
[00:03:11.980 --> 00:03:15.980]  今天我們就會講到誤導得到權柄
[00:03:15.980 --> 00:03:17.980]  我們上次已經講到
