
[00:00:00.000 --> 00:00:07.040]  今天我們要跟弟兄姊妹一同來思想的就是「以馬內地」的來臨
[00:00:07.040 --> 00:00:21.040]  我們看到第九章的第一節到第五節是看到從黑暗到了光明
[00:00:21.040 --> 00:00:27.040]  剛才從第八章為什麼從第八章最後來讀呢?最後一節來讀呢?
[00:00:27.040 --> 00:00:32.040]  因為在第八章裡頭的結尾是一個大的黑暗
[00:00:32.040 --> 00:00:40.040]  「仰觀上天,覆察全地,不料竟是艱難、黑暗和遺忘的痛苦」
[00:00:40.040 --> 00:00:44.040]  他們被趕入烏黑的黑暗中間
[00:00:44.040 --> 00:00:49.040]  就講到神的百姓因為受到神的審判
[00:00:49.040 --> 00:00:53.040]  所以他們被外邦的君王欺壓
[00:00:53.040 --> 00:00:57.040]  他們落在極大的黑暗中間
[00:00:57.040 --> 00:01:03.040]  但是我們看到第九章第一個字就有「但是」
[00:01:03.040 --> 00:01:08.040]  雖然神的百姓落到極黑暗的中間
[00:01:08.040 --> 00:01:14.040]  但是再受過痛苦的人並不再流暗了
[00:01:14.040 --> 00:01:23.040]  看到第九章為什麼不再看到黑暗呢?因為有大光
[00:01:23.040 --> 00:01:26.040]  有大光要照到他們
[00:01:26.040 --> 00:01:30.040]  在黑暗中的百姓要看見大光
[00:01:30.040 --> 00:01:32.040]  神的拯救來
[00:01:32.040 --> 00:01:37.040]  神要把他的百姓從黑暗中拯救出來
[00:01:37.040 --> 00:01:41.040]  這是一個極其美好的消息
[00:01:41.040 --> 00:01:51.040]  這個是預言到米賽亞,也就是基督弟子來的時候的情況
[00:01:51.040 --> 00:01:55.040]  一個是被藐視的迦勒弟弟
[00:01:55.040 --> 00:01:59.040]  因著救主的降生而得到榮耀
[00:01:59.040 --> 00:02:13.040]  這是在路加福音第七至八節到第七至九節引用了米賽亞書這一段聖經
[00:02:13.040 --> 00:02:19.040]  在路加福音第一章所用的話
[00:02:19.040 --> 00:02:22.040]  因為我們神憐憫的心腸
[00:02:22.040 --> 00:02:27.040]  叫清晨的日光從高天臨到我們
[00:02:27.040 --> 00:02:32.040]  要照亮坐在黑暗中死因病的人
[00:02:32.040 --> 00:02:36.040]  把我們的腳頂到平安的路上
[00:02:36.040 --> 00:02:39.040]  所以在主緣書降生以前
[00:02:39.040 --> 00:02:48.040]  先知路加就引用了米賽亞這一段聖經的內容
[00:02:48.040 --> 00:02:53.040]  就是說有清晨的光從高天要臨到我們
[00:02:53.040 --> 00:02:58.040]  要照亮這些在黑暗中在死因裡的人
[00:02:58.040 --> 00:03:03.040]  目的是要把我們的腳引到平安的路上
[00:03:03.040 --> 00:03:10.040]  迦勒弟弟被稱為外邦人的地
[00:03:10.040 --> 00:03:13.040]  外邦人的迦勒弟弟
[00:03:13.040 --> 00:03:18.040]  其實迦勒弟弟是以色列的地方
[00:03:18.040 --> 00:03:24.040]  他是北國十個支派他們所住的地方
[00:03:24.040 --> 00:03:28.040]  比較靠北面有西伯倫支派住的地
[00:03:28.040 --> 00:03:38.040]  有那佛塔利還有亞瑟支派他們住的地
[00:03:38.040 --> 00:03:45.040]  但是因為後來以色列北國是被亞瑟國所滅掉了
[00:03:45.040 --> 00:03:52.040]  所以滅了以後亞瑟的王就把好多外地的人
[00:03:52.040 --> 00:03:58.040]  從外地遷到迦勒弟這塊地方
[00:03:58.040 --> 00:04:02.040]  所以迦勒弟的地方有很多外地的人
[00:04:02.040 --> 00:04:06.040]  也有剩下來的一部分的以色列人
[00:04:06.040 --> 00:04:08.040]  所以他們摻在了一塊
[00:04:08.040 --> 00:04:16.040]  所以這塊地好像是外邦人在那邊影響很大
[00:04:16.040 --> 00:04:19.040]  所以就稱為外邦人的地
[00:04:19.040 --> 00:04:30.040]  可以說當時的迦勒弟是一個被佔領被欺壓的地方
[00:04:30.040 --> 00:04:38.040]  但是感謝神並沒有長久的讓他的百姓在黑暗當中
[00:04:38.040 --> 00:04:41.040]  他要把光照給他們
[00:04:41.040 --> 00:04:43.040]  所以神就應許了
[00:04:43.040 --> 00:04:46.040]  如果他們很願意悔改的話
[00:04:46.040 --> 00:04:48.040]  那麼神要拯救他們
[00:04:48.040 --> 00:04:52.040]  他就有光要照耀他們
[00:04:52.040 --> 00:04:56.040]  所以我們講到這個光是什麼光呢
[00:04:56.040 --> 00:04:59.040]  他說是榮耀的大光
[00:04:59.040 --> 00:05:04.040]  他說受過痛苦的並不再見黑暗
[00:05:04.040 --> 00:05:09.040]  外邦的迦勒弟見到大光
[00:05:09.040 --> 00:05:13.040]  這光是表示榮耀
[00:05:13.040 --> 00:05:18.040]  本來是生活在死亡陰影底下的人
[00:05:18.040 --> 00:05:22.040]  他就有榮耀要照著他們
[00:05:22.040 --> 00:05:29.040]  這個應許是在耶穌基督降生的時候應驗了
[00:05:29.040 --> 00:05:32.040]  耶穌基督降生在玻璃墳
[00:05:32.040 --> 00:05:39.040]  但是他生長跟傳道都是在迦勒弟的地方
[00:05:39.040 --> 00:05:41.040]  在這個時候就看見
[00:05:41.040 --> 00:05:44.040]  在迦勒弟的地方見到大光了
[00:05:44.040 --> 00:05:46.040]  主耶穌來了
[00:05:46.040 --> 00:05:52.040]  他是光要照亮一切在黑暗裡的人
[00:05:52.040 --> 00:05:57.040]  所以耶穌基督救世界的光
[00:05:57.040 --> 00:05:59.040]  約翰福音說第八章說
[00:05:59.040 --> 00:06:03.040]  跟隨他的並不在黑暗裡走
[00:06:03.040 --> 00:06:08.040]  所以主耶穌的光就使得在黑暗裡的人
[00:06:08.040 --> 00:06:14.040]  見到光能夠來跟隨他來接受他
[00:06:14.040 --> 00:06:20.040]  所以光照到他們也是一個榮耀的喜樂
[00:06:20.040 --> 00:06:25.040]  他說這些百姓非常的喜樂
[00:06:25.040 --> 00:06:26.040]  為什麼呢
[00:06:26.040 --> 00:06:28.040]  第三節說
[00:06:28.040 --> 00:06:32.040]  他說你使得國民繁多
[00:06:32.040 --> 00:06:36.040]  他們的人口增加了
[00:06:36.040 --> 00:06:39.040]  加徵他們的喜樂
[00:06:39.040 --> 00:06:41.040]  他們在你面前歡喜
[00:06:41.040 --> 00:06:44.040]  好像收割的歡喜
[00:06:44.040 --> 00:06:49.040]  像人分爐那樣的快樂
[00:06:49.040 --> 00:06:56.040]  講到當這個榮耀照到這些在黑暗裡的人
[00:06:56.040 --> 00:07:01.040]  就會給他們帶來很榮耀的喜樂
[00:07:01.040 --> 00:07:05.040]  他說這個喜樂好像是收割的時候喜樂
[00:07:05.040 --> 00:07:08.040]  農民最歡喜快樂的時候
[00:07:08.040 --> 00:07:12.040]  就是在莊家收割的時候
[00:07:12.040 --> 00:07:16.040]  有一年我們幹部要下放勞動的話
[00:07:16.040 --> 00:07:19.040]  他就參加農村的收麥子
[00:07:19.040 --> 00:07:22.040]  收麥子是一個很緊張的時刻
[00:07:22.040 --> 00:07:25.040]  因為只有幾天的時間
[00:07:25.040 --> 00:07:29.040]  如果是一下雨或者有什麼變化的話
[00:07:29.040 --> 00:07:33.040]  這個就影響到這些已經長成的莊家
[00:07:33.040 --> 00:07:35.040]  會受到損失
[00:07:35.040 --> 00:07:40.040]  所以就要動員一些人到農村去幫他們搶收
