
[00:00:00.000 --> 00:00:05.720]  今天我們要講的是面對爭執的智慧和心態
[00:00:05.720 --> 00:00:08.460]  面對爭執的智慧和心態
[00:00:08.460 --> 00:00:12.580]  我不知道大家當面對爭執的時候
[00:00:12.580 --> 00:00:16.440]  你有些什麼的感受,有些什麼的感覺
[00:00:16.440 --> 00:00:20.240]  可能這種感覺我們很多人都有的
[00:00:20.240 --> 00:00:25.640]  例如你的心跳會加快,很緊張
[00:00:25.640 --> 00:00:27.240]  很想表達
[00:00:27.240 --> 00:00:30.440]  又或者你開始說話的時候不自覺
[00:00:30.440 --> 00:00:35.040]  好像口在顫抖
[00:00:35.040 --> 00:00:38.220]  又或者是不自覺地出汗
[00:00:38.220 --> 00:00:39.520]  為什麼會這樣呢?
[00:00:39.520 --> 00:00:44.520]  這個在心理學上是一個回應
[00:00:44.520 --> 00:00:48.620]  壓力的反應或者回應力的狀態
[00:00:48.620 --> 00:00:50.960]  Stress Response
[00:00:50.960 --> 00:00:54.720]  他說在這樣的情況面對威脅
[00:00:54.720 --> 00:00:56.620]  很緊張的時候
[00:00:56.620 --> 00:00:58.120]  有時候你也會看到的
[00:00:58.120 --> 00:01:01.080]  你看到有些人口在顫抖的時候
[00:01:01.080 --> 00:01:03.300]  你問他什麼事,是不是很生氣
[00:01:03.300 --> 00:01:04.940]  他突然說我不生氣
[00:01:04.940 --> 00:01:07.560]  但是我不生氣就是這樣
[00:01:07.560 --> 00:01:11.060]  其實在那個時刻他作出一個生理的反應
[00:01:11.060 --> 00:01:16.020]  這個反應他在想面對這個挑戰的時候
[00:01:16.020 --> 00:01:19.280]  他可以作一般的選擇有兩個
[00:01:19.280 --> 00:01:21.200]  一個就是逃跑
[00:01:21.200 --> 00:01:24.280]  他會立刻作一個分析
[00:01:24.280 --> 00:01:27.040]  究竟我的回應夠不夠你回應呢?
[00:01:27.040 --> 00:01:29.400]  夠不夠你打呢?
[00:01:29.400 --> 00:01:30.680]  又或者不夠你逃跑呢?
[00:01:30.680 --> 00:01:35.600]  又或者他決定了這一次要跟你去爭鬥
[00:01:35.600 --> 00:01:40.080]  而在反應的過程是非常迅速的
[00:01:40.080 --> 00:01:42.280]  心跳加快,瞳孔睜大
[00:01:42.280 --> 00:01:45.200]  手心出汗,背部流汗
[00:01:45.200 --> 00:01:47.200]  然後無意識地顫抖
[00:01:47.200 --> 00:01:51.300]  然後在等等的心理現象會發生
[00:01:51.300 --> 00:01:55.260]  當然對信主的人
[00:01:55.260 --> 00:01:58.260]  可能會有多個選擇
[00:01:58.260 --> 00:02:00.580]  或者有更多的選擇
[00:02:00.580 --> 00:02:05.780]  今天我們說到保羅面對不公的聲音
[00:02:05.780 --> 00:02:08.060]  和爭執的時候
[00:02:08.060 --> 00:02:15.160]  他除了我們說的心理學上的壓力反應
[00:02:15.160 --> 00:02:19.160]  以外會不會有更多的選擇呢?
[00:02:19.160 --> 00:02:21.420]  我們今天立刻會進入
[00:02:21.420 --> 00:02:26.080]  但是先進入,我們看看當時究竟發生了什麼事
[00:02:26.080 --> 00:02:33.340]  當時的情景是在說哥倫多城出現了一群人
[00:02:33.340 --> 00:02:35.960]  叫做超級使徒,可以嗎?
[00:02:35.960 --> 00:02:39.960]  他覺得他自己很行,他說話很對
[00:02:39.960 --> 00:02:42.540]  他的判斷力就是這樣
[00:02:42.540 --> 00:02:47.460]  而在哥倫多後書常常將他描述當時的狀態
[00:02:47.460 --> 00:02:50.680]  不如我們一起讀,在新漢語的譯本
[00:02:50.680 --> 00:02:53.540]  11章5到6節,預備起
[00:02:53.540 --> 00:02:59.920]  事實上,我認為自己沒有哪一方面比不上那些超級使徒
