
[00:00:00.000 --> 00:00:04.580]  各位弟兄姊妹,你們好。
[00:00:04.580 --> 00:00:12.340]  很歡喜在臺上再次跟大家見面。
[00:00:12.340 --> 00:00:19.760]  今天我想跟大家思想一下喜樂這個問題。
[00:00:19.760 --> 00:00:24.260]  我們都知道喜樂應該是什麼。
[00:00:24.260 --> 00:00:30.940]  遇到心想事成的時候就快樂,
[00:00:30.940 --> 00:00:36.760]  是內心裏頭感情的一種反應。
[00:00:36.760 --> 00:00:42.820]  中國人有所謂七情六慾,
[00:00:42.820 --> 00:00:54.860]  我們說一個人的臉上會有七情上面,
[00:00:54.860 --> 00:01:03.660]  就是和他的臉上可以見到他心裏的感受。
[00:01:03.660 --> 00:01:06.460]  什麼叫做七情呢?
[00:01:06.460 --> 00:01:23.420]  根據中國的三字經,就是喜怒哀樂,哀乎欲。
[00:01:23.420 --> 00:01:27.960]  喜樂就佔了兩情,
[00:01:27.960 --> 00:01:31.840]  喜就是怒的相反,
[00:01:31.840 --> 00:01:36.220]  樂就是哀的相反。
[00:01:36.220 --> 00:01:41.140]  有人罵你,你就憤怒。
[00:01:41.140 --> 00:01:45.960]  有人讚揚你,你就喜。
[00:01:45.960 --> 00:01:53.140]  家裏有人生病或者去世,你就哀。
[00:01:53.140 --> 00:01:57.420]  家裏有喜事,你就樂。
[00:01:57.420 --> 00:02:03.760]  這都是一些環境影響人的情緒。
[00:02:03.760 --> 00:02:07.840]  但一個人是有意志的,
[00:02:07.840 --> 00:02:12.140]  他可以控制自己的感情,
[00:02:12.140 --> 00:02:14.760]  多一點喜樂,
[00:02:14.760 --> 00:02:19.640]  少一點悲哀和憤怒。
[00:02:19.640 --> 00:02:27.100]  剛纔我們讀的聖經就是有關喜樂的問題。
[00:02:27.100 --> 00:02:30.840]  請大家再看一次剛纔的約翰福音。
[00:02:30.840 --> 00:02:35.840]  在約翰福音十七章裏面說到,
[00:02:35.840 --> 00:02:39.920]  我們再來一次,好不好?
[00:02:39.920 --> 00:02:43.840]  現在,我到你那裏去,
[00:02:43.840 --> 00:02:46.840]  我在世上說這些話,
[00:02:46.840 --> 00:02:51.840]  是要他們心裏充滿了我的喜樂。
[00:02:51.840 --> 00:03:00.840]  我已把你的道賜給他們,世界恨他。
[00:03:00.840 --> 00:03:06.840]  因爲他們不屬世界,正如我不屬世界一樣。
[00:03:06.840 --> 00:03:10.840]  我不求你把他們接走,
[00:03:10.840 --> 00:03:25.840]  只求你保全他們,使他們脫離那惡者。
[00:03:25.840 --> 00:03:28.840]  我們可以知道了,
[00:03:28.840 --> 00:03:35.840]  我們脫離魔鬼的引誘,我們就會得到喜樂。
[00:03:35.840 --> 00:03:46.840]  我們使徒保羅在監獄裏也時時充滿了喜樂。
[00:03:46.840 --> 00:03:52.840]  他寫信給菲律賓的教友,
[00:03:52.840 --> 00:04:05.840]  叫他們要時時喜樂。
[00:04:05.840 --> 00:04:11.840]  請看菲律賓書第四章,
[00:04:11.840 --> 00:04:22.840]  我們從第四節到第七節,
[00:04:22.840 --> 00:04:25.840]  我們請大家一起重來唸。
[00:04:25.840 --> 00:04:28.840]  你們要靠主常常喜樂,
[00:04:28.840 --> 00:04:31.840]  我再說,你們要喜樂,
[00:04:31.840 --> 00:04:35.840]  要讓衆人知道你們輕揚的心,
[00:04:35.840 --> 00:04:39.840]  主已經近了,應當一無掛累,
[00:04:39.840 --> 00:04:44.840]  凡事直着祈禱,祈求或感謝,
