
[00:00:00.000 --> 00:00:10.000]  很高興神給我們過了一個身心健康的新年
[00:00:10.000 --> 00:00:15.000]  我們中國人一年就加兩歲
[00:00:15.000 --> 00:00:19.000]  所以外國人問你多少歲
[00:00:19.000 --> 00:00:23.000]  你可以將你的歲數除以二說給他聽
[00:00:23.000 --> 00:00:27.000]  一來你可以比較年輕點
[00:00:27.000 --> 00:00:30.000]  二來他問你爲什麼你的歲數那麼年輕
[00:00:30.000 --> 00:00:31.000]  你可以說給他聽
[00:00:31.000 --> 00:00:34.000]  因爲你一年加兩歲
[00:00:34.000 --> 00:00:40.000]  今日的信息主題就是努力作功得獎賞
[00:00:40.000 --> 00:00:52.000]  經文是取自《路加福音》第十九章十二節到二十六節
[00:00:52.000 --> 00:00:57.000]  各位我們都會自然聯想到
[00:00:57.000 --> 00:01:04.000]  在比賽或者工作上都會得到獎賞
[00:01:04.000 --> 00:01:07.000]  在過去的年日裏面
[00:01:07.000 --> 00:01:10.000]  不論比賽或者工作
[00:01:10.000 --> 00:01:16.000]  你們曾經得到什麼獎賞
[00:01:16.000 --> 00:01:22.000]  是不是要努力才能得到獎賞
[00:01:22.000 --> 00:01:25.000]  今天的經文比喻到
[00:01:25.000 --> 00:01:31.000]  如果在世上努力爲神工作
[00:01:31.000 --> 00:01:37.000]  在天國會得到獎賞
[00:01:37.000 --> 00:01:43.000]  耶穌曾經用很多比喻來教導
[00:01:43.000 --> 00:01:50.000]  我們關於天國關於神的旨意
[00:01:50.000 --> 00:01:56.000]  關於人生的目的和意義等等等等
[00:01:56.000 --> 00:02:08.000]  努力工作必定在天國裏面獲得獎賞
[00:02:08.000 --> 00:02:13.000]  這是其中一個比喻
[00:02:13.000 --> 00:02:18.000]  當時第一世紀的人以爲耶穌
[00:02:18.000 --> 00:02:23.000]  進入耶路撒冷會建立神的國度
[00:02:23.000 --> 00:02:29.000]  但是這個比喻指出神的國度
[00:02:29.000 --> 00:02:34.000]  雖然會延遲來到我們中間
[00:02:34.000 --> 00:02:39.000]  但是信徒必須更加努力
[00:02:39.000 --> 00:02:44.000]  將福音傳遍天下
[00:02:44.000 --> 00:02:53.000]  耶穌教導我們普告的前一段是
[00:02:53.000 --> 00:02:58.000]  我們在天上的服務人都尊你的名爲聖
[00:02:58.000 --> 00:03:04.000]  願你的光臨願你的旨意行在地上
[00:03:04.000 --> 00:03:08.000]  而同行在天上
[00:03:08.000 --> 00:03:14.000]  今天的信息關聯在天父的旨意
[00:03:14.000 --> 00:03:20.000]  行在地上而同行在天上
[00:03:20.000 --> 00:03:29.000]  祂的旨意當然就是將福音傳遍天下
[00:03:29.000 --> 00:03:36.000]  回憶我在香港參加少年團唱的團歌是這樣說
[00:03:36.000 --> 00:03:42.000]  爲耶穌而活是生命真意
[00:03:42.000 --> 00:03:48.000]  思想或言行滿足主心意
