
[00:00:00.000 --> 00:00:05.080]  大家好,這個題目不是太簡單,是吧?
[00:00:05.080 --> 00:00:10.320]  嘩,這麼「返學啦」,多個「啦」字可能好一點
[00:00:10.320 --> 00:00:16.240]  其實真實的暑假完了,是吧?
[00:00:16.240 --> 00:00:23.880]  我相信絕大部份人都是9月1號,星期三開學的
[00:00:23.880 --> 00:00:31.760]  頂著窿讓學校多拖三日,三四五,讓你放一個星期
[00:00:31.760 --> 00:00:36.160]  之後那個星期你都要上學了,都沒辦法
[00:00:36.160 --> 00:00:43.960]  其實在暑假期間,剛才Jamie問大家,你過得怎樣?
[00:00:43.960 --> 00:00:51.600]  就算你很懷念那個Camp,很懷念那一個多月也好
[00:00:51.600 --> 00:00:56.680]  始終都會去到一個開學的時間
[00:00:56.680 --> 00:01:06.000]  而我相信開學之前,不知道大家會否擔心你的暑期功課未做完
[00:01:06.000 --> 00:01:11.680]  我不知道有沒有人是為了這件事很頭痛的
[00:01:11.680 --> 00:01:17.560]  甚至這件事太刺激了,刺激到一個階段
[00:01:17.560 --> 00:01:21.800]  就好像這個小朋友,趕到黑眼睡覺
[00:01:21.800 --> 00:01:28.480]  黑眼睡覺之後還有一個動作,你看著他
[00:01:28.480 --> 00:01:32.960]  是不是這樣?
[00:01:32.960 --> 00:01:34.920]  很辛苦,是吧?
[00:01:34.920 --> 00:01:43.120]  其實我相信,我離開了學校都一段長時間了
[00:01:43.120 --> 00:01:47.280]  我都記得當年都有暑期功課
[00:01:47.280 --> 00:01:57.080]  不過不是這麼誇張,現在是整本整本練習地做
[00:01:57.080 --> 00:02:01.240]  不是一份一份的,是整本整本練習
[00:02:01.240 --> 00:02:06.240]  其實在座當中,訪問一下大家
[00:02:06.240 --> 00:02:09.560]  就算你已經畢業了
[00:02:09.560 --> 00:02:16.400]  你想一下你以前需要做暑期作業的年代
[00:02:16.400 --> 00:02:22.880]  有多少人的暑期功課是五份之內的?
[00:02:22.880 --> 00:02:27.040]  整個暑假只是做五份暑期功課而已
[00:02:27.040 --> 00:02:30.200]  這麼好的?
[00:02:30.200 --> 00:02:32.800]  挺好的
[00:02:32.800 --> 00:02:36.880]  小學的時候,是吧?
[00:02:36.880 --> 00:02:46.600]  如果是五份以內,即是中英數還要加一些東西
[00:02:46.600 --> 00:02:49.760]  五至十份呢?
[00:02:49.760 --> 00:02:53.960]  五至十份都不太像樣了
[00:02:53.960 --> 00:02:56.720]  我最近看到一個報道
[00:02:56.720 --> 00:03:02.680]  有一個小學生,十六份功課的暑假
[00:03:02.680 --> 00:03:06.880]  基本上都不像人形
[00:03:06.880 --> 00:03:13.040]  當然,如果你說小學的功課可能比較容易
[00:03:13.040 --> 00:03:17.360]  去到中學,就像大家這樣,就沒那麼簡單了
[00:03:17.360 --> 00:03:20.640]  除了整本整本練習這樣做之外
[00:03:20.640 --> 00:03:26.480]  我很記得,我的大兒子現在長大了
[00:03:26.480 --> 00:03:28.720]  在外地讀大學
[00:03:28.720 --> 00:03:33.000]  他在中學的年代有一份暑期功課
[00:03:33.000 --> 00:03:34.880]  我非常之深刻印象
[00:03:34.880 --> 00:03:36.600]  是中文來的
[00:03:36.600 --> 00:03:37.560]  做什麼呢?
[00:03:37.560 --> 00:03:40.680]  就是叫他去寫一份報告
[00:03:40.680 --> 00:03:44.520]  那份報告要選一個人物
[00:03:44.520 --> 00:03:46.680]  哪個人都可以
[00:03:46.680 --> 00:03:52.360]  他怎樣評論金融網絡小說
[00:03:52.360 --> 00:03:59.320]  不是叫你去評論任何一個金融網絡小說的作品
[00:03:59.320 --> 00:04:04.240]  而是要那個人怎樣評論
[00:04:04.240 --> 00:04:06.560]  你去寫他
[00:04:06.560 --> 00:04:08.520]  是不是很奇怪?
[00:04:08.520 --> 00:04:12.480]  出了這些功課,真是比較混帳
[00:04:12.480 --> 00:04:19.120]  但是正正就是要在這些暑期作業裡面去掙扎
[00:04:19.120 --> 00:04:26.920]  所以很明白大家為什麼這麼不想做暑期作業
[00:04:26.920 --> 00:04:29.560]  當然啦,你也有你的方法去應付的
[00:04:29.560 --> 00:04:31.680]  包括
[00:04:31.680 --> 00:04:33.840]  我形容他是快手黨
[00:04:33.840 --> 00:04:39.600]  有些就很快手,一派回來就九秒九
[00:04:39.600 --> 00:04:40.800]  做完它
[00:04:40.800 --> 00:04:43.760]  因為之後的時間就自己了
[00:04:43.760 --> 00:04:45.880]  你可以喜歡怎樣玩就怎樣玩
[00:04:45.880 --> 00:04:49.120]  這個都叫做積極面對
[00:04:49.120 --> 00:04:50.680]  第二款呢
[00:04:50.680 --> 00:04:52.560]  就是一味抄襲
[00:04:52.560 --> 00:04:55.240]  抄襲也有很多種方法
[00:04:55.240 --> 00:04:59.840]  有些答案坊間有賣的
[00:04:59.840 --> 00:05:01.240]  大家知不知道?
[00:05:01.240 --> 00:05:02.840]  教壞了你
[00:05:02.840 --> 00:05:04.360]  有得賣的
[00:05:04.360 --> 00:05:08.480]  當然你可以問同學借
[00:05:08.480 --> 00:05:10.760]  亨哥哥這麼乖
[00:05:10.760 --> 00:05:13.880]  聰明點來看,是WhatsApp的答案
[00:05:13.880 --> 00:05:16.360]  你找人幫你做,請窗
[00:05:16.360 --> 00:05:18.400]  如果大家看到這裡
[00:05:18.400 --> 00:05:21.680]  其實是給錢的
[00:05:21.680 --> 00:05:23.240]  看到嗎?
[00:05:23.240 --> 00:05:28.440]  那裡全部最便宜
[00:05:28.440 --> 00:05:30.600]  如果你不合格
[00:05:30.600 --> 00:05:33.840]  就可以退錢給你
[00:05:33.840 --> 00:05:35.520]  原來有這樣的網
[00:05:35.520 --> 00:05:37.640]  我又第一次知道
[00:05:37.640 --> 00:05:41.640]  甚至有一些題目
[00:05:41.640 --> 00:05:44.800]  老老實實都是天下文章一大抄
[00:05:44.800 --> 00:05:46.440]  老師比較聰明
[00:05:46.440 --> 00:05:49.240]  他大前年出過
[00:05:49.240 --> 00:05:50.560]  今年就再給你
[00:05:50.560 --> 00:05:52.520]  你一看那裡就會找到
[00:05:52.520 --> 00:05:54.720]  總有些人用不同的方法
[00:05:54.720 --> 00:05:57.200]  去解決他的暑期作業
[00:05:57.200 --> 00:05:58.520]  當然
[00:05:58.520 --> 00:06:01.840]  這款就完全不做
