
[00:00:00.000 --> 00:00:02.240]  再講一次鼓勵大家
[00:00:02.240 --> 00:00:06.260]  和大家簡單翻溫昨天沒有來
[00:00:06.260 --> 00:00:09.260]  《馬拉基書》是舊約最後的一卷書
[00:00:09.260 --> 00:00:13.480]  寫完這卷書後我們就去到馬太福音
[00:00:13.480 --> 00:00:16.080]  當中是經歷了四百年
[00:00:16.080 --> 00:00:18.280]  被稱為黑暗時期
[00:00:18.280 --> 00:00:20.860]  神是沒有再向我們說話
[00:00:20.860 --> 00:00:24.340]  而《馬拉基書》的背景是什麼呢?
[00:00:24.340 --> 00:00:29.080]  就是他們已經回到自己的故鄉重建了家園
[00:00:29.080 --> 00:00:30.620]  重建了聖殿
[00:00:30.620 --> 00:00:32.780]  他們還有獻祭的
[00:00:32.780 --> 00:00:36.660]  而你留意到《馬拉基書》完全沒有提到他們拜偶像
[00:00:36.660 --> 00:00:38.900]  他們都沒有再拜偶像了
[00:00:38.900 --> 00:00:43.080]  但為什麼《馬拉基書》只有四百年的黑暗時期呢?
[00:00:43.080 --> 00:00:46.140]  其實很害怕今天我們也有類似的情況
[00:00:46.140 --> 00:00:48.180]  他們有宗教的禮儀
[00:00:48.180 --> 00:00:49.940]  他們有宗教的行動
[00:00:49.940 --> 00:00:51.280]  他們有獻祭
[00:00:51.280 --> 00:00:54.900]  不過他們只是有外在的行為
[00:00:54.900 --> 00:01:01.520]  而沒有了內心裡面那種和神這麼尊崇神的說話
[00:01:01.520 --> 00:01:04.100]  來實踐神的道德生活
[00:01:04.100 --> 00:01:06.300]  而神透過《馬拉基書》
[00:01:06.300 --> 00:01:09.620]  即是作者馬拉基來勸導他們
[00:01:09.620 --> 00:01:11.900]  但是他們聽了
[00:01:11.900 --> 00:01:13.900]  但是沒有去悔改
[00:01:13.900 --> 00:01:16.520]  結果神就不再理會他們
[00:01:16.520 --> 00:01:20.400]  第二,我們看到《馬拉基書》的特別地方在哪裡呢?
[00:01:20.400 --> 00:01:21.420]  在昨天的碧景裡面
[00:01:21.420 --> 00:01:22.420]  你也看到了
[00:01:22.420 --> 00:01:24.720]  馬拉基是一個中間人
[00:01:24.720 --> 00:01:28.360]  就是神透過馬拉基先知責備他們
[00:01:28.360 --> 00:01:30.160]  你們怎樣怎樣不好
[00:01:30.160 --> 00:01:32.560]  但是這群子民反駁他們
[00:01:32.560 --> 00:01:33.560]  有什麼不好?
[00:01:33.560 --> 00:01:35.060]  於是馬拉基又跟神說
[00:01:35.060 --> 00:01:36.360]  他們說他們沒有什麼不好
[00:01:36.360 --> 00:01:37.460]  然後神就說
[00:01:37.460 --> 00:01:38.260]  你告訴他們
[00:01:38.260 --> 00:01:40.060]  他們怎樣怎樣犯錯
[00:01:40.060 --> 00:01:44.460]  原來馬拉基這個字就是傳信者的意思
[00:01:44.460 --> 00:01:46.460]  他就是傳遞神的信息
[00:01:46.460 --> 00:01:49.260]  又將人的信息傳回給神聽
[00:01:49.260 --> 00:01:51.060]  就是這個中間人
[00:01:51.060 --> 00:01:55.460]  昨天我們最重要的就是會講到一件事是什麼呢?
[00:01:55.460 --> 00:01:58.060]  這群人覺得神沒有愛他們
[00:01:58.060 --> 00:01:59.260]  但是神說不是的
[00:01:59.260 --> 00:02:00.560]  在歷史裡面
[00:02:00.560 --> 00:02:02.260]  你會看到我怎樣愛你
[00:02:02.260 --> 00:02:03.560]  猶太人
[00:02:03.560 --> 00:02:05.460]  他們的祖先就是雅各
[00:02:05.460 --> 00:02:07.960]  雅各有一個孿生的哥哥
[00:02:07.960 --> 00:02:09.160]  就是以素
[00:02:09.160 --> 00:02:11.460]  以素的後裔就是以東人
[00:02:11.460 --> 00:02:13.660]  他們非常的強悍
[00:02:13.660 --> 00:02:14.960]  但是很可惜
[00:02:14.960 --> 00:02:17.260]  他們試過三次被滅
[00:02:17.260 --> 00:02:18.660]  但是被滅了之後
[00:02:18.660 --> 00:02:22.860]  他們沒有辦法再重建他們的國度
