
[00:00:00.000 --> 00:00:01.480]  令姊妹平安
[00:00:01.480 --> 00:00:04.640]  聽了很多永不孤單
[00:00:04.640 --> 00:00:07.080]  永不孤單不是一次的
[00:00:07.080 --> 00:00:08.920]  是一生之久
[00:00:08.920 --> 00:00:13.120]  把握時機這四個字一出現的時候
[00:00:13.120 --> 00:00:14.840]  你會想起什麼呢
[00:00:14.840 --> 00:00:18.160]  可能想起黃金三小時
[00:00:18.160 --> 00:00:20.040]  或者七十二小時
[00:00:20.040 --> 00:00:21.040]  大家明白
[00:00:21.040 --> 00:00:23.640]  那些時機一定要把握的
[00:00:23.640 --> 00:00:25.640]  或者你會想到
[00:00:25.640 --> 00:00:27.640]  你再不閉嘴
[00:00:27.640 --> 00:00:29.360]  我就動手了
[00:00:30.400 --> 00:00:31.440]  可能你會想起
[00:00:31.440 --> 00:00:32.560]  作為小朋友
[00:00:32.560 --> 00:00:34.200]  如果真的不把握時機
[00:00:34.200 --> 00:00:35.680]  真的會承受
[00:00:35.680 --> 00:00:38.320]  一巴掌的滋味
[00:00:38.320 --> 00:00:40.880]  我想起耶穌說
[00:00:40.880 --> 00:00:42.120]  有耳的
[00:00:42.120 --> 00:00:43.320]  可聽的
[00:00:43.320 --> 00:00:45.040]  就應當聽
[00:00:45.040 --> 00:00:47.360]  到有一天
[00:00:47.360 --> 00:00:49.040]  我們沒有機會聽的時候
[00:00:49.040 --> 00:00:50.520]  你想聽也沒有
[00:00:50.520 --> 00:00:53.280]  我也會想起七月八一
[00:00:53.280 --> 00:00:56.280]  我們必須作那猜我來者的功
[00:00:56.280 --> 00:00:58.000]  因為黑夜一到
[00:00:58.000 --> 00:00:59.600]  我們什麼都做不到
[00:01:00.480 --> 00:01:03.720]  時機就是合適合時的日子
[00:01:03.720 --> 00:01:05.520]  用今天來說
[00:01:05.520 --> 00:01:07.560]  當做的蔬果
[00:01:07.560 --> 00:01:11.920]  蔬菜就是時機的生果
[00:01:11.920 --> 00:01:14.000]  時機的菜喪
[00:01:14.000 --> 00:01:16.160]  我們要把握每一個機會
[00:01:16.160 --> 00:01:17.880]  每一個正確的時間
[00:01:17.880 --> 00:01:20.320]  去完成重要的任務
[00:01:20.320 --> 00:01:22.400]  所謂把握時機
[00:01:22.400 --> 00:01:24.080]  學以致用
[00:01:24.080 --> 00:01:25.160]  學完之後
[00:01:25.160 --> 00:01:26.720]  不去用
[00:01:26.720 --> 00:01:27.440]  浪費了
[00:01:27.800 --> 00:01:31.160]  錯了最重要
[00:01:31.160 --> 00:01:33.440]  實踐深刻的機會
[00:01:33.440 --> 00:01:36.400]  對於主的門徒
[00:01:36.400 --> 00:01:40.200]  今天我們要把握什麼時機呢
[00:01:40.200 --> 00:01:41.120]  想想
[00:01:41.120 --> 00:01:44.760]  你覺得有什麼是我們作為主的門徒
[00:01:44.760 --> 00:01:46.520]  我們要把握的呢
[00:01:46.520 --> 00:01:48.880]  其實二月份我們
[00:01:48.880 --> 00:01:50.680]  聽了好幾個道
[00:01:50.680 --> 00:01:54.120]  希望這幾篇道能夠給我們提醒
[00:01:54.120 --> 00:01:56.120]  而我們作為主的門徒
[00:01:56.120 --> 00:01:58.040]  我們是要面對考驗的
[00:01:58.040 --> 00:02:00.840]  我們要面對苦難的考驗
[00:02:00.840 --> 00:02:02.280]  憂慮的考驗
[00:02:02.280 --> 00:02:03.680]  警醒的考驗
[00:02:03.680 --> 00:02:08.560]  甚至要學習接納別人的考驗
[00:02:08.560 --> 00:02:10.840]  如果大家還記得
[00:02:10.840 --> 00:02:12.640]  朱光穆牧師
[00:02:12.640 --> 00:02:16.160]  最後引用一句英文
[00:02:16.160 --> 00:02:17.240]  不過翻譯成中文就說
[00:02:17.240 --> 00:02:19.480]  在基督身體裡面
[00:02:19.480 --> 00:02:21.040]  沒有一個人
[00:02:21.040 --> 00:02:23.920]  是無足輕重
[00:02:24.880 --> 00:02:26.240]  或者是無名小卒
[00:02:26.240 --> 00:02:27.600]  因此弟兄姐妹
[00:02:27.600 --> 00:02:29.040]  當你回到教會的時候
[00:02:29.040 --> 00:02:30.480]  你不要覺得你自己
[00:02:30.480 --> 00:02:33.880]  沒有人看顧自己
[00:02:33.880 --> 00:02:35.120]  你是重要的
[00:02:35.120 --> 00:02:36.880]  雖然你沒有任何崗位
[00:02:36.880 --> 00:02:40.120]  但是你在我們的群體裡面
[00:02:40.120 --> 00:02:41.400]  你是重要的
[00:02:41.400 --> 00:02:43.280]  你是上帝所愛的
[00:02:43.280 --> 00:02:46.120]  同樣當你回到教會
[00:02:46.120 --> 00:02:48.880]  沒有一個人在你眼中是不重要
[00:02:48.880 --> 00:02:50.080]  是多餘的
[00:02:50.080 --> 00:02:51.560]  是最好你不要回來的
