
[00:00:00.000 --> 00:00:03.200]  在早堂的崇拜當中
[00:00:03.200 --> 00:00:05.520]  我回來的時候下了一陣雨
[00:00:05.520 --> 00:00:07.120]  不知道會不會影響到大家
[00:00:07.120 --> 00:00:08.520]  但是很感恩
[00:00:08.520 --> 00:00:09.600]  我也感受到
[00:00:09.600 --> 00:00:12.840]  特別是早堂這條路是清早起來
[00:00:12.840 --> 00:00:16.360]  很有熱心和滿有感動
[00:00:16.360 --> 00:00:18.600]  回來教會是勁拜上主
[00:00:18.600 --> 00:00:22.880]  我還記得在我們六月份恢復崇拜的時候
[00:00:22.880 --> 00:00:27.000]  其實早堂在第一個禮拜多過午堂的人
[00:00:27.000 --> 00:00:28.800]  所以我們很感謝主
[00:00:28.800 --> 00:00:32.280]  大家一起回來去勁拜上主
[00:00:32.280 --> 00:00:36.320]  如果有參與我們補習的崇拜
[00:00:36.320 --> 00:00:38.320]  在今年裏面我們訂了一個題目
[00:00:38.320 --> 00:00:40.200]  「使人不見的復仁」
[00:00:40.200 --> 00:00:43.320]  揀想大衛作為一個上帝的復仁
[00:00:43.320 --> 00:00:45.560]  我們有什麼在身上學習呢?
[00:00:45.560 --> 00:00:48.480]  這幾個月我都在當中去講
[00:00:48.480 --> 00:00:50.960]  關於《十會議記》上大衛的生平
[00:00:50.960 --> 00:00:52.120]  也會講訴羅
[00:00:52.120 --> 00:00:54.560]  講一下多益
[00:00:54.560 --> 00:00:55.840]  講一下阿彼米達
[00:00:55.840 --> 00:00:58.800]  阿彼亞巴在上個月也講過了
[00:00:58.800 --> 00:00:59.800]  我不重複了
[00:00:59.800 --> 00:01:05.640]  我想立刻進入我們今天的講題裏面
[00:01:05.640 --> 00:01:09.200]  這幅圖片稍後會放大給大家看
[00:01:09.200 --> 00:01:11.120]  在這裏可以看到
[00:01:11.120 --> 00:01:14.800]  大衛因為要逃離訴羅的追捕
[00:01:14.800 --> 00:01:16.440]  所以到處走
[00:01:16.440 --> 00:01:20.480]  粉紅色的地方是指菲律賓的境內
[00:01:20.480 --> 00:01:23.800]  黃色的地方是以色列管轄的範圍
