
[00:00:00.000 --> 00:00:05.100]  今日呢我哋分享嘅題目呢係活出天國子民嘅身份
[00:00:05.100 --> 00:00:09.160]  唔同國籍嘅人呢會有唔同嘅特質嘅喎
[00:00:09.160 --> 00:00:10.820]  咁我喺英國嘅時候呢
[00:00:10.820 --> 00:00:13.020]  請一個人走上嚟問喂Eugene
[00:00:13.020 --> 00:00:15.480]  你係咪馬來西亞人呀
[00:00:15.480 --> 00:00:17.920]  當我問我係咪馬來西亞人嘅時候我好驚訝
[00:00:17.920 --> 00:00:21.560]  我話你憑乜嘢覺得我係馬來西亞人呀
[00:00:21.560 --> 00:00:24.960]  佢話呢因為我見到你好食得辣呀
[00:00:24.960 --> 00:00:27.520]  佢話好食得辣就係馬來西亞人㗎喇
[00:00:27.520 --> 00:00:30.480]  佢話咁嘅即係當時喺英國呢而家唔係英國
[00:00:30.480 --> 00:00:32.360]  成日都見到好多中國人面孔呀係咪
[00:00:32.360 --> 00:00:35.400]  佢話喺英國呢唔係見到好多中國人面孔嘅
[00:00:35.400 --> 00:00:39.240]  咁見到有一個人佢有中國人面孔又食得辣嘅呢
[00:00:39.240 --> 00:00:41.460]  佢應該係馬來西亞人嚟㗎
[00:00:41.460 --> 00:00:43.220]  其實我唔係馬來西亞人嚟㗎喇
[00:00:43.220 --> 00:00:45.200]  我係香港人嚟㗎咁
[00:00:45.200 --> 00:00:50.240]  咁呢就亦都呢我睇過一個呢係BBC新聞嘅一個嘅報道喎
[00:00:50.240 --> 00:00:53.760]  佢話好多時呢我哋都會有一個先入為主嘅意見
[00:00:53.760 --> 00:00:57.160]  覺得呢唔同國籍嘅人呢會有唔同嘅特質嘅
[00:00:57.160 --> 00:01:00.400]  例如佢話呢好多人覺得英國人呢
[00:01:00.400 --> 00:01:03.940]  人呢就係比較內向同埋覺得英國人呢
[00:01:03.940 --> 00:01:07.320]  比較鍾意嗰啲冷笑話式嘅幽默
[00:01:07.320 --> 00:01:12.160]  一般人又會覺得呢美國人呢係比較容易表達情感
[00:01:12.160 --> 00:01:14.120]  同埋表達自己嘅意見
[00:01:14.120 --> 00:01:19.080]  亦都一般人呢會覺得日本人呢係好勤力同埋有禮貌
[00:01:19.080 --> 00:01:20.840]  呢個報道跟住問我一個問題喇
[00:01:20.840 --> 00:01:25.000]  究竟我哋呢啲先入為主嘅觀念係唔係真嘅呢
[00:01:25.000 --> 00:01:28.080]  於是佢就話呢我哋就做咗一個調查
[00:01:28.080 --> 00:01:32.480]  調查出嚟究竟呢最外向嘅人係咩國籍嘅人
[00:01:32.480 --> 00:01:35.120]  最內向嘅人係咩國籍嘅人
[00:01:35.120 --> 00:01:38.560]  最能夠開放自己接受事物嘅又係邊啲人
[00:01:38.560 --> 00:01:41.680]  最唔能夠接受事物又係邊啲人呢
[00:01:41.680 --> 00:01:44.720]  咁呢個呢嘅報告呢仲有都幾有趣嘅喎
[00:01:44.720 --> 00:01:47.560]  究竟最外向嘅人係邊啲人呢
[00:01:47.560 --> 00:01:50.920]  佢話原來最外向嘅人呢第一係巴西人
[00:01:50.920 --> 00:01:54.720]  咁你可能諗起叫啲巴西嘉年華 通常叫嘉年華啲好外向㗎嘛
[00:01:54.720 --> 00:01:59.040]  第二位呢佢話係講法文嘅瑞士人
[00:01:59.040 --> 00:02:01.880]  嗰個報道叫做 French Speaking Swiss
[00:02:01.880 --> 00:02:05.800]  咁我唔知道嗰啲講法文嘅瑞士人有幾外向啦
[00:02:05.800 --> 00:02:09.000]  咁第三呢就係佢話係馬爾他人
[00:02:09.000 --> 00:02:10.800]  咁我都未叫馬爾他 我唔知有冇人叫馬爾他
[00:02:10.800 --> 00:02:13.200]  你覺得嗰度啲人外唔外向㗎
[00:02:13.200 --> 00:02:15.680]  咁但係最內向嘅係咩人呢
[00:02:15.680 --> 00:02:18.760]  咁我睇到結果我又有啲嘅驚訝㗎喎
[00:02:18.760 --> 00:02:20.880]  佢話原來最內向嘅人呢
[00:02:20.880 --> 00:02:24.840]  係尼日利亞人 我成日覺得非洲人係好外向㗎
[00:02:24.840 --> 00:02:26.960]  同埋即係好好熱烈咁㗎嘛
[00:02:26.960 --> 00:02:31.280]  摩洛哥人同埋印尼人喎
[00:02:31.280 --> 00:02:33.200]  咁跟住啦個報道繼續講
[00:02:33.200 --> 00:02:38.360]  咁最開放接受事物嘅又係啲咩國籍嘅人呢
[00:02:38.360 --> 00:02:40.640]  佢話最開放接受新事物嘅呢
[00:02:40.640 --> 00:02:43.960]  今次呢係叫講德文嘅瑞士人喎
[00:02:43.960 --> 00:02:47.000]  即係佢英文叫 German Speaking Swiss
[00:02:47.000 --> 00:02:48.880]  因為瑞士分咗兩部份㗎
[00:02:48.880 --> 00:02:50.800]  一部份係講法文 有一部份講德文㗎
[00:02:50.800 --> 00:02:53.040]  咁嗰啲人講德文嗰啲嘅瑞士人呢
[00:02:53.040 --> 00:02:54.400]  就係最開放接受新事物
[00:02:54.400 --> 00:02:56.680]  咁我睇到原來瑞士人都幾外向
[00:02:56.680 --> 00:02:57.960]  又接受新事物㗎喎
[00:02:57.960 --> 00:02:59.640]  雖然一邊就係講法文嗰啲
[00:02:59.640 --> 00:03:01.160]  另一邊就講德文嗰啲
[00:03:01.160 --> 00:03:04.120]  佢話另外第二位就係丹麥人
[00:03:04.120 --> 00:03:05.720]  第三位就係德國人
[00:03:05.720 --> 00:03:07.760]  咁我諗啊如果德國人係排第三
[00:03:07.760 --> 00:03:09.240]  講德文嘅瑞士人係排第一
[00:03:09.240 --> 00:03:12.880]  咁即係德國人都應該幾願意接受新事物㗎喎
[00:03:12.880 --> 00:03:14.440]  咁但係你估下
[00:03:14.440 --> 00:03:18.080]  最唔開放接受新事物嘅又係咩國籍嘅人呀
[00:03:18.080 --> 00:03:23.040]  我哋一齊睇睇吓 係喇 大家估得啱唔啱呀
[00:03:23.040 --> 00:03:26.040]  原來第一個呢 係北愛爾蘭人
[00:03:26.040 --> 00:03:27.840]  我唔知大家識唔識北愛爾蘭人
[00:03:27.840 --> 00:03:29.440]  我以前係英國嘅時候呢
[00:03:29.440 --> 00:03:32.560]  有一個好好好嘅朋友係愛爾蘭人嚟㗎
[00:03:32.560 --> 00:03:34.040]  不過佢係南愛爾蘭
[00:03:34.040 --> 00:03:35.680]  咁佢人都好開放吓㗎
[00:03:35.680 --> 00:03:38.120]  咁但係北愛爾蘭呢我又未聽過
[00:03:38.120 --> 00:03:39.920]  科威特人係排第二
[00:03:39.920 --> 00:03:43.520]  大家估下排第三係邊個呀
[00:03:43.520 --> 00:03:46.400]  係喇 英文寫住 Hong Kong Chinese
[00:03:46.400 --> 00:03:48.120]  嘩 原來中國香港人呢
[00:03:48.120 --> 00:03:50.920]  係其中一個最唔能夠接受新事物嘅人嚟㗎喎
[00:03:50.920 --> 00:03:53.800]  大家覺得自己接唔接受新事物㗎
[00:03:53.800 --> 00:03:55.680]  我哋都幾開放啦 係咪呀
[00:03:55.680 --> 00:03:58.040]  所以呢個調查可能唔係好準確㗎
[00:03:58.040 --> 00:04:00.040]  咁你可以搵返呢一個報告呢
[00:04:00.040 --> 00:04:01.520]  你寫返去畀 BBC 吓
[00:04:01.520 --> 00:04:03.120]  話我係 Hong Kong Chinese
[00:04:03.120 --> 00:04:05.520]  但係我呢好接受新事物㗎
[00:04:05.520 --> 00:04:08.280]  今日呢唔同嘅國籍嘅人有唔同嘅特質
[00:04:08.280 --> 00:04:11.480]  但係我哋要問我哋自己另一個好重要嘅問題
[00:04:11.480 --> 00:04:14.600]  因為今日我哋係天國嘅子民
[00:04:14.600 --> 00:04:17.680]  咁但係當我哋係天國子民嘅時候
[00:04:17.680 --> 00:04:19.440]  啲人見到我哋嘅時候
[00:04:19.440 --> 00:04:22.000]  覺唔覺得我哋係天國嘅子民呢
[00:04:22.000 --> 00:04:25.200]  究竟天國嘅子民有啲咩特質
[00:04:25.200 --> 00:04:29.360]  而我哋又點樣去活出呢個天國子民嘅身份呢
[00:04:29.360 --> 00:04:30.880]  當我哋今日去睇
[00:04:30.880 --> 00:04:33.240]  肥立秘書一章二十七去到二章四節
[00:04:33.240 --> 00:04:36.880]  講咗三個呢好重要天國子民嘅特質
[00:04:36.880 --> 00:04:38.880]  我哋就睇下我哋自己有冇
[00:04:38.880 --> 00:04:41.120]  同埋我哋活唔活到出嚟好唔好呀
[00:04:41.120 --> 00:04:44.680]  好我哋進入今日呢第一個呢我哋學習嘅功課呀
[00:04:44.680 --> 00:04:49.600]  第一個學習功課呢係行事為人與福音相稱呀
[00:04:49.600 --> 00:04:51.600]  我哋一齊讀二十七到二十八節
[00:04:51.600 --> 00:04:53.120]  我哋一齊讀一二三
[00:04:53.120 --> 00:04:57.800]  只要你哋行事為人與基督的福音相稱
[00:04:57.800 --> 00:05:02.600]  叫我或來見你哋或不在你哋那裏
[00:05:02.600 --> 00:05:05.480]  可以聽見你哋嘅景況
[00:05:05.480 --> 00:05:10.080]  知道你哋同有一個心智站立得穩
[00:05:10.080 --> 00:05:13.200]  為所信的福音齊心努力
[00:05:13.200 --> 00:05:15.840]  凡事不怕敵人的驚嚇
[00:05:15.840 --> 00:05:18.400]  者是證明他們沉淪
[00:05:18.400 --> 00:05:21.000]  你哋得救都事出於神
[00:05:21.000 --> 00:05:23.280]  呢度呢開始呢原來係一個特質
[00:05:23.280 --> 00:05:27.080]  就係行事為人呢要同福音相稱喎
[00:05:27.080 --> 00:05:29.800]  行事為人呢呢個字呢
[00:05:29.800 --> 00:05:32.200]  其實係有政治上面嘅意義嘅
[00:05:32.200 --> 00:05:35.800]  呢個字通常呢係用嚟呢去形容呢
[00:05:35.800 --> 00:05:38.960]  係對公民所期待嘅行為
[00:05:38.960 --> 00:05:41.120]  即係話今日你係一個國家嘅公民
[00:05:41.120 --> 00:05:43.240]  對你嘅生命有啲咩期待
[00:05:43.240 --> 00:05:45.600]  今日我哋作為天國嘅子民
[00:05:45.600 --> 00:05:49.240]  我哋嘅行事為人又應該係點呢
[00:05:49.240 --> 00:05:51.760]  所以保羅喺度提醒我哋喇
[00:05:51.760 --> 00:05:53.280]  我想問下我哋當中呢
[00:05:53.280 --> 00:05:56.200]  呢度邊個你有雙重國籍㗎
[00:05:56.200 --> 00:05:59.160]  即係你有多過一個國籍嘅你可以舉手
[00:05:59.160 --> 00:06:01.120]  我都多過一個國籍嘅
[00:06:01.120 --> 00:06:02.400]  但我想講
[00:06:02.400 --> 00:06:04.640]  大家都可以一齊舉手
[00:06:04.640 --> 00:06:07.440]  因為我哋呢度每一個人都有雙重國籍㗎
[00:06:07.440 --> 00:06:09.680]  因為你有地上嘅國籍
[00:06:09.680 --> 00:06:10.400]  同埋係點呀
[00:06:10.400 --> 00:06:11.760]  天上嘅國籍
[00:06:11.760 --> 00:06:12.920]  所以你同你隔離嗰個講
[00:06:12.920 --> 00:06:17.040]  你有雙重國籍㗎
[00:06:17.040 --> 00:06:18.560]  當我哋有地上嘅國籍
[00:06:18.560 --> 00:06:20.160]  有天上嘅國籍
[00:06:20.160 --> 00:06:21.640]  我哋就要問自己喇
[00:06:21.640 --> 00:06:24.320]  我哋作為天國嘅子民呀
[00:06:24.320 --> 00:06:26.320]  究竟我哋行事為人
[00:06:26.320 --> 00:06:28.480]  有冇同福音相稱呢
[00:06:28.480 --> 00:06:30.760]  我記得呢以前我讀書嘅時候呢
[00:06:30.760 --> 00:06:33.560]  學校嘅校規係好嚴謹嘅
[00:06:33.560 --> 00:06:34.840]  佢講得好清楚
[00:06:34.840 --> 00:06:36.600]  當你著著校服嘅時候
[00:06:36.600 --> 00:06:37.880]  乜嘢可以做
[00:06:37.880 --> 00:06:39.040]  乜嘢唔可以做
[00:06:39.040 --> 00:06:40.680]  因為你著著校服嘅時候呢
[00:06:40.680 --> 00:06:42.760]  代表住學校嘅身份
[00:06:42.760 --> 00:06:44.240]  所以有啲你可以做 有啲唔可以做
[00:06:44.240 --> 00:06:45.000]  其中一樣嘢呢
[00:06:45.000 --> 00:06:46.680]  著著校服唔可以做嘅呢
[00:06:46.680 --> 00:06:48.640]  就係吉魚蛋喎
[00:06:48.640 --> 00:06:50.480]  係喇 我唔知你哋有冇試過學校呢
[00:06:50.480 --> 00:06:52.400]  話著著校服唔可以吉魚蛋呀
[00:06:52.400 --> 00:06:54.160]  咁我諗佢唔係擔心我咧啡
[00:06:54.160 --> 00:06:54.920]  而家到周圍都係
[00:06:54.920 --> 00:06:56.080]  佢驚我真係周圍去
[00:06:56.080 --> 00:06:57.200]  出面周圍食嘢
[00:06:57.200 --> 00:07:00.520]  咁所以當我哋帶著學校嘅身份呢
[00:07:00.520 --> 00:07:01.840]  有啲嘢可以做
[00:07:01.840 --> 00:07:03.640]  有啲嘢係唔可以做㗎
[00:07:03.640 --> 00:07:07.240]  咁我記得呢 我都曾經任職一間時裝公司
[00:07:07.240 --> 00:07:08.760]  咁呢間時裝公司呢
[00:07:08.760 --> 00:07:13.120]  係代理呢世界其中好出名嘅牛仔褲嘅品牌㗎喇
[00:07:13.120 --> 00:07:14.400]  呢個牛仔褲嘅品牌呢
[00:07:14.400 --> 00:07:16.080]  係同中國人嘅性係
[00:07:16.080 --> 00:07:17.280]  其中一個性係一樣㗎
