
[00:00:00.000 --> 00:00:04.160]  有一個探險家請了一個工人
[00:00:04.160 --> 00:00:09.600]  陪他去非洲一個蠻荒部族來探險
[00:00:09.600 --> 00:00:11.200]  做一些研究
[00:00:11.200 --> 00:00:17.440]  有一天他拿一把刀來切椰子
[00:00:17.440 --> 00:00:21.520]  不小心切了一個手指
[00:00:21.520 --> 00:00:24.640]  所以說「哎呀,好痛啊」
[00:00:24.640 --> 00:00:28.240]  即是切脫了
[00:00:28.240 --> 00:00:31.840]  這個僕人在旁邊居然說
[00:00:31.840 --> 00:00:35.760]  「感謝主,祂必有美意」
[00:00:35.760 --> 00:00:38.720]  「美你的頭」
[00:00:38.720 --> 00:00:42.480]  這個探險家很生氣
[00:00:42.480 --> 00:00:44.560]  因為這個僕人這樣說
[00:00:44.560 --> 00:00:50.080]  拿筆將他推在旁邊一個深坑那裡
[00:00:50.080 --> 00:00:53.280]  起了這個僕人居然又說
[00:00:53.280 --> 00:00:57.520]  「感謝主,祂必有美意」
[00:00:57.520 --> 00:01:00.960]  探險家搖頭
[00:01:00.960 --> 00:01:05.200]  「嘩,為什麼我這麼倒楣呢」
[00:01:05.200 --> 00:01:10.000]  花了錢請到一個好像白癡似的
[00:01:10.000 --> 00:01:14.800]  第二天,一群獵頭族人
[00:01:14.800 --> 00:01:18.960]  他們抓住這個探險家
[00:01:18.960 --> 00:01:21.760]  正準備斬他的頭
[00:01:21.760 --> 00:01:27.280]  突然發現他的手指沒有了一個指頭
[00:01:27.280 --> 00:01:33.440]  猶長覺得「嘩,都不完全有瑕疵的」
[00:01:33.440 --> 00:01:39.200]  「不配來獻祭,於是放了他」
[00:01:39.200 --> 00:01:42.080]  沒想到斷了一個手指頭
[00:01:42.080 --> 00:01:45.680]  竟然可以救了他的性命
[00:01:45.680 --> 00:01:49.600]  探險家很快就去深坑那裡
[00:01:49.600 --> 00:01:52.560]  把這個僕人拉上來
[00:01:52.560 --> 00:01:58.320]  很對不起,跟他說
[00:01:58.320 --> 00:02:04.800]  原來他體會到這個僕人說得對
[00:02:04.800 --> 00:02:09.360]  那僕人就說「我其實要多謝你」
[00:02:09.360 --> 00:02:11.520]  「如果不是你把我推到深坑」
[00:02:11.520 --> 00:02:14.800]  「可能我就要被獻祭」
[00:02:14.800 --> 00:02:18.160]  嘩,多值得心思的一句話
[00:02:18.160 --> 00:02:22.560]  感謝主,祂必有美言
[00:02:22.560 --> 00:02:25.680]  可能很多時候,表面上
[00:02:25.680 --> 00:02:28.720]  一時之間我們看這些事情
[00:02:28.720 --> 00:02:32.880]  有時覺得斬斷手
[00:02:32.880 --> 00:02:36.720]  被人推到坑裡,哪裡是好的事情呢?
[00:02:36.720 --> 00:02:41.120]  很難受,或者手也會痛
[00:02:41.120 --> 00:02:45.360]  「塞翁失馬,焉知非福」
[00:02:45.360 --> 00:02:49.680]  說不定,愛祢的神
[00:02:49.680 --> 00:02:54.000]  就是藉這個小小的
[00:02:54.000 --> 00:02:56.640]  好像看來不開心的事情
[00:02:56.640 --> 00:03:00.000]  很巧妙地去幫祢
[00:03:00.000 --> 00:03:03.680]  為祢將來去預備
[00:03:03.680 --> 00:03:07.840]  希望我們都在我們的經歷當中
[00:03:07.840 --> 00:03:12.240]  體會到神是多麼的愛我們
[00:03:12.240 --> 00:03:15.040]  在《雅各書》剛才第一段的經文
[00:03:15.040 --> 00:03:17.360]  二章一至十節
[00:03:17.360 --> 00:03:19.520]  十四至十七節說到
[00:03:19.520 --> 00:03:23.280]  「頌父輕貧」一個例子
[00:03:23.280 --> 00:03:28.640]  說出如果我們去按外貌去看人的時候
[00:03:28.640 --> 00:03:32.320]  就是對人有一個偏心
[00:03:32.320 --> 00:03:34.880]  「你穿得乾鮮一點,我就會重視你」
[00:03:34.880 --> 00:03:41.280]  「你穿得嬲嬲嬲嬲,我就當你無道」
[00:03:41.280 --> 00:03:46.800]  重視一些富有人,去輕視一些貧窮人
[00:03:46.800 --> 00:03:50.560]  這裡說到,都可以是一個罪
[00:03:50.560 --> 00:03:57.920]  因為我們未能夠去實踐愛人如己
[00:03:57.920 --> 00:04:01.520]  就要被主來審判
[00:04:01.520 --> 00:04:04.320]  去藐視貧窮人
[00:04:04.320 --> 00:04:09.840]  等於我們不太懂得去憐憫他的處境
[00:04:09.840 --> 00:04:14.240]  真正的信心需要流露出
[00:04:14.240 --> 00:04:18.320]  我們日常去對人那份的愛心
[00:04:18.320 --> 00:04:22.640]  透過愛心的行動來流露出來
[00:04:22.640 --> 00:04:25.520]  如果我們說我們去信這位主
[00:04:25.520 --> 00:04:29.120]  缺乏一個愛的行動
[00:04:29.120 --> 00:04:34.480]  我們只是在頭腦上去認識這位主
[00:04:34.480 --> 00:04:35.840]  是虛假的
[00:04:35.840 --> 00:04:40.320]  正如《雅各書》二章十四至十七節
[00:04:40.320 --> 00:04:42.640]  說到見到人有需要
