
[00:00:00.000 --> 00:00:04.640]  我們加勒泰書中間隔了一段時間
[00:00:04.640 --> 00:00:06.560]  可能大家都已經忘了
[00:00:06.560 --> 00:00:09.760]  還記得嗎
[00:00:09.760 --> 00:00:14.200]  記得什麼
[00:00:14.200 --> 00:00:19.760]  羅馬書、加勒泰書是保羅很重要的兩卷書信
[00:00:19.760 --> 00:00:24.600]  馬丁·路德稱爲羅馬書跟加勒泰書
[00:00:24.600 --> 00:00:30.800]  可以說是他因性稱義改教的非常重要的兩本書
[00:00:30.800 --> 00:00:33.760]  那麼加勒泰書比較深奧一點
[00:00:33.760 --> 00:00:36.400]  雖然只有六章
[00:00:36.400 --> 00:00:38.960]  但是加勒泰書保羅的書信有個特色
[00:00:38.960 --> 00:00:42.160]  就是他前面講教義
[00:00:42.160 --> 00:00:45.440]  後面就一定講生活
[00:00:45.440 --> 00:00:48.080]  所以一定把教義講清楚了
[00:00:48.080 --> 00:00:51.320]  然後一定把這個教義要應用在生活當中
[00:00:51.320 --> 00:00:56.760]  這也是我們講到或者我們聽到我們讀經一個很重要原則
[00:00:56.760 --> 00:00:58.480]  我們把神的話弄清楚
[00:00:58.480 --> 00:01:00.520]  但是不是停留在那個地方
[00:01:00.520 --> 00:01:04.680]  我們一定要讓神的話能夠實行出來應用出來
[00:01:04.680 --> 00:01:09.640]  跟你旁邊說好好聽到
[00:01:09.640 --> 00:01:13.800]  保羅在羅馬書第五章
[00:01:13.800 --> 00:01:17.840]  今天我們要看到羅馬書第五章第一
[00:01:17.840 --> 00:01:20.360]  第一節到十六節
[00:01:20.360 --> 00:01:25.600]  可以說是整個他教義的一個完結篇
[00:01:25.600 --> 00:01:32.920]  也可以說是他講到因性稱義的這個重要主題的一個結論
[00:01:32.920 --> 00:01:37.960]  從十七節開始他就要講生活方面的
[00:01:37.960 --> 00:01:43.440]  保羅還記得我們花了很多時間在講五章第一節是不是
[00:01:43.440 --> 00:01:46.280]  今天基督既然已經釋放了我們
[00:01:46.280 --> 00:01:52.480]  我們已經從盧浦的惡就不再被盧浦的惡所挾制了
[00:01:52.480 --> 00:01:56.160]  所以我們講到說我們今天在基督的裏面我們已經得到了自由
[00:01:56.160 --> 00:01:58.480]  從哪裏得自由
[00:01:58.480 --> 00:02:00.880]  從律法的當中得自由
[00:02:00.880 --> 00:02:04.960]  從這個罪惡的捆綁當中得自由
[00:02:04.960 --> 00:02:08.440]  所以怎麼樣子我們能夠得自由呢
[00:02:08.440 --> 00:02:11.840]  在基督的裏面我們可以得自由
[00:02:11.840 --> 00:02:14.360]  藉着真理可以使我們得自由
