
[00:00:00.000 --> 00:00:06.000]  好高興,今日我哋又直接去聆聽神嘅話語,去敬拜上帝。
[00:00:06.000 --> 00:00:11.500]  我哋一齊打開您嘅講章。
[00:00:11.500 --> 00:00:17.500]  今日印咗好多經文俾大家,因為今日嘅題目講去認識神嘅慈愛。
[00:00:17.500 --> 00:00:21.000]  曾經講到神嘅慈愛呢,有好多好多嘅經文。
[00:00:21.000 --> 00:00:26.500]  咁呢,我好想同大家讀一節聖經。
[00:00:26.500 --> 00:00:34.500]  喺您嘅輔助經文嘅第一句,
[00:00:34.500 --> 00:00:37.500]  詩篇六十三篇第三節。
[00:00:37.500 --> 00:00:39.500]  詩篇六十三篇第三節。
[00:00:39.500 --> 00:00:41.500]  搵到我哋一齊讀出好嗎?
[00:00:41.500 --> 00:00:44.500]  詩篇六十三篇第三節,預備起。
[00:00:44.500 --> 00:00:47.500]  因您的慈愛比生命更好,
[00:00:47.500 --> 00:00:50.000]  我的嘴唇要重讚您。
[00:00:50.000 --> 00:00:56.500]  嚟多次,因您的慈愛比生命更好,嘴唇要重讚您。
[00:00:56.500 --> 00:01:00.500]  我哋一齊喺神面前再一次禱告。
[00:01:00.500 --> 00:01:06.500]  天下上帝,我哋讀到呢個聖經,
[00:01:06.500 --> 00:01:10.500]  聖經講到您嘅慈愛比生命更好。
[00:01:10.500 --> 00:01:17.500]  我哋唔係好明白,因為我哋覺得冇乜嘢可以比得上生命更寶貴。
[00:01:17.500 --> 00:01:22.500]  但係您聖經講得好清楚,您嘅慈愛比生命更好。
[00:01:22.500 --> 00:01:28.500]  求您比我哋懂得唔單止熱愛我哋嘅生命,珍惜我哋嘅生命,
[00:01:28.500 --> 00:01:32.000]  愛護保護我哋嘅生命,重視,
[00:01:32.000 --> 00:01:36.500]  但係更加睇到神您嘅慈愛比生命更美好。
[00:01:36.500 --> 00:01:41.500]  求您比我哋有呢個智慧去認識您嘅愛,更加去認識您,
[00:01:41.500 --> 00:01:45.500]  您係何等嘅獨特,對我哋何等嘅重要。
[00:01:45.500 --> 00:01:49.000]  求您聽我哋祈禱,奉耶穌基督嘅聖名。
[00:01:49.000 --> 00:01:55.000]  有冇聽過耶穌講一個說話,人若賺得全世界,跟住下一句係咩呀?
[00:01:55.000 --> 00:01:58.000]  求賠償你自己嘅生命。
[00:01:58.000 --> 00:02:01.500]  有冇諗下,咁有咩益處呢?
[00:02:01.500 --> 00:02:04.000]  今日係幾多號呀?
[00:02:04.000 --> 00:02:07.500]  係啦!今日九一一啦!
[00:02:07.500 --> 00:02:10.000]  我有個朋友今日生日,
[00:02:10.000 --> 00:02:13.500]  喺美國佢唔敢慶祝呀!
[00:02:13.500 --> 00:02:16.500]  耶穌講人賺得全世界,
[00:02:16.500 --> 00:02:21.500]  你有冇聽過,有冇識一啲人,你覺得佢已經賺到全世界咁濟呀?
[00:02:21.500 --> 00:02:26.500]  冇呀!佢可能住喺沙田嘅世界花園呀!
[00:02:26.500 --> 00:02:31.500]  我有一次去完紅磡呢個喪禮呢,
[00:02:31.500 --> 00:02:34.500]  我一個人去,所以我搭的士走呀!
