
[00:00:00.000 --> 00:00:06.760]  今日我跟大家分享的題目是「生命師傅的典範」
[00:00:06.760 --> 00:00:09.480]  不如開始時我們先有個祈禱吧
[00:00:09.480 --> 00:00:12.600]  親愛的主
[00:00:12.600 --> 00:00:15.720]  願祢僕人口中的說話
[00:00:15.720 --> 00:00:17.440]  心裡的意念
[00:00:17.440 --> 00:00:19.880]  在祢的面前蒙悅立
[00:00:19.880 --> 00:00:23.840]  也願主的令感動我們弟兄姊妹
[00:00:23.840 --> 00:00:26.120]  讓我們聽的 講的
[00:00:26.120 --> 00:00:29.480]  同感一鈴 同受詛咒
[00:00:29.480 --> 00:00:34.480]  祈禱 奉耶穌名求 阿們
[00:00:34.480 --> 00:00:37.080]  在上個世紀
[00:00:37.080 --> 00:00:39.720]  如果你說想學一門手藝
[00:00:39.720 --> 00:00:42.720]  又或者有一技旁身的時候
[00:00:42.720 --> 00:00:45.560]  我相信你一定找個師傅
[00:00:45.560 --> 00:00:47.640]  來跟他學師的 是不是
[00:00:47.640 --> 00:00:49.800]  跟他住 跟他吃
[00:00:49.800 --> 00:00:51.400]  跟他一起工作
[00:00:51.400 --> 00:00:53.560]  一腳踢 什麼都做了
[00:00:53.560 --> 00:00:57.120]  那時候就叫做「學師仔」
[00:00:57.120 --> 00:01:01.080]  來到這個世紀 這個千禧年代的時候
[00:01:01.080 --> 00:01:03.760]  如果你想跟一個很資深的人
[00:01:03.760 --> 00:01:05.760]  很有經驗的人
[00:01:05.760 --> 00:01:08.280]  很有學識的人做師傅
[00:01:08.280 --> 00:01:11.400]  那就叫做「師徒制」 是不是
[00:01:11.400 --> 00:01:13.280]  所以我們當中有些人
[00:01:13.280 --> 00:01:15.120]  可能你做過「mentor」
[00:01:15.120 --> 00:01:16.760]  做過「mentor」 是不是
[00:01:16.760 --> 00:01:22.240]  我們都有一種「師徒制」這種概念
[00:01:22.240 --> 00:01:27.160]  如果把它應用在宗教信仰方面
[00:01:27.160 --> 00:01:30.080]  我相信一個最貼切的字眼
[00:01:30.080 --> 00:01:34.960]  就是「生命師傅」
[00:01:34.960 --> 00:01:37.600]  剛才讀的聖經有兩個人物
[00:01:37.600 --> 00:01:39.000]  大家有沒有留意到
[00:01:39.000 --> 00:01:41.200]  一個叫做「巴拿巴」
[00:01:41.200 --> 00:01:42.800]  一個叫做「素羅」
[00:01:42.800 --> 00:01:44.840]  就是後來的「保羅」
[00:01:44.840 --> 00:01:47.320]  兩個人放在一起的時候
[00:01:47.320 --> 00:01:48.760]  不用問阿貴
[00:01:48.760 --> 00:01:51.760]  大家最熟的是「保羅」 是不是
[00:01:51.760 --> 00:01:53.920]  因為他知名度很高
[00:01:53.920 --> 00:01:57.600]  他貢獻很大
[00:01:57.600 --> 00:02:00.560]  所以大家都很認識「保羅」
[00:02:00.560 --> 00:02:03.360]  尤其是大家知道
[00:02:03.360 --> 00:02:07.240]  「保羅」他是一個很出色的報道家
[00:02:07.240 --> 00:02:09.520]  他在《少路行傳》裡面
[00:02:09.520 --> 00:02:10.440]  給我們看到
[00:02:10.440 --> 00:02:14.480]  他到處傳福音 建立教會
[00:02:14.480 --> 00:02:15.840]  但是很多人都信著
[00:02:15.840 --> 00:02:19.640]  所以他是一個很出名的報道家 是不是
[00:02:19.640 --> 00:02:21.120]  不單是這樣
[00:02:21.120 --> 00:02:24.040]  「保羅」也是一個神學家
[00:02:24.040 --> 00:02:24.920]  為什麼呢
[00:02:24.920 --> 00:02:28.960]  因為在他所寫的十三封信裡面
[00:02:28.960 --> 00:02:34.720]  揚入著很淵博的一個神學思想和概念
[00:02:34.720 --> 00:02:37.200]  所以我們對「保羅」的認識
[00:02:37.200 --> 00:02:39.600]  是非常深刻的
[00:02:39.600 --> 00:02:42.560]  不過少人知道的是什麼呢
[00:02:42.560 --> 00:02:48.640]  原來「保羅」也是做過生命師傅的
[00:02:48.640 --> 00:02:50.240]  大家有沒有留意到
[00:02:50.240 --> 00:02:52.760]  或者我試一下提一些名字
[00:02:52.760 --> 00:02:54.760]  可能會比較陌生一點
[00:02:54.760 --> 00:02:58.160]  有沒有人聽過「阿居拉」
[00:02:58.160 --> 00:02:59.520]  「伯姬拉」這個名字
[00:02:59.520 --> 00:03:01.120]  有沒有聽過
[00:03:01.120 --> 00:03:03.200]  「保羅」做過他們的生命師傅
[00:03:03.200 --> 00:03:05.520]  還有一個比較陌生一點的名字
[00:03:05.520 --> 00:03:10.440]  有沒有人聽過「阿彌西姆」這個名字呢
[00:03:10.440 --> 00:03:11.840]  都有一點 非常好
[00:03:11.840 --> 00:03:14.280]  不如說一個你們很熟悉的名字
[00:03:14.280 --> 00:03:16.200]  「提摩太」 聽過沒有
[00:03:16.200 --> 00:03:17.600]  每個人都聽過「提摩太」
[00:03:17.600 --> 00:03:20.320]  可能你也叫「提摩太」也不一定
[00:03:20.320 --> 00:03:21.040]  丁姐妹們
[00:03:21.040 --> 00:03:24.640]  原來「保羅」是做過他們的生命師傅
[00:03:24.640 --> 00:03:26.080]  但你有沒有想過
[00:03:26.080 --> 00:03:31.120]  哪一個人是「保羅」的生命師傅呢
[00:03:31.120 --> 00:03:34.600]  答案已經在經文裡讀出來了
[00:03:34.600 --> 00:03:36.800]  就是「巴拿伯」
[00:03:36.800 --> 00:03:42.200]  今天我就要和你們思想一下「巴拿伯」
[00:03:42.200 --> 00:03:45.520]  「巴拿伯」怎麼可以做「保羅」的生命師傅呢
[00:03:45.520 --> 00:03:49.000]  因為他擁有三項的特質
[00:03:49.000 --> 00:03:51.920]  或者三個很重要的條件
[00:03:51.920 --> 00:03:55.040]  我們來看看吧
[00:03:55.040 --> 00:03:57.320]  第一個特質是什麼呢
[00:03:57.320 --> 00:03:59.320]  第一個特質就是
[00:03:59.320 --> 00:04:03.880]  巴拿伯是樂意去接待
[00:04:03.880 --> 00:04:05.440]  他接待「素羅」
[00:04:05.440 --> 00:04:07.200]  為什麼要接待「素羅」呢
[00:04:07.200 --> 00:04:09.600]  大家有印象的就是
[00:04:09.600 --> 00:04:12.520]  自從「素羅」在大馬式的路上
[00:04:12.520 --> 00:04:15.600]  二見耶穌、被主光照
[00:04:15.600 --> 00:04:17.880]  他就迴轉、悔改
[00:04:17.880 --> 00:04:20.000]  相信了耶穌基督
[00:04:20.000 --> 00:04:21.800]  當他信了耶穌基督之後
[00:04:21.800 --> 00:04:25.160]  他很熱心、很火熱
[00:04:25.160 --> 00:04:27.440]  很想傳福音
[00:04:27.440 --> 00:04:31.080]  又很想和基督徒相交
[00:04:31.080 --> 00:04:32.440]  但誰不知
[00:04:32.440 --> 00:04:33.760]  他一去
[00:04:33.760 --> 00:04:38.320]  去到耶路撒冷教會的時候
[00:04:38.320 --> 00:04:41.040]  就好像被人潑冷水一樣
[00:04:41.040 --> 00:04:42.760]  大家明白這個意思嗎
[00:04:42.760 --> 00:04:44.360]  原來他回到教會
[00:04:44.360 --> 00:04:47.640]  人人都怕了他
[00:04:47.640 --> 00:04:49.240]  怕了他
[00:04:49.240 --> 00:04:52.920]  哇!這個人信耶穌
[00:04:52.920 --> 00:04:55.000]  是不是真的還是假的
[00:04:55.000 --> 00:04:57.000]  你明白我的意思吧
[00:04:57.000 --> 00:05:00.480]  這個人信耶穌
[00:05:00.480 --> 00:05:02.840]  是不是在耍花樣
[00:05:02.840 --> 00:05:04.480]  不要在教會這樣
[00:05:04.480 --> 00:05:07.920]  你到底來教會的目的是什麼呢
[00:05:07.920 --> 00:05:09.960]  是不是又要在我們教會裡面
[00:05:09.960 --> 00:05:13.160]  搜集資料、搜集名單
[00:05:13.160 --> 00:05:14.880]  接著交給大祭司
[00:05:14.880 --> 00:05:16.360]  又再抓我們呢
[00:05:16.360 --> 00:05:18.040]  大家明白這個意思吧
[00:05:18.040 --> 00:05:21.840]  所以「素羅」這個名字
[00:05:21.840 --> 00:05:26.880]  在當時教會裡面是臭名遠播的
[00:05:26.880 --> 00:05:28.240]  聽到都害怕
[00:05:28.240 --> 00:05:29.840]  還見到真人
[00:05:29.840 --> 00:05:32.880]  還害怕多幾次
[00:05:32.880 --> 00:05:36.600]  啊!在這樣的情況下
[00:05:36.600 --> 00:05:39.480]  這個「素羅」
[00:05:39.480 --> 00:05:43.960]  可以說他遇到三個困境
[00:05:43.960 --> 00:05:45.880]  第一個困境是什麼呢
[00:05:45.880 --> 00:05:47.680]  第一個困境就是
[00:05:47.680 --> 00:05:50.400]  他剛信耶穌不久
[00:05:50.400 --> 00:05:54.400]  原來沒有人夠膽去接待他
[00:05:54.400 --> 00:05:56.160]  去跟進他
[00:05:56.160 --> 00:05:57.800]  去栽培他
[00:05:57.800 --> 00:05:59.760]  其實「素羅」初信耶穌
[00:05:59.760 --> 00:06:02.240]  應該回初信班的
[00:06:02.240 --> 00:06:05.320]  應該回主日學的
[00:06:05.320 --> 00:06:08.440]  大家竟然沒有人接近他
[00:06:08.440 --> 00:06:10.440]  沒有人夠膽接觸他
[00:06:10.440 --> 00:06:12.560]  好像當他是傳染病一樣
[00:06:12.560 --> 00:06:13.360]  你們明白嗎
[00:06:13.360 --> 00:06:17.080]  每個人見到他就彈開了
[00:06:17.080 --> 00:06:20.280]  這個對「素羅」來說
[00:06:20.280 --> 00:06:22.640]  一個這麼幽亂的靈命
[00:06:22.640 --> 00:06:27.560]  其實很快他的信仰根基會動搖的
[00:06:27.560 --> 00:06:28.560]  是不是
[00:06:28.560 --> 00:06:30.920]  第二個困境就是
[00:06:30.920 --> 00:06:32.480]  他回來教會
[00:06:32.480 --> 00:06:36.800]  覺得那些人不多歡迎他不但如此
[00:06:36.800 --> 00:06:40.080]  還用一些很奇異的眼光
[00:06:40.080 --> 00:06:43.840]  很懷疑的眼光去看著他
[00:06:43.840 --> 00:06:47.840]  到底這個人是不是真的信耶穌呢
[00:06:47.840 --> 00:06:48.680]  各位
[00:06:48.680 --> 00:06:51.680]  你有沒有試過回教會
[00:06:51.680 --> 00:06:54.920]  被人用奇異的眼光看著你
[00:06:54.920 --> 00:06:57.400]  被人用懷疑的眼光看著你呢
[00:06:57.400 --> 00:06:59.480]  我相信一定沒有
[00:06:59.480 --> 00:07:02.120]  如果你被人這樣看著就很辛苦了
[00:07:02.120 --> 00:07:03.120]  為什麼
[00:07:03.120 --> 00:07:08.000]  因為他回來教會他的心很想學聖經
[00:07:08.000 --> 00:07:09.280]  很想親近神
[00:07:09.280 --> 00:07:10.520]  但是忽然間
[00:07:10.520 --> 00:07:13.440]  不離的反應是這樣的反應
[00:07:13.440 --> 00:07:14.600]  各位聽眾們
[00:07:14.600 --> 00:07:16.760]  結果「素羅」是什麼
[00:07:16.760 --> 00:07:18.200]  「素羅」是
[00:07:18.200 --> 00:07:22.600]  「單人匹馬,孤立無活」
[00:07:22.600 --> 00:07:25.160]  在那個時候他真的很孤單
[00:07:25.160 --> 00:07:27.400]  因為沒有人跟他在一起
[00:07:27.400 --> 00:07:28.760]  你說孤不孤單
[00:07:28.760 --> 00:07:31.920]  就好像你回到教會的時候
[00:07:31.920 --> 00:07:33.560]  沒有人理你
[00:07:33.560 --> 00:07:35.160]  沒有人跟你打招呼
