
[00:00:00.000 --> 00:00:02.000]  好,繼續賣關子
[00:00:02.000 --> 00:00:04.500]  不告訴你,不過大家這麼冰雪聰明
[00:00:04.500 --> 00:00:05.800]  都知道我想說什麼
[00:00:05.800 --> 00:00:07.800]  先講個見證給大家聽
[00:00:07.800 --> 00:00:09.300]  93年的時候
[00:00:09.300 --> 00:00:11.800]  1993年,上一世紀
[00:00:11.800 --> 00:00:13.800]  信主未夠一年的我
[00:00:13.800 --> 00:00:16.300]  在多倫多的教會,在一次崇拜裡面
[00:00:16.300 --> 00:00:18.700]  好像大家這樣坐在會眾席當中
[00:00:18.700 --> 00:00:22.300]  我就看到台上的師班席
[00:00:22.300 --> 00:00:23.300]  為什麼這麼凋零
[00:00:23.300 --> 00:00:26.800]  只有三、四個人參加
[00:00:26.800 --> 00:00:28.800]  於是我就和神祈禱
[00:00:28.800 --> 00:00:30.800]  我記得神很清楚跟我說
[00:00:30.800 --> 00:00:34.800]  你不要求我,叫我去安排其他人去參加
[00:00:34.800 --> 00:00:36.800]  我是問你,即是在問我
[00:00:36.800 --> 00:00:41.800]  你願不願意在台上去敬拜、侍奉祂
[00:00:41.800 --> 00:00:43.800]  於是我就戰戰兢兢
[00:00:43.800 --> 00:00:45.300]  心跳加速
[00:00:45.300 --> 00:00:47.800]  就回去問,跟太太說
[00:00:47.800 --> 00:00:50.800]  太太說,為什麼你有這樣的感動
[00:00:50.800 --> 00:00:51.800]  好像同感一靈
[00:00:51.800 --> 00:00:53.800]  我說,當然了,大家坐在同一個崇拜
[00:00:53.800 --> 00:00:55.800]  大家都看到這樣的情況
[00:00:55.800 --> 00:00:57.800]  當然是同感一靈
[00:00:57.800 --> 00:00:59.800]  當時就是這樣
[00:00:59.800 --> 00:01:05.800]  當時新信主聖經又不熟
[00:01:05.800 --> 00:01:07.800]  音樂又一般
[00:01:07.800 --> 00:01:09.800]  其實太太比我好很多
[00:01:09.800 --> 00:01:11.800]  但是我們就是這樣
[00:01:11.800 --> 00:01:14.800]  神就閲納了我們很微小的擺上
[00:01:14.800 --> 00:01:18.800]  就開始了93年,直到今天
[00:01:18.800 --> 00:01:20.800]  28年的敬拜、侍奉
[00:01:20.800 --> 00:01:25.800]  我記得當時第一首獻的詩歌是復活節的主日
[00:01:25.800 --> 00:01:27.800]  所獻的詩歌
[00:01:27.800 --> 00:01:29.800]  那個詩歌名我還記得
[00:01:29.800 --> 00:01:32.800]  叫做《我在此猜我》
[00:01:32.800 --> 00:01:34.800]  考考大家是從哪裡來的
[00:01:34.800 --> 00:01:37.800]  以賽亞書,六章第八節
[00:01:37.800 --> 00:01:39.800]  教會今年的主題是
[00:01:39.800 --> 00:01:42.800]  聖賢權能活出神國
[00:01:42.800 --> 00:01:44.800]  我們這麼偉大的耶穌
[00:01:44.800 --> 00:01:47.800]  就是那位親自來到地上
[00:01:47.800 --> 00:01:50.800]  他藉著神的話語、聖靈的大能
