
[00:00:00.000 --> 00:00:02.960]  若拿書第一篇的講道我提到
[00:00:02.960 --> 00:00:06.120]  若拿他是一位很不順服的先知
[00:00:06.120 --> 00:00:07.280]  縱然他不順服
[00:00:07.280 --> 00:00:11.000]  他仍然在當中都有表現出他的順服
[00:00:11.000 --> 00:00:13.000]  他可以起來 他可以去
[00:00:13.000 --> 00:00:16.440]  不過他不是去上帝要他去的地方
[00:00:16.440 --> 00:00:18.000]  上帝要他去尼尼尾城
[00:00:18.000 --> 00:00:21.240]  不過他自己的心的決定去了他師
[00:00:21.240 --> 00:00:25.160]  但他仍然都是願意起來 願意去
[00:00:25.160 --> 00:00:26.320]  以致到很多時候
[00:00:26.320 --> 00:00:29.280]  在我們聆聽到上帝的心意的時候
[00:00:29.280 --> 00:00:31.640]  我們可能連動都不動
[00:00:31.640 --> 00:00:34.440]  因為我們覺得既然不想去
[00:00:34.440 --> 00:00:35.520]  直接動都不動
[00:00:35.520 --> 00:00:39.840]  我們不想離開我們自己的一個很舒服的環境
[00:00:39.840 --> 00:00:41.880]  但同樣我們看到若拿
[00:00:41.880 --> 00:00:44.520]  他縱然去到最後他有順服
[00:00:44.520 --> 00:00:48.640]  但他的順服當中仍然帶著很多憤怒
[00:00:48.640 --> 00:00:50.760]  帶著很多仇恨
[00:00:50.760 --> 00:00:53.600]  因為他真的不想尼尼尾城的人
[00:00:53.600 --> 00:00:57.280]  能夠回歸到耶和華的懷抱那邊
[00:00:57.280 --> 00:01:00.840]  所以他仍然是不甘心地去宣講
[00:01:00.840 --> 00:01:03.120]  上帝要他宣講的說話
[00:01:03.120 --> 00:01:06.240]  我們一會兒會更加詳細的講這一部分
[00:01:06.240 --> 00:01:08.400]  但同樣當我自己去想
[00:01:08.400 --> 00:01:11.480]  他的不順服當中仍然有很多的憤怒的時候
[00:01:11.480 --> 00:01:13.640]  有時候我都會想起我們自己
[00:01:13.640 --> 00:01:16.120]  今天面對香港這個情景
[00:01:16.120 --> 00:01:19.760]  三十多天的一個佔中的情景
[00:01:19.760 --> 00:01:22.680]  到現在我們仍然似乎沒有跡象
[00:01:22.680 --> 00:01:24.640]  去看到怎樣解決
[00:01:24.640 --> 00:01:27.000]  當然對於我們不同的人
[00:01:27.000 --> 00:01:29.040]  我們看著同一件事的時候
[00:01:29.040 --> 00:01:32.120]  可能有不同的內心的一種回應
[00:01:32.120 --> 00:01:34.080]  我們每天可能看著電視機
