
[00:00:00.000 --> 00:00:02.880]  我不知道大家的禱告生活是怎麼樣的
[00:00:02.880 --> 00:00:06.400]  通常平時我們很少禱告
[00:00:06.400 --> 00:00:10.240]  除了借飯祈禱 或者睡覺前有沒有祈禱
[00:00:10.240 --> 00:00:11.840]  我希望有啦
[00:00:11.840 --> 00:00:14.320]  否則什麼時候最容易祈禱呢
[00:00:14.320 --> 00:00:15.840]  就是當我們遇到問題的時候
[00:00:15.840 --> 00:00:17.840]  通常有問題 有困難
[00:00:17.840 --> 00:00:19.440]  我們就會祈禱
[00:00:19.440 --> 00:00:23.840]  這些是基督徒應該有的習慣
[00:00:23.840 --> 00:00:27.280]  但我發覺現在的世代變得太快了
[00:00:27.280 --> 00:00:30.320]  在科技發展的這個時間當中
[00:00:30.320 --> 00:00:32.960]  現在的人有問題 有難處
[00:00:32.960 --> 00:00:34.960]  以前就Google一下
[00:00:34.960 --> 00:00:36.240]  現在不Google了
[00:00:36.240 --> 00:00:37.600]  其實不是不Google的
[00:00:37.600 --> 00:00:38.720]  不過現在是什麼
[00:00:38.720 --> 00:00:40.240]  去問CHPT
[00:00:40.240 --> 00:00:41.760]  Germany
[00:00:41.760 --> 00:00:44.080]  或者是Copilot
[00:00:44.080 --> 00:00:46.240]  總之現在人工智能
[00:00:46.240 --> 00:00:48.400]  我們發覺到一個地步
[00:00:48.400 --> 00:00:49.920]  好像橫行無忌
[00:00:49.920 --> 00:00:51.200]  其實不是橫行無忌
[00:00:51.200 --> 00:00:52.720]  是我們使用它
[00:00:52.720 --> 00:00:56.160]  使用到很多時候沒有分寸
[00:00:56.160 --> 00:00:57.920]  所以很多時候我們發覺
[00:00:57.920 --> 00:00:59.920]  在不知不覺當中
[00:00:59.920 --> 00:01:02.480]  不知道我們會不會有些人
[00:01:02.480 --> 00:01:03.360]  有這樣的感覺
[00:01:03.360 --> 00:01:04.880]  覺得現在AI
[00:01:04.880 --> 00:01:08.640]  人工智能這樣東西
