
[00:00:00.000 --> 00:00:02.960]  弟兄姊妹們好
[00:00:02.960 --> 00:00:05.460]  感謝神
[00:00:05.460 --> 00:00:11.880]  Emily 二十二歲就明白福祉的道理
[00:00:11.880 --> 00:00:17.000]  我到頭髮白了才知道
[00:00:17.000 --> 00:00:23.680]  四十記第三我們講到女仙子李勃拉與神同行
[00:00:23.680 --> 00:00:31.360]  今天我們來看看 四十記基典它怎麼與神同行
[00:00:31.360 --> 00:00:36.040]  今天的經文講的事實是基典
[00:00:36.040 --> 00:00:40.960]  它主要的理論是米殿論
[00:00:40.960 --> 00:00:46.080]  今天的經文其實介紹這場戰爭的是特別多
[00:00:46.080 --> 00:00:49.040]  有三章 六章 七章 八章
[00:00:49.040 --> 00:00:52.680]  所以描寫得非常清楚
[00:00:52.680 --> 00:00:58.680]  大家有空的時候可以看一看
[00:00:58.680 --> 00:01:02.680]  地圖上我們看到這場戰爭的戰場
[00:01:02.680 --> 00:01:09.520]  是在熱帶火的西面平原的地方
[00:01:09.520 --> 00:01:14.680]  敵人是米殿論 亞馬尼論和東方論
[00:01:14.680 --> 00:01:21.440]  東方論有沒有摩崖論跟以東論甚至沒有講
[00:01:21.440 --> 00:01:25.480]  來對抗這批敵人的主將是基典
[00:01:25.480 --> 00:01:28.280]  他是馬拉西論
[00:01:28.280 --> 00:01:33.720]  然後他們招的主支派有西部論支派
[00:01:33.720 --> 00:01:38.040]  有拿伏塔支派 有亞協支派
[00:01:38.040 --> 00:01:42.200]  最後在阻擋敵人逃跑的時候
[00:01:42.200 --> 00:01:46.320]  伊法連支派夾在裏面
[00:01:46.320 --> 00:01:52.200]  今天的經文我們可以看到這七次的懲罰
[00:01:52.200 --> 00:01:54.800]  四之第一我已經講過
[00:01:54.800 --> 00:01:57.400]  以色列人叛亂
[00:01:57.400 --> 00:02:03.120]  神這次用米殿論來懲罰以色列人
[00:02:03.120 --> 00:02:05.480]  當以色列人明白的時候
[00:02:05.480 --> 00:02:08.560]  懺悔相稱呼求的時候
[00:02:08.560 --> 00:02:13.160]  神用基典來救以色列人
[00:02:13.160 --> 00:02:17.440]  我們也來看看基典怎麼學習與神同行
[00:02:17.440 --> 00:02:22.040]  那我們做一個短短的禱告
[00:02:22.040 --> 00:02:25.760]  父阿全能慈悲的父神我們感謝你
[00:02:25.760 --> 00:02:28.320]  你是聽禱告的神
[00:02:28.320 --> 00:02:30.200]  當我們呼求的日子
[00:02:30.200 --> 00:02:33.240]  你就應允我們、鼓勵我們
[00:02:33.240 --> 00:02:36.120]  使我們的心中有能力
[00:02:36.120 --> 00:02:40.280]  當我們在患難中你就拯救我們、扶持我們
[00:02:40.280 --> 00:02:43.320]  使我們有平安喜樂
[00:02:43.320 --> 00:02:46.520]  父阿求禰祝福我們這個小教會
[00:02:46.520 --> 00:02:49.600]  讓我們的歌聲得你的喜悅
[00:02:49.600 --> 00:02:52.680]  讓我們的讚美蒙你的怨惱
[00:02:52.680 --> 00:02:56.640]  讓我們的禱告得你的應許
[00:02:56.640 --> 00:03:00.280]  父阿我們將有病痛的弟兄姐妹交在你的手中
[00:03:00.280 --> 00:03:02.120]  求你醫治
[00:03:02.120 --> 00:03:04.880]  有需要的求你供給
[00:03:04.880 --> 00:03:07.960]  有困難的求你拯救、扶持
[00:03:07.960 --> 00:03:11.280]  我們將今天的聚會恭敬交在你的手中
[00:03:11.280 --> 00:03:13.960]  求你祝福丹林
[00:03:13.960 --> 00:03:16.920]  我們禱告都是奉我主耶穌基督的聖名
[00:03:16.920 --> 00:03:18.840]  Amen
[00:03:18.840 --> 00:03:22.640]  這裏說到耶和華的使者來到我佛堂
[00:03:22.640 --> 00:03:28.560]  坐在亞比依謝主能有阿師像樹下
[00:03:28.560 --> 00:03:31.480]  我相信古代的時候沒有街
[00:03:31.480 --> 00:03:33.840]  也沒有門牌號碼
[00:03:33.840 --> 00:03:36.040]  所以門前的樹
[00:03:36.040 --> 00:03:39.040]  大概就代表他們住的地方
[00:03:39.040 --> 00:03:42.400]  如果大家還記得上次我說底勃拉
[00:03:42.400 --> 00:03:44.640]  他是在什麼地方
[00:03:44.640 --> 00:03:50.760]  他是在中樹下來判斷以色列人
[00:03:50.760 --> 00:03:53.960]  有阿師的兒子叫西殿
[00:03:53.960 --> 00:03:54.960]  他在做什麼?
[00:03:54.960 --> 00:03:56.080]  經文告訴我們
[00:03:56.080 --> 00:04:00.400]  他躲在榨酒的地方打麥子
[00:04:00.400 --> 00:04:02.640]  他沒有在打麥場打麥
[00:04:02.640 --> 00:04:04.720]  因爲他害怕
[00:04:04.720 --> 00:04:09.320]  他躲避彌天人
[00:04:09.320 --> 00:04:12.520]  但是耶和華的使者來到這裏
[00:04:12.520 --> 00:04:14.560]  稱呼他是什麼?
[00:04:14.560 --> 00:04:17.320]  大能的勇士
[00:04:17.320 --> 00:04:21.200]  耶和華與你同在
[00:04:21.200 --> 00:04:25.200]  啊 那個西殿說
[00:04:25.200 --> 00:04:27.320]  如果耶和華跟我同在
[00:04:27.320 --> 00:04:32.760]  我何必躲在這裏打麥場
[00:04:32.760 --> 00:04:34.360]  神跟我同在
[00:04:34.360 --> 00:04:38.200]  我怎麼會遭遇到這麼多事情呢?
[00:04:38.200 --> 00:04:41.880]  這是一個很自然的回答
[00:04:41.880 --> 00:04:44.000]  能在困難中
[00:04:44.000 --> 00:04:49.800]  常常就會覺得神利棄了我們
[00:04:49.800 --> 00:04:54.320]  記得兩年多前我脊椎骨要開刀
[00:04:54.320 --> 00:04:57.680]  四年前我心臟開過刀
[00:04:57.680 --> 00:05:00.520]  三年前我肩膀開過刀
[00:05:00.520 --> 00:05:03.560]  兩年多前脊椎骨又要開刀
[00:05:03.560 --> 00:05:05.280]  是個很困難的手術
[00:05:05.280 --> 00:05:08.160]  我心中很煩惱
[00:05:08.160 --> 00:05:11.080]  有一對族內的夫妻來看我
[00:05:11.080 --> 00:05:14.560]  大概他們想到我會害怕
