
[00:00:00.000 --> 00:00:03.000]  我沒有忘記今天是一個父親節
[00:00:03.000 --> 00:00:05.200]  我自己作為一個父親
[00:00:05.200 --> 00:00:08.400]  我亦作為一個公公的身份
[00:00:08.400 --> 00:00:10.600]  都明白我們今天做父親
[00:00:10.600 --> 00:00:13.200]  是有很多不同的掙扎
[00:00:13.200 --> 00:00:15.000]  過去我們做父親
[00:00:15.000 --> 00:00:16.400]  我們很多時候都覺得
[00:00:16.400 --> 00:00:18.000]  男主外 女主內
[00:00:18.000 --> 00:00:22.000]  好像把一切責任都給了太太
[00:00:22.000 --> 00:00:24.000]  來管家裡的事
[00:00:24.000 --> 00:00:25.600]  我們賺錢養家
[00:00:25.600 --> 00:00:28.400]  這是我們的一個目標
[00:00:28.400 --> 00:00:30.600]  這些其實都不是很難
[00:00:30.600 --> 00:00:32.800]  總之是用心去做
[00:00:32.800 --> 00:00:35.400]  用心去工作
[00:00:35.400 --> 00:00:38.200]  也有上帝自己的祝福
[00:00:38.200 --> 00:00:39.400]  但過去幾年
[00:00:39.400 --> 00:00:42.400]  我發覺香港的社會是變了
[00:00:42.400 --> 00:00:46.200]  幾年前我跟師母出去講一些講座
[00:00:46.200 --> 00:00:48.600]  極少是爸爸去聽
[00:00:48.600 --> 00:00:50.400]  聽都是媽媽來聽
[00:00:50.400 --> 00:00:53.200]  差不多百分之九十都是媽媽來聽
[00:00:53.200 --> 00:00:56.000]  百分之十左右開始是爸爸來聽
[00:00:56.000 --> 00:00:58.400]  甚至少於百分之十也不足為奇
[00:00:58.400 --> 00:00:59.800]  但過去幾年
[00:00:59.800 --> 00:01:01.800]  越來越多爸爸
[00:01:01.800 --> 00:01:03.200]  其實我們很深信
[00:01:03.200 --> 00:01:07.800]  爸爸在家的形象是改變了
[00:01:07.800 --> 00:01:10.600]  我們以往是一個缺席的父親的一代
[00:01:10.600 --> 00:01:12.800]  即是我成長是缺席的父親的一代
[00:01:12.800 --> 00:01:14.000]  但到了現在的一代
[00:01:14.000 --> 00:01:15.200]  我們發覺爸爸的角色
[00:01:15.200 --> 00:01:17.200]  越來越重要
[00:01:17.200 --> 00:01:18.600]  所以越多的爸爸
[00:01:18.600 --> 00:01:22.400]  開始去聆聽一些做爸爸的講座
[00:01:22.400 --> 00:01:23.400]  我都感謝主
[00:01:23.400 --> 00:01:25.200]  因為有時我發覺
[00:01:25.200 --> 00:01:27.600]  原來我舉辦一些男性聚會
[00:01:27.600 --> 00:01:29.400]  來聆聽的人都多了
[00:01:29.400 --> 00:01:32.600]  甚至有時多過師母講女性
[00:01:32.600 --> 00:01:33.800]  我都感謝主
[00:01:33.800 --> 00:01:35.400]  因為師母很多人聆聽
[00:01:35.400 --> 00:01:36.600]  只有一次
[00:01:36.600 --> 00:01:37.800]  一次這麼多
[00:01:37.800 --> 00:01:39.200]  我人數多過她
[00:01:39.200 --> 00:01:41.200]  但另一方面我也感謝神
[00:01:41.200 --> 00:01:44.000]  因為越來越多丈夫
[00:01:44.000 --> 00:01:45.600]  越來越多爸爸
[00:01:45.600 --> 00:01:46.600]  都發現到
[00:01:46.600 --> 00:01:50.200]  原來今天在家裡的爸爸的形象
[00:01:50.200 --> 00:01:53.800]  對我們下一代是很重要
[00:01:53.800 --> 00:01:54.400]  縱然你說
[00:01:54.400 --> 00:01:57.000]  今天我兒子已經長大了
[00:01:57.000 --> 00:01:59.200]  可能已經過了時間
[00:01:59.200 --> 00:02:00.000]  不是
[00:02:00.000 --> 00:02:02.000]  你還有孫子
[00:02:02.000 --> 00:02:03.800]  可能有孫子有孫女
[00:02:03.800 --> 00:02:06.600]  我現在已經跟孫子說很多話
[00:02:06.600 --> 00:02:08.000]  雖然他只有四個月
[00:02:08.000 --> 00:02:09.000]  都不知道我說什麼
[00:02:09.000 --> 00:02:12.400]  不過我覺得在坊間在哪裡
[00:02:12.400 --> 00:02:15.200]  在美國做了一個調查
[00:02:15.200 --> 00:02:16.600]  如果當中是爸爸
[00:02:16.600 --> 00:02:18.000]  不如爸爸先起來
[00:02:18.000 --> 00:02:19.200]  爸爸我想為你們祈禱
[00:02:19.200 --> 00:02:20.400]  如果是父親先起來
[00:02:20.400 --> 00:02:23.200]  我看看我們爸爸的年紀是多少
[00:02:23.200 --> 00:02:24.400]  我們這裡的年紀
[00:02:24.400 --> 00:02:26.600]  不是我們教會的年紀
[00:02:26.600 --> 00:02:28.400]  在美國
[00:02:28.400 --> 00:02:30.800]  我不記得是哈佛還是史丹佛
[00:02:30.800 --> 00:02:32.200]  做了一個調查
[00:02:32.200 --> 00:02:35.600]  他說如果我們的爸爸
[00:02:35.600 --> 00:02:38.200]  我們的小孩只有兩歲以內
