
[00:00:00.000 --> 00:00:02.920]  不單單是很多broken family
[00:00:02.920 --> 00:00:04.920]  broken family通常我們講的都是
[00:00:04.920 --> 00:00:07.200]  那些可能沒有爹地啊 沒有媽咪啊
[00:00:07.200 --> 00:00:10.560]  這樣的一個家庭裏面
[00:00:10.560 --> 00:00:13.000]  就是不得齊全的那些人
[00:00:13.000 --> 00:00:15.340]  可能是其中一個
[00:00:15.340 --> 00:00:16.920]  但是除了broken family之外呢
[00:00:16.920 --> 00:00:18.840]  其實在美國
[00:00:18.840 --> 00:00:21.760]  還有很多所謂dysfunctional的family
[00:00:21.760 --> 00:00:25.400]  或者是功能失調的family
[00:00:25.400 --> 00:00:28.280]  我讀書的時候呢 我是讀社會學的
[00:00:28.280 --> 00:00:30.560]  當我去做一些study的時候 我就發覺
[00:00:30.560 --> 00:00:33.080]  原來在美國的社會當中呢
[00:00:33.080 --> 00:00:35.480]  這個所謂dysfunctional family
[00:00:35.480 --> 00:00:38.640]  功能失調的family 就是家庭
[00:00:38.640 --> 00:00:42.040]  已經成爲美國家庭的主流
[00:00:42.040 --> 00:00:45.800]  如果還有健康的family的話
[00:00:45.800 --> 00:00:49.280]  那些是少數的異類
[00:00:49.280 --> 00:00:52.040]  很特別 很少有的了
[00:00:52.040 --> 00:00:53.440]  因爲原來其實
[00:00:53.440 --> 00:00:55.120]  每個家庭裏面呢
[00:00:55.120 --> 00:00:57.200]  都是有問題的
[00:00:57.200 --> 00:00:59.040]  而當我說到broken family
[00:00:59.040 --> 00:01:01.160]  或者破碎的家庭裏面的時候呢
[00:01:01.160 --> 00:01:03.560]  特別說到所謂fatherlessness
[00:01:03.560 --> 00:01:07.280]  就是無自己親生父親
[00:01:07.280 --> 00:01:11.120]  在家裏面一起長大的那個小朋友呢
[00:01:11.120 --> 00:01:14.200]  那些社會學家用什麼去形容呢
[00:01:14.200 --> 00:01:17.640]  是the plague of fatherlessness
[00:01:17.640 --> 00:01:21.200]  就是無父的瘟疫
[00:01:21.200 --> 00:01:23.440]  如果再去做多些study的時候呢
[00:01:23.440 --> 00:01:25.320]  不單單是無父的瘟疫
[00:01:25.320 --> 00:01:27.000]  已經是蔓延了美國
[00:01:27.000 --> 00:01:31.000]  而且他稱爲man-made plague
[00:01:31.000 --> 00:01:33.400]  是人手做出來的
[00:01:33.400 --> 00:01:36.520]  一個人爲的瘟疫
[00:01:36.520 --> 00:01:37.720]  可能大家不知道的
[00:01:37.720 --> 00:01:39.200]  在美國裏面來說呢
[00:01:39.200 --> 00:01:42.840]  至少有40%的學齡兒童
[00:01:42.840 --> 00:01:45.560]  是不跟他們的生父住在一起的
[00:01:45.560 --> 00:01:46.760]  40%
[00:01:46.760 --> 00:01:49.640]  相當嚴重的問題
[00:01:49.640 --> 00:01:51.800]  如果社會學家告訴我們
[00:01:51.800 --> 00:01:53.920]  這個the plague of fatherlessness
[00:01:53.920 --> 00:01:56.640]  就是無父親的瘟疫呢
[00:01:56.640 --> 00:01:57.840]  那個程度呢
[00:01:57.840 --> 00:01:59.200]  已經是成爲
[00:01:59.200 --> 00:02:01.440]  爲什麼在美國社會里面來說呢
[00:02:01.440 --> 00:02:03.440]  這麼多青少年犯罪的問題
[00:02:03.440 --> 00:02:05.480]  這麼多強姦 這麼多暴力
[00:02:05.480 --> 00:02:07.880]  這麼多抑鬱 自殺
[00:02:07.880 --> 00:02:11.240]  一類這些問題
[00:02:11.240 --> 00:02:13.440]  原來就是歸咎於這個所謂的家裏面
[00:02:13.440 --> 00:02:18.240]  小小一個沒有了一個父親的形象在當中
[00:02:18.240 --> 00:02:19.840]  上個禮拜我們說父親的形象
[00:02:19.840 --> 00:02:20.560]  fatherless 對不對
[00:02:20.560 --> 00:02:24.080]  這禮拜我們說家庭
