
[00:00:00.000 --> 00:00:01.540]  好,各位大型姊妹,早安!
[00:00:01.540 --> 00:00:06.080]  今天就有一些戰經來講這堂道
[00:00:06.080 --> 00:00:09.520]  因為星期六的早上是會講彼得前書
[00:00:09.520 --> 00:00:14.280]  彼得前書裏面有兩段的經文我是較為難去面對的
[00:00:14.280 --> 00:00:16.440]  有一篇的道已經講了
[00:00:16.440 --> 00:00:19.240]  就叫做《忠僕惡主》
[00:00:19.240 --> 00:00:24.360]  彼得教導我們,他說縱使你的主人是彎曲
[00:00:24.360 --> 00:00:26.800]  是很不好、很差
[00:00:26.800 --> 00:00:28.800]  你仍然要去信服他
[00:00:28.800 --> 00:00:31.720]  這真是很難去講的,在這個世代裏面
[00:00:31.720 --> 00:00:33.240]  那篇道已經講了
[00:00:33.240 --> 00:00:37.880]  今天有一段的經文也是較為難去解釋的
[00:00:37.880 --> 00:00:44.240]  就是耶穌下到監獄裏面去向一些靈傳講福音
[00:00:44.240 --> 00:00:46.960]  這一段的經文是較為難去解釋
[00:00:46.960 --> 00:00:50.720]  雖然不是今天整段經文裏面的重點
[00:00:50.720 --> 00:00:53.440]  但我都不可以不去面對的
[00:00:53.440 --> 00:00:57.800]  所以我都祈禱求神讓我有智慧懂得怎樣表達
[00:00:58.000 --> 00:00:59.560]  好,我們領受神的話語之詩
[00:00:59.560 --> 00:01:00.760]  我們先低頭來禱告
[00:01:00.760 --> 00:01:05.680]  「天王,我感謝祢給弟兄姊妹有一個愛慕禮華裕的心
[00:01:05.680 --> 00:01:09.240]  懇求神祢自己親自用祢的靈來啟迪我們
[00:01:09.240 --> 00:01:11.480]  也懇求父神祢自己幫助孩子
[00:01:11.480 --> 00:01:14.840]  叫我所講的信息成為眾弟兄姊妹的幫助
[00:01:14.840 --> 00:01:17.240]  也讓我們知道我們的敬拜
[00:01:17.240 --> 00:01:19.240]  不單單是在乎聽一篇道
[00:01:19.240 --> 00:01:21.760]  也讓我們知道我們剛才口唱心和
[00:01:21.760 --> 00:01:23.360]  歌頌讚美祢
[00:01:23.360 --> 00:01:26.200]  也願意藉著剛才我們所唱的詩歌
[00:01:26.200 --> 00:01:27.760]  成為我們的提醒
[00:01:27.760 --> 00:01:31.760]  讓我們的耳朵聆聽神祢的教導
[00:01:31.760 --> 00:01:35.040]  讓我們的眼睛注目在神祢的榮美上
