
[00:00:00.000 --> 00:00:02.960]  今日「趙命人生」第七講
[00:00:02.960 --> 00:00:05.760]  大家一路聽,不同的牧者
[00:00:05.760 --> 00:00:08.500]  不同的「趙命人生」
[00:00:08.500 --> 00:00:12.500]  在不同的人身上,神有很多不同的帶領
[00:00:12.500 --> 00:00:15.660]  亦都有一些不同的彰顯
[00:00:15.660 --> 00:00:18.000]  當我想「趙命人生」的時候
[00:00:18.000 --> 00:00:20.000]  我又想起我自己究竟是怎樣的呢?
[00:00:20.000 --> 00:00:23.000]  我覺得,就是由一個進程裏面
[00:00:23.000 --> 00:00:28.000]  一出世,我的「趙命」就是要父母給我這樣,要父母給我那樣
[00:00:28.000 --> 00:00:31.000]  總言之,不合我的心意,或者想要買的玩具
[00:00:31.000 --> 00:00:32.000]  就不給,就哭得很煩
[00:00:32.000 --> 00:00:34.000]  所以,我們四兄弟姐妹
[00:00:34.000 --> 00:00:36.000]  我小時候,大家可能會不覺得我是這樣
[00:00:36.000 --> 00:00:39.000]  不過,小時候我是「扭計天王」來的
[00:00:39.000 --> 00:00:42.000]  以及比較大哭包來的
[00:00:42.000 --> 00:00:45.000]  因為哭原來是很大的武器來的
[00:00:45.000 --> 00:00:50.000]  可以令到父母屈就
[00:00:50.000 --> 00:00:52.000]  但是,慢慢長大的時候
[00:00:52.000 --> 00:00:54.000]  我就學了一件事
[00:00:54.000 --> 00:00:56.000]  原來,其實我們...
[00:00:56.000 --> 00:00:58.000]  其實基督教的生命都是這樣
[00:00:58.000 --> 00:01:00.000]  從小時候,就是我要什麼?
[00:01:00.000 --> 00:01:02.000]  我的「趙命」
[00:01:02.000 --> 00:01:06.000]  我要得到別人給我的東西
[00:01:06.000 --> 00:01:08.000]  到長大的時候
[00:01:08.000 --> 00:01:10.000]  聖經裏面告訴我們
[00:01:10.000 --> 00:01:13.000]  我尚未將你造在母腹中
[00:01:13.000 --> 00:01:15.000]  就已經認識你
[00:01:15.000 --> 00:01:18.000]  你未出母胎,我已將你分別為性
[00:01:18.000 --> 00:01:21.000]  派你作列國的先知
[00:01:21.000 --> 00:01:25.000]  當然,這段經文是耶和華神向尼希米先知的呼召
[00:01:25.000 --> 00:01:27.000]  但是,整本的聖經
[00:01:27.000 --> 00:01:29.000]  其實豈不是說
[00:01:29.000 --> 00:01:33.000]  其實神就是一早認識我和你
[00:01:33.000 --> 00:01:35.000]  整本聖經都是這樣告訴我們
[00:01:35.000 --> 00:01:37.000]  一條頭髮都數過
[00:01:37.000 --> 00:01:40.000]  更加是祂已經將祂要你做的事
[00:01:40.000 --> 00:01:42.000]  要派你做的事
[00:01:42.000 --> 00:01:44.000]  是給過你的
[00:01:44.000 --> 00:01:47.000]  問題就是你和我有沒有去找出來
[00:01:47.000 --> 00:01:49.000]  究竟我們的「趙命」人生
[00:01:49.000 --> 00:01:51.000]  仍然停留在「我要什麼」
[00:01:51.000 --> 00:01:53.000]  或者「我想著神要我做什麼」
[00:01:53.000 --> 00:01:56.000]  就不是真的去清楚了解
[00:01:56.000 --> 00:02:00.000]  其實神是怎樣的一位神
[00:02:00.000 --> 00:02:03.000]  祂對我的呼召是一個怎樣的呼召
[00:02:03.000 --> 00:02:05.000]  而最重要的呼召又是什麼呢?
[00:02:05.000 --> 00:02:07.000]  我記得我在成長的時候
[00:02:07.000 --> 00:02:10.000]  在父母從小開始長大的時候
[00:02:10.000 --> 00:02:12.000]  因為大家以前都聽過
