
[00:00:00.000 --> 00:00:03.240]  一年一開始,我們知道每一年一開始
[00:00:03.240 --> 00:00:09.400]  我們都有一些香港的大事回顧
[00:00:09.400 --> 00:00:15.880]  這個大事回顧,今年我用了雅虎在十二月尾
[00:00:15.880 --> 00:00:19.480]  他講香港大事回顧有幾樣重要
[00:00:19.480 --> 00:00:22.680]  我不知道是不是你也在想這幾樣東西
[00:00:22.680 --> 00:00:26.600]  例如他講到社會的飄搖
[00:00:26.600 --> 00:00:29.880]  有六大風眼人物
[00:00:29.880 --> 00:00:34.960]  例如陳同佳刑未投案
[00:00:34.960 --> 00:00:39.160]  例如周梓樂的死因言訊
[00:00:39.160 --> 00:00:43.000]  例如十二個港人潛逃
[00:00:43.000 --> 00:00:47.720]  有一個也挺有趣的,剛纔我猜我們也很同意這些風眼人物
[00:00:47.720 --> 00:00:54.840]  不過有一個很有趣,他提到張竹君連續七十二日不休假
[00:00:54.840 --> 00:00:58.760]  我們知道他的事情
[00:00:58.760 --> 00:01:03.480]  他又提到港龍航空停運
[00:01:03.480 --> 00:01:10.920]  捱過多年,其實是三十年的營運一次過完結了
[00:01:10.920 --> 00:01:13.600]  又講到新冠疫情肆虐
[00:01:13.600 --> 00:01:16.040]  香港人六大改變
[00:01:16.040 --> 00:01:18.720]  例如我們的消費保守了
[00:01:18.720 --> 00:01:22.440]  例如我們放假以往尋找攻略
[00:01:22.440 --> 00:01:27.200]  爲什麼呢?因爲旅行要攻略,現在是無需攻略了
[00:01:27.200 --> 00:01:29.760]  或者港人習慣了網購
[00:01:29.760 --> 00:01:32.520]  習慣了視障社交
[00:01:32.520 --> 00:01:40.200]  還提到全城變成了外賣仔
[00:01:40.200 --> 00:01:44.760]  他說在今晚市等等食肆的時候
[00:01:44.760 --> 00:01:46.560]  很多人都轉型了
[00:01:46.560 --> 00:01:50.000]  中間有很多失業的人士
[00:01:50.000 --> 00:01:54.600]  以往可能是空中少爺
[00:01:54.600 --> 00:01:57.400]  或者以往是飛機師
[00:01:57.400 --> 00:02:01.960]  或者小店的老闆現在都投入做外賣
[00:02:01.960 --> 00:02:08.240]  所以做外賣,他形容外賣仔今天形象大提升
[00:02:08.240 --> 00:02:09.240]  多有趣
[00:02:09.240 --> 00:02:13.200]  他說更成爲了港人的救命職業
[00:02:13.200 --> 00:02:15.800]  如果我們知道外賣
[00:02:15.800 --> 00:02:18.360]  無論deliveroo等等
[00:02:18.360 --> 00:02:21.560]  人數投入這個職業
[00:02:21.560 --> 00:02:23.760]  倍計的增加
[00:02:23.760 --> 00:02:27.440]  他又提到泛民的總辭
[00:02:27.440 --> 00:02:33.320]  30年就已經完了這個議會的路線
[00:02:33.320 --> 00:02:37.680]  也提到實踐國安法這件事
[00:02:37.680 --> 00:02:40.600]  也是港民大事回顧
[00:02:40.600 --> 00:02:43.720]  當然我不知道這個是不是你所想
[00:02:43.720 --> 00:02:46.520]  不過無論社會發生什麼事
[00:02:46.520 --> 00:02:50.680]  我們個人都有很多大事回顧
[00:02:50.680 --> 00:02:52.200]  很多人這麼說
[00:02:52.200 --> 00:02:57.520]  也提到今年2020年好像做了很多事
[00:02:57.520 --> 00:03:00.120]  但是又好像沒做到什麼事
[00:03:00.120 --> 00:03:02.040]  我不知道你是不是這麼想
[00:03:02.040 --> 00:03:08.840]  又這麼說,他說好像2020年很快過
[00:03:08.840 --> 00:03:12.240]  又好像2020年過得很慢
[00:03:12.240 --> 00:03:15.080]  我不知道你怎麼總結2020年
[00:03:15.080 --> 00:03:18.560]  有多少困難或者有多少恩典
[00:03:18.560 --> 00:03:19.840]  其實我們都知道
[00:03:19.840 --> 00:03:23.640]  除了過去,每年我們可以回顧的時候
[00:03:23.640 --> 00:03:27.280]  其實都看到裏面有寫到很多的挑戰
[00:03:27.280 --> 00:03:28.920]  很多的艱難
[00:03:28.920 --> 00:03:32.400]  又想想2021年這個新的開始
[00:03:32.400 --> 00:03:34.560]  究竟是怎樣生髮
[00:03:34.560 --> 00:03:36.640]  可以走到哪裏
[00:03:36.640 --> 00:03:41.160]  究竟2021年年尾的回顧又會是怎樣
[00:03:41.160 --> 00:03:43.600]  我們中間究竟有多少的掙扎
[00:03:43.600 --> 00:03:46.280]  有多少的成長,有多少的反思
[00:03:46.280 --> 00:03:47.920]  我們這樣去面對的時刻
[00:03:47.920 --> 00:03:50.560]  我們用什麼心態去面對
[00:03:50.560 --> 00:03:53.320]  其實我們至少都有很多的智慧
[00:03:53.320 --> 00:03:56.800]  其中一個智慧教導我們面對不同人生的挑戰
[00:03:56.800 --> 00:03:59.080]  有一個故事我們都很熟悉
[00:03:59.080 --> 00:04:02.560]  就叫做三隻小豬
[00:04:02.560 --> 00:04:03.760]  有沒有人聽過
[00:04:03.760 --> 00:04:06.240]  有舉手的吧,一定有
[00:04:06.240 --> 00:04:09.360]  你看一看旁邊那個究竟他是豬還是不是豬
[00:04:09.360 --> 00:04:13.800]  三隻小豬我們都知道,三隻豬
[00:04:13.800 --> 00:04:16.080]  第一隻豬他說到
[00:04:16.080 --> 00:04:19.320]  他用什麼建築這個屋呢
[00:04:19.320 --> 00:04:21.240]  就是用草嘛
[00:04:21.240 --> 00:04:24.200]  他說到接着有隻野狼來到
[00:04:24.200 --> 00:04:26.320]  一口氣轟一吹
[00:04:26.320 --> 00:04:28.440]  這間草屋爛了
[00:04:28.440 --> 00:04:32.800]  接着第一隻小豬他就去到第二隻小豬的屋
[00:04:32.800 --> 00:04:35.600]  第二隻小豬就用木做的
[00:04:35.600 --> 00:04:37.680]  接着這個狼就去找他了
[00:04:37.680 --> 00:04:39.600]  想着可以避一避
[00:04:39.600 --> 00:04:43.880]  誰知道吹兩下就轟爛了
[00:04:43.880 --> 00:04:48.120]  於是這兩隻小豬就去到第三隻小豬的屋
[00:04:48.120 --> 00:04:52.440]  大家記不記得第三隻小豬的屋用什麼建築的
[00:04:52.440 --> 00:04:54.040]  用什麼建築的
[00:04:54.040 --> 00:04:57.160]  用磚啊,沒錯,在家的電影節目都聽到了
[00:04:57.160 --> 00:04:59.040]  很遠的磚
[00:04:59.040 --> 00:05:01.680]  結果這三隻小豬
[00:05:01.680 --> 00:05:03.280]  去到這個磚屋
[00:05:03.280 --> 00:05:05.360]  這個大野狼
[00:05:05.360 --> 00:05:08.720]  吹多久都吹不爛
[00:05:08.720 --> 00:05:12.160]  我不知道你是哪隻豬
[00:05:12.160 --> 00:05:14.600]  但是這個故事告訴我們
[00:05:14.600 --> 00:05:16.320]  很可愛,很簡單
[00:05:16.320 --> 00:05:20.240]  它說豬有三種,行不行?
[00:05:20.240 --> 00:05:23.040]  那我不知道你是哪一種
[00:05:23.040 --> 00:05:25.240]  都是同樣是豬
[00:05:25.240 --> 00:05:28.440]  不過有三種
[00:05:28.440 --> 00:05:31.400]  而它們同樣都建屋
[00:05:31.400 --> 00:05:33.400]  同樣都有根基
[00:05:33.400 --> 00:05:36.520]  不過是三種不同的
[00:05:36.520 --> 00:05:40.880]  但是面對考驗是一樣
[00:05:40.880 --> 00:05:43.960]  結果都是豬
[00:05:43.960 --> 00:05:45.600]  同樣的考驗
[00:05:45.600 --> 00:05:50.800]  但是有三個不同的結局
[00:05:50.800 --> 00:05:54.720]  你說是啊,我小時候都聽過很多這些故事
[00:05:54.720 --> 00:05:58.280]  聽不難,不過要明白
[00:05:58.280 --> 00:06:01.760]  並不是走出來,不是那麼簡單
[00:06:01.760 --> 00:06:05.160]  其實組起這三隻小豬的故事
[00:06:05.160 --> 00:06:06.720]  先在2000年
[00:06:06.720 --> 00:06:09.760]  耶穌說了一個類似的比喻
[00:06:09.760 --> 00:06:12.640]  而當然這個類似的比喻
[00:06:12.640 --> 00:06:17.720]  比起這三隻小豬裏面更具體
[00:06:17.720 --> 00:06:19.520]  遠重要
[00:06:19.520 --> 00:06:23.400]  更加有深遠的影響
[00:06:23.400 --> 00:06:28.640]  這個比喻說有兩種人
[00:06:28.640 --> 00:06:29.920]  都是人
[00:06:29.920 --> 00:06:33.120]  不過有兩種人
[00:06:33.120 --> 00:06:35.120]  有兩個的根基
[00:06:35.120 --> 00:06:37.440]  都是根基,不過兩種
[00:06:37.440 --> 00:06:41.440]  又是面對同樣的考驗
[00:06:41.440 --> 00:06:46.160]  結果有兩個結局
[00:06:46.160 --> 00:06:47.760]  同樣的考驗
[00:06:47.760 --> 00:06:49.240]  同樣都是人
[00:06:49.240 --> 00:06:50.840]  不過有兩種
[00:06:50.840 --> 00:06:52.640]  同樣的根基有兩種
[00:06:52.640 --> 00:06:56.240]  不過結局有兩個
[00:06:56.240 --> 00:06:58.520]  面對同樣的考驗
[00:06:58.520 --> 00:07:01.120]  我不知道大家想起了什麼
[00:07:01.120 --> 00:07:04.280]  在這個困難重擔裏面
[00:07:04.280 --> 00:07:05.960]  每個人都有的
[00:07:05.960 --> 00:07:07.640]  同樣的考驗
[00:07:07.640 --> 00:07:10.680]  問題是我們懂不懂得卸下
[00:07:10.680 --> 00:07:13.400]  我們同樣都面對危機挑戰
[00:07:13.400 --> 00:07:15.920]  問題是我們見到危險
[00:07:15.920 --> 00:07:18.040]  懂不懂得脫險
[00:07:18.040 --> 00:07:19.200]  又或者這麼說
