
[00:00:00.000 --> 00:00:01.880]  各位親愛的弟兄姊妹 祝你平安
[00:00:01.880 --> 00:00:04.160]  非常感恩
[00:00:04.160 --> 00:00:08.160]  就再次能恢復和大家面對面這樣的分享
[00:00:08.160 --> 00:00:09.480]  雖然隔着口罩
[00:00:09.480 --> 00:00:13.800]  這樣的日子呢
[00:00:13.800 --> 00:00:19.120]  使我們想到就是我們能夠相聚並不是一個理所當然的事
[00:00:19.120 --> 00:00:21.560]  應該是上帝的恩典
[00:00:21.560 --> 00:00:23.440]  讓我們能夠在一起
[00:00:23.440 --> 00:00:25.240]  所以倍加珍惜
[00:00:25.240 --> 00:00:26.600]  讓我們來一同禱告
[00:00:28.200 --> 00:00:35.600]  天父上帝我們感謝你讓我們恢復到能夠彼此相聚在一堂共同敬拜你的日子
[00:00:35.600 --> 00:00:37.120]  主要求你賜給我們平安
[00:00:37.120 --> 00:00:38.760]  也賜給我們健康
[00:00:38.760 --> 00:00:43.480]  也讓我們在這動亂的世代當中可以成爲你的見證
[00:00:43.480 --> 00:00:46.240]  主與我們同在 講了聽了求主憐憫
[00:00:46.240 --> 00:00:47.600]  禱告奉耶穌基督的名
[00:00:47.600 --> 00:00:53.600]  我們人類學習的方式呢
[00:00:53.600 --> 00:00:55.360]  其實大致都是差不多的
[00:00:55.360 --> 00:00:58.720]  都是從經驗來學習
[00:00:58.720 --> 00:00:59.160]  不過呢
[00:00:59.160 --> 00:01:01.480]  我們個人的人生短暫
[00:01:01.480 --> 00:01:02.840]  我們的經驗也有限
[00:01:02.840 --> 00:01:05.880]  所以我們就會有些問題去請教別人呢
[00:01:05.880 --> 00:01:11.840]  尤其是那些經歷過很多世事滄桑的老人家
[00:01:11.840 --> 00:01:12.480]  再不濟呢
[00:01:12.480 --> 00:01:14.680]  就是我們會去讀歷史
[00:01:14.680 --> 00:01:16.680]  我們對過去了解的越多呢
[00:01:16.680 --> 00:01:22.040]  其實我們對於今天的判斷就越靠譜
[00:01:22.040 --> 00:01:25.920]  那我們爲明天的預備呢就越有方向
[00:01:25.920 --> 00:01:32.880]  其實在中國的古代的書寫的歷史主要就是用來幫助帝王來治理這個國家的
[00:01:32.880 --> 00:01:37.520]  討論了各過去的這些政策的利弊了
[00:01:37.520 --> 00:01:38.360]  還有呢
[00:01:38.360 --> 00:01:41.800]  讓現代的統治者能夠見古知今
[00:01:41.800 --> 00:01:43.080]  比如說宋代的司馬光
[00:01:43.080 --> 00:01:46.440]  他寫了一本書叫資治通鑑
[00:01:46.440 --> 00:01:49.280]  其實你從書名就知道他修史的目的
[00:01:49.280 --> 00:01:52.160]  就是資就是幫助的意思
[00:01:52.160 --> 00:01:53.280]  治就是治理
[00:01:53.280 --> 00:01:57.760]  幫助君王治理來通鑑的就是以古鑑今
[00:01:57.760 --> 00:02:00.400]  看過去來知今天
[00:02:00.400 --> 00:02:05.800]  這就是歷史在我們人類生活當中存在的價值
[00:02:05.800 --> 00:02:07.000]  其實這一類文字呢
[00:02:07.000 --> 00:02:11.040]  在世界各地古代文明當中都是非常常見的
