
[00:00:00.000 --> 00:00:03.040]  那麼我們今天的講題是
[00:00:03.040 --> 00:00:07.280]  與基督使命接軌
[00:00:07.280 --> 00:00:10.080]  首先考考大家
[00:00:10.080 --> 00:00:13.700]  雲南戀書隊不用回答了,因為上個星期他們在雲南
[00:00:13.700 --> 00:00:16.620]  上個星期第一頁,麻煩一字
[00:00:16.620 --> 00:00:19.580]  Enter,第一頁
[00:00:19.580 --> 00:00:22.580]  上個星期的講道題目是甚麼,大家記不記得
[00:00:22.580 --> 00:00:23.940]  上個星期的講道題目
[00:00:23.940 --> 00:00:25.700]  真是
[00:00:25.700 --> 00:00:29.080]  真是有點失望,連講道題目都忘記了
[00:00:29.080 --> 00:00:32.520]  連內容記不記得,我都還要問
[00:00:32.520 --> 00:00:34.620]  上個星期是誰來講道
[00:00:34.620 --> 00:00:38.460]  是鄺旭庭博士,何執事不在都知道
[00:00:38.460 --> 00:00:40.400]  就是穆福的總幹事
[00:00:40.400 --> 00:00:43.240]  我叫他Cat,我們已經熟悉了
[00:00:43.240 --> 00:00:45.840]  他講的題目是基督的使命
[00:00:45.840 --> 00:00:50.040]  基督的使命,是在路加芬四章十六節三十節
[00:00:50.040 --> 00:00:52.340]  如果你記得上個星期講完紀伊活潑
[00:00:52.340 --> 00:00:54.200]  他講新移民經歷的時候
[00:00:54.200 --> 00:00:56.840]  我們覺得他樣子也很像,那些口吻
[00:00:56.840 --> 00:00:59.620]  但是當他宣讀
[00:00:59.620 --> 00:01:02.160]  宣讀以賽亞書的時候
[00:01:02.160 --> 00:01:04.900]  這個基督的使命,他就有一個很雄厚的聲音
[00:01:04.900 --> 00:01:09.340]  很有權威,我想大家也嘗試模仿這個狀態
[00:01:09.340 --> 00:01:13.380]  基督的使命,耶穌當他要出去傳道的時候
[00:01:13.380 --> 00:01:16.180]  他在會堂打開以賽亞書
[00:01:16.180 --> 00:01:19.160]  就宣讀了這兩節經文,我們一起讀,一二三
[00:01:19.160 --> 00:01:21.260]  主的靈在我身上
[00:01:21.260 --> 00:01:23.400]  因為祂用高高我
[00:01:23.400 --> 00:01:26.200]  叫全福音給貧窮的人
[00:01:26.200 --> 00:01:29.460]  差遣我報告,被擄的得釋放
[00:01:29.460 --> 00:01:31.300]  乞訝的得看見
[00:01:31.300 --> 00:01:33.540]  叫那受壓制的得自由
[00:01:33.540 --> 00:01:37.100]  報告上帝閱立人的欺憐
[00:01:37.100 --> 00:01:39.760]  這個就是耶穌基督的使命
[00:01:39.760 --> 00:01:42.220]  祂被神差遣來到世上
[00:01:42.220 --> 00:01:45.400]  就是要去到貧窮人當中傳揚福音
[00:01:45.400 --> 00:01:47.640]  就是要那些被擄的得釋放
[00:01:47.640 --> 00:01:49.540]  讓乞訝的人得看見
[00:01:49.540 --> 00:01:51.240]  受壓制的人得自由
[00:01:51.240 --> 00:01:53.240]  這個就是基督的使命
[00:01:53.240 --> 00:01:57.600]  而今天,誰能夠去承擔基督的使命
[00:01:57.600 --> 00:02:00.520]  誰能夠繼續將基督的使命傳揚開去
[00:02:00.520 --> 00:02:02.780]  就是我們每一個跟隨基督的人
[00:02:02.780 --> 00:02:05.600]  所以今天的題目就是
[00:02:05.600 --> 00:02:08.820]  與基督的使命接軌
[00:02:08.820 --> 00:02:11.060]  與基督的使命接軌
[00:02:11.060 --> 00:02:14.520]  我們能夠明白基督的使命
[00:02:14.520 --> 00:02:16.240]  和與基督的使命接軌
[00:02:16.240 --> 00:02:19.900]  以致我們能夠將大使命傳揚開去
[00:02:19.900 --> 00:02:25.520]  我當然不用上星期講的那段經文
[00:02:25.520 --> 00:02:30.500]  首先,我們要與基督的裝甲接軌
[00:02:30.500 --> 00:02:32.340]  與基督的禍牆接軌
[00:02:32.340 --> 00:02:34.580]  特別是我們今個月的金句
[00:02:34.580 --> 00:02:35.760]  大家已經很熟悉了
[00:02:35.760 --> 00:02:37.980]  裝甲已經熟了,可以修過了
[00:02:37.980 --> 00:02:39.980]  我們要與裝甲接軌
[00:02:39.980 --> 00:02:44.220]  究竟耶穌基督要我們見到的裝甲是什麼呢?
[00:02:44.220 --> 00:02:46.600]  當耶穌基督臨升的時候
[00:02:46.600 --> 00:02:48.020]  在《少林寺》的一章八節
[00:02:48.020 --> 00:02:50.520]  有很多很熟悉的經文,我們一起讀
[00:02:50.520 --> 00:02:55.460]  「但聖靈降臨在你們身上,你們就必得著能力
[00:02:55.460 --> 00:02:59.940]  並要在耶路撒冷、猶太傳遞、撒瑪尼亞
[00:02:59.940 --> 00:03:02.960]  直到地極作我的見證」
[00:03:02.960 --> 00:03:05.060]  這段經文可能我們會有一個錯覺
[00:03:05.060 --> 00:03:07.360]  因為特別是在《史萊恆傳》裡面
[00:03:07.360 --> 00:03:09.220]  一步一步地
[00:03:09.220 --> 00:03:12.500]  福音先由耶路撒冷開始傳播
[00:03:12.500 --> 00:03:14.700]  接著去到猶太的傳遞
[00:03:14.700 --> 00:03:17.040]  接著再去到撒瑪尼亞
[00:03:17.040 --> 00:03:18.600]  再去到地極
[00:03:18.600 --> 00:03:24.760]  這是當時福音傳遍的一個歷史事實
[00:03:24.760 --> 00:03:28.900]  但到了今時今日,我們怎樣去理解這段經文呢?
[00:03:28.900 --> 00:03:31.720]  我們體會到原來福音
[00:03:31.720 --> 00:03:34.600]  不單止要傳給耶路撒冷
[00:03:34.600 --> 00:03:38.320]  意思是我們周圍同文化,我們很容易接觸的人
[00:03:38.320 --> 00:03:42.380]  也要傳給在我們再遠一點的猶太傳遞
[00:03:42.380 --> 00:03:47.240]  可能是我們同文化、同背景,不過遠一點的人
[00:03:47.240 --> 00:03:51.660]  去到撒瑪尼亞可能是跟我們的文化有些差異
[00:03:51.660 --> 00:03:54.180]  去到地極就是去到再遠一點的地方
[00:03:54.180 --> 00:03:57.020]  而且不是一步步做這麼簡單
[00:03:57.020 --> 00:03:58.900]  也可以說有個「和」字
[00:03:58.900 --> 00:04:02.860]  在希臘文代表著同一時間
[00:04:02.860 --> 00:04:08.120]  發生在耶路撒冷、猶太傳遞、撒瑪尼亞和地極
