
[00:00:00.000 --> 00:00:03.840]  有一個兒子問他爸爸一條數學題
[00:00:03.840 --> 00:00:09.120]  又或者如果你喜歡可以叫他做IQ題
[00:00:09.120 --> 00:00:15.120]  他說爸爸 有三隻青蛙坐在池塘旁邊
[00:00:15.120 --> 00:00:18.840]  其中一隻決定跳進去池塘裡面
[00:00:18.840 --> 00:00:24.760]  池塘旁邊還剩下多少隻青蛙
[00:00:24.760 --> 00:00:26.840]  爸爸說 兩隻
[00:00:26.840 --> 00:00:28.800]  兒子說 錯
[00:00:28.800 --> 00:00:30.840]  爸爸又說 嗯 我知道了
[00:00:30.840 --> 00:00:32.880]  當一隻跳進去的時候
[00:00:32.880 --> 00:00:35.720]  另外兩隻都一起跳
[00:00:35.720 --> 00:00:40.680]  所以池塘旁邊是一隻青蛙都沒有
[00:00:40.680 --> 00:00:43.560]  兒子說 又錯
[00:00:43.560 --> 00:00:45.600]  兒子接著解釋說
[00:00:45.600 --> 00:00:47.960]  你根本沒聽清楚
[00:00:47.960 --> 00:00:53.640]  其中一隻只是決定跳進去池塘裡面
[00:00:53.640 --> 00:00:55.720]  它根本不跳
[00:00:55.720 --> 00:01:01.560]  所以池塘旁邊仍然有三隻青蛙
[00:01:01.560 --> 00:01:03.400]  故事講完了
[00:01:03.400 --> 00:01:09.480]  這個故事像不像我們的新年大計呢
[00:01:09.480 --> 00:01:16.520]  我們只是決定而什麼都沒有做
[00:01:16.520 --> 00:01:20.320]  踏入了2023年 我上個星期講過
[00:01:20.320 --> 00:01:25.560]  也都問過大家你有沒有一些新年大計呢
[00:01:25.560 --> 00:01:28.040]  有一個調查報告
[00:01:28.040 --> 00:01:31.400]  講到十大新年大計是什麼
[00:01:31.400 --> 00:01:39.200]  看一下你那個新年大計有沒有榜上有名
[00:01:39.200 --> 00:01:46.600]  最多的人是盼望更多的時間陪家人 陪朋友
[00:01:46.600 --> 00:01:50.000]  接著就是注意健康 做運動
[00:01:50.000 --> 00:01:53.200]  更加的健美 戒煙
[00:01:53.200 --> 00:01:58.600]  更加享受生活 戒酒 清還寨夢
[00:01:58.600 --> 00:02:02.040]  學一些新的事物 新的技能
[00:02:02.040 --> 00:02:04.680]  包括新的語言
[00:02:04.680 --> 00:02:09.560]  更多的去幫助朋友
[00:02:09.560 --> 00:02:16.040]  最後一樣是更有系統感去管理自己的一切
[00:02:16.040 --> 00:02:20.800]  有沒有講中了你的心聲
[00:02:20.800 --> 00:02:24.840]  有一位牧者和另一位牧者聯絡問他
[00:02:24.840 --> 00:02:27.880]  今個主日你會講些什麼
[00:02:27.880 --> 00:02:31.960]  講題是什麼 章節是什麼
[00:02:31.960 --> 00:02:35.440]  對方說 還沒想到
[00:02:35.440 --> 00:02:38.240]  他說要等聖靈感動我
[00:02:38.240 --> 00:02:42.920]  老實說 這個是沒有計劃的
[00:02:42.920 --> 00:02:47.040]  固然 神可以隨時給我們感召
[00:02:47.040 --> 00:02:51.560]  給我們祂的話語 給我們提醒
[00:02:51.560 --> 00:02:55.040]  我們所當講的
[00:02:55.040 --> 00:02:57.520]  但是 如果是有這樣的情況
[00:02:57.520 --> 00:03:00.200]  我們就將計劃改變
[00:03:00.200 --> 00:03:04.480]  而不是計劃本身就是沒有計劃
[00:03:04.480 --> 00:03:09.120]  也不是什麼計劃都沒有
[00:03:09.120 --> 00:03:11.960]  有一句話是這樣講的
[00:03:11.960 --> 00:03:18.880]  If you fail to plan, you plan to fail
[00:03:18.880 --> 00:03:21.080]  如果你沒有計劃的話
[00:03:21.080 --> 00:03:24.240]  你的什麼計劃都沒有
[00:03:24.240 --> 00:03:31.360]  又或者 你計劃什麼都沒有用
[00:03:31.360 --> 00:03:36.640]  所以 plan 計劃很重要
[00:03:36.640 --> 00:03:40.960]  剛才講的 什麼十大新年大計
[00:03:40.960 --> 00:03:45.080]  其實這十項都是有一個共通點的
[00:03:45.080 --> 00:03:47.280]  我不知道大家有沒有留意到
[00:03:47.280 --> 00:03:49.320]  我剛才已經逐項講了給大家聽
[00:03:49.320 --> 00:03:51.520]  我們再看一次
[00:03:51.520 --> 00:03:53.760]  看不看到它們有什麼共通點
[00:03:53.760 --> 00:03:58.800]  有什麼大家相同的地方
[00:03:58.800 --> 00:04:02.240]  沒錯 就是它們完完全全
[00:04:02.240 --> 00:04:06.800]  和你的屬靈生活是沒有關係的
[00:04:06.800 --> 00:04:08.640]  完全沒有提及神
[00:04:08.640 --> 00:04:11.080]  完全將神秉鑄門外
[00:04:11.080 --> 00:04:19.240]  完全將神秉鑄在他們的生活以外
[00:04:19.240 --> 00:04:24.880]  你想你今年的新年大計成功實現嗎?
[00:04:24.880 --> 00:04:28.280]  過去 你可能是個人的投資
[00:04:28.280 --> 00:04:33.240]  遇上了困難是獨家的注資
[00:04:33.240 --> 00:04:38.520]  今年 讓我再一次清晰的提醒你
[00:04:38.520 --> 00:04:45.800]  你的新年大計將會是注定失敗
[00:04:45.800 --> 00:04:50.880]  分別就是 你究竟會在2月的時候
[00:04:50.880 --> 00:04:52.680]  才宣告失敗
[00:04:52.680 --> 00:04:58.800]  還是在5月的時候才徹底投降
[00:04:58.800 --> 00:05:02.320]  除非 除非你不是獨資經營
[00:05:02.320 --> 00:05:06.800]  不是 sole proprietorship 不是 sole ownership
[00:05:06.800 --> 00:05:13.480]  而是 join venture 參加一個合作計劃
[00:05:13.480 --> 00:05:16.200]  你或者會說 等一下 等一下
[00:05:16.200 --> 00:05:19.800]  我都沒有說我要有什麼新年大計
[00:05:19.800 --> 00:05:22.480]  說什麼合作計劃
[00:05:22.480 --> 00:05:25.960]  John Piper 牧師他寫了一篇靈修
[00:05:25.960 --> 00:05:27.480]  是一個很好的提醒
[00:05:27.480 --> 00:05:33.080]  他引用希伯來書十章二十四節
[00:05:33.080 --> 00:05:41.000]  他說 又要彼此相顧 激發愛心 勉勵行善
[00:05:41.000 --> 00:05:43.200]  在這篇靈修裡面他開始說
[00:05:43.200 --> 00:05:45.520]  當你早上起床的時候
[00:05:45.520 --> 00:05:48.520]  面對著新的一天
[00:05:48.520 --> 00:05:53.760]  你對自己說 你對這一天你的盼望是什麼?
[00:05:53.760 --> 00:05:59.040]  當你由這一天的開始到這一天的結束的時候
[00:05:59.040 --> 00:06:02.560]  因為你已經活了整整一天了
[00:06:02.560 --> 00:06:07.360]  你想要在這一天裡面發生什麼事情?
[00:06:07.360 --> 00:06:10.960]  再去一步 再闊一些近期
[00:06:10.960 --> 00:06:15.640]  當你由一年的開始到一年的結束的時候
[00:06:15.640 --> 00:06:20.960]  因為你已經真真實實地活了這一年了
[00:06:20.960 --> 00:06:26.040]  你又想在這一年裡面發生什麼呢?
[00:06:26.040 --> 00:06:30.600]  如果你說 我不這樣認為
[00:06:30.600 --> 00:06:37.480]  我只是每一天起床 做我應該要做的事情而已
