
[00:00:00.000 --> 00:00:03.400]  但其他資料就不清楚是何時寫的
[00:00:03.400 --> 00:00:04.400]  為何不知道呢?
[00:00:04.400 --> 00:00:08.960]  因為大衛的申評裏面有兩段時間都在抗疫裏面
[00:00:08.960 --> 00:00:12.360]  第一段時間 我忘了是上年還是前年
[00:00:12.360 --> 00:00:14.600]  我已經將大衛的申明講了一半
[00:00:14.600 --> 00:00:17.400]  我打算在2022年會講下半部
[00:00:17.400 --> 00:00:20.840]  上半部在薩姆爾記上23章都記載了
[00:00:20.840 --> 00:00:25.840]  大衛被他的愛婦數羅王追殺
[00:00:25.840 --> 00:00:30.400]  因為數羅王妒忌大衛 擔心他將來會奪去皇位
[00:00:30.400 --> 00:00:31.880]  所以想追殺大衛
[00:00:31.880 --> 00:00:35.760]  大衛就逃亡到抗疫的地方
[00:00:35.760 --> 00:00:37.680]  第二個可能的經歷就是
[00:00:37.680 --> 00:00:41.320]  大衛終於成為了以色列的王
[00:00:41.320 --> 00:00:43.320]  反過來被自己的兒子追殺
[00:00:43.320 --> 00:00:46.440]  因為阿沙隆想謀朝篡位 奪位
[00:00:46.440 --> 00:00:49.240]  大衛就要逃亡離開
[00:00:49.240 --> 00:00:52.400]  所以亦都經歷了一個不容易的經歷
[00:00:52.400 --> 00:00:55.680]  大衛有兩段時間在抗疫
[00:00:55.680 --> 00:00:57.680]  但最特別的是
[00:00:57.680 --> 00:01:01.480]  大衛不是被敵人追殺
[00:01:01.480 --> 00:01:02.840]  被誰追殺?
[00:01:02.840 --> 00:01:04.440]  被自己的家人追殺
[00:01:04.440 --> 00:01:05.840]  被自己的愛婦追殺
[00:01:05.840 --> 00:01:07.520]  被自己的親生兒子追殺
[00:01:07.520 --> 00:01:10.720]  我想這對於大衛來說是一個最難的經歷
[00:01:10.720 --> 00:01:13.760]  但如果你看《詩篇》第63篇
[00:01:13.760 --> 00:01:15.280]  你會聽到的
[00:01:15.280 --> 00:01:19.120]  你會留意到大衛仍然充滿著喜樂
[00:01:19.120 --> 00:01:23.200]  仍然能夠在抗疫中經歷上帝的平安
[00:01:23.200 --> 00:01:24.200]  為何做到呢?
