
[00:00:00.000 --> 00:00:05.000]  好 今日呢我哋去到薩姆爾基上十五章
[00:00:05.000 --> 00:00:09.440]  題目係 誰是我的老闆
[00:00:09.440 --> 00:00:12.880]  邊個係我的老闆
[00:00:12.880 --> 00:00:16.400]  我諗近排呢個禮拜都係熱話
[00:00:16.400 --> 00:00:18.000]  其中一個好重要嘅熱話呢
[00:00:18.000 --> 00:00:23.000]  就係第94屆奧斯卡金像獎
[00:00:23.000 --> 00:00:26.480]  咁裡面其中一個幕呢我估都係史無前例啦
[00:00:26.480 --> 00:00:28.880]  亦都呢之後會唔會再發生我哋都唔知
[00:00:28.880 --> 00:00:30.840]  不過呢的確係非常驚人
[00:00:30.840 --> 00:00:36.800]  就話說有Chris Rock 克里斯
[00:00:36.800 --> 00:00:43.280]  佢當時係負責頒獎一個最佳紀錄片嘅獎
[00:00:43.280 --> 00:00:48.600]  而喺佢獻詞嘅時候呢佢就用咗另一個荷里活巨星
[00:00:48.600 --> 00:00:51.560]  呢一個叫Will Smith嘅太太
[00:00:51.560 --> 00:00:55.240]  佢個脫髮呢開咗個玩笑
[00:00:55.240 --> 00:00:59.440]  咁開完玩笑之後呢嗰一刻呢呢個呢史密斯
[00:00:59.440 --> 00:01:03.000]  即係Will Smith本來都笑得好開心嘅鏡頭見到
[00:01:03.000 --> 00:01:05.320]  但係鏡頭一轉到佢太太呢
[00:01:05.320 --> 00:01:09.280]  發現佢太太嘩係個樣都改變埋
[00:01:09.280 --> 00:01:14.960]  跟住呢隨即見到史密斯大步走上台
[00:01:14.960 --> 00:01:17.880]  跟住呢就好驚人嘅動作
[00:01:17.880 --> 00:01:23.160]  就係做咗呢幾下大力掌摑呢個嘉賓
[00:01:23.160 --> 00:01:25.000]  克里斯呢個頒獎嘉賓
[00:01:25.000 --> 00:01:28.040]  而頒獎嘉賓其實本身係個諧星嚟㗎
[00:01:28.040 --> 00:01:34.160]  所以呢佢講幽默嘅笑話都係佢常作嘅事
[00:01:34.160 --> 00:01:36.760]  當呢個大力掌摑之後呢
[00:01:36.760 --> 00:01:41.920]  亦都加上呢個史密斯呢隨後呢
[00:01:41.920 --> 00:01:44.560]  用粗口破口大罵
[00:01:44.560 --> 00:01:49.160]  所以呢令到全場呢都震驚
[00:01:49.160 --> 00:01:50.840]  係好驚嚇嘅事
