
[00:00:00.000 --> 00:00:04.340]  我哋到今日仍然都係講生命記
[00:00:04.340 --> 00:00:07.040]  生命記大家都知道
[00:00:07.040 --> 00:00:10.800]  摩西係對以色列人
[00:00:10.800 --> 00:00:16.240]  第二代準備入加南地嘅以色列人
[00:00:16.240 --> 00:00:18.240]  佢哋一個教訓
[00:00:18.240 --> 00:00:20.240]  去到喺呢度
[00:00:20.240 --> 00:00:23.120]  生命記十三章一到十八節
[00:00:23.120 --> 00:00:25.120]  係一個好重要嘅教訓
[00:00:25.120 --> 00:00:28.160]  呢個教訓可以影響到
[00:00:28.160 --> 00:00:32.960]  以色列人佢哋存亡嘅一個教訓
[00:00:32.960 --> 00:00:37.440]  因為以色列人之所以成為一個好獨特嘅民族
[00:00:37.440 --> 00:00:40.080]  就係神特別呼召佢哋
[00:00:40.080 --> 00:00:43.200]  要佢哋專心倚靠神
[00:00:43.200 --> 00:00:45.200]  專心去仰望神
[00:00:45.200 --> 00:00:47.200]  造神嘅子民
[00:00:47.200 --> 00:00:50.240]  但係第十三章呢度就係講到
[00:00:50.240 --> 00:00:54.480]  佢哋呢個嘅民群眾
[00:00:54.480 --> 00:00:56.080]  佢哋呢個民族
[00:00:56.080 --> 00:00:59.760]  可唔可以繼續去存在
[00:00:59.760 --> 00:01:03.520]  繼續去做神要佢做嘅使命
[00:01:03.520 --> 00:01:05.520]  呢個就係一個挑戰
[00:01:05.520 --> 00:01:09.840]  呢個挑戰就係佢哋將會面對偶像
[00:01:09.840 --> 00:01:11.120]  好多嘅人有
[00:01:11.120 --> 00:01:15.040]  好多嘅一啲嘅唔同嘅勢力
[00:01:15.040 --> 00:01:19.120]  唔同嘅力量拉扯佢哋
[00:01:19.120 --> 00:01:21.120]  去拜偶像
[00:01:21.120 --> 00:01:24.720]  唔去拜至高至真嘅真神
[00:01:24.720 --> 00:01:27.760]  因此喺十三章裏面
[00:01:27.760 --> 00:01:31.760]  啲卷書係教訓以色列人就係
[00:01:31.760 --> 00:01:34.560]  佢哋要嚴防偶像
[00:01:34.560 --> 00:01:37.520]  而神要求嘅佢哋就係
[00:01:37.520 --> 00:01:41.360]  單單嘅去聽從神自己嘅話語
[00:01:41.360 --> 00:01:44.960]  大家知道聽從嘅意思就唔係
[00:01:44.960 --> 00:01:48.800]  左耳入右耳出嗰啲唔算聽從
[00:01:48.800 --> 00:01:52.160]  聽從係聽命於神
[00:01:52.160 --> 00:01:56.320]  神話要你去就去要你停就停
[00:01:56.320 --> 00:01:59.840]  要你生命裏面有改變嘅時候
[00:01:59.840 --> 00:02:01.840]  就係要改變
[00:02:01.840 --> 00:02:04.000]  神要求我哋嘅嘢
[00:02:04.000 --> 00:02:07.040]  透過神自己嘅話語聖經
[00:02:07.040 --> 00:02:10.080]  透過聖靈對我哋講嘅說話
[00:02:10.080 --> 00:02:12.080]  我哋係要聽從
[00:02:12.080 --> 00:02:15.680]  要跟佢嘅吩咐去做
[00:02:15.680 --> 00:02:19.760]  呢個就係生命記第十三章
[00:02:19.760 --> 00:02:25.760]  佢所教導我哋嘅主要嘅訊息
[00:02:25.760 --> 00:02:28.800]  有時我哋會話生命記
[00:02:28.800 --> 00:02:32.480]  佢哋係講緊摩西嘅時代嘅嘢啫
[00:02:32.480 --> 00:02:34.800]  呢個比秦始皇仲要早嘅
[00:02:34.800 --> 00:02:36.720]  一段嘅歷史
[00:02:36.720 --> 00:02:38.640]  同我哋有關嗎
[00:02:38.640 --> 00:02:40.000]  係有關嘅
[00:02:40.000 --> 00:02:42.560]  係好密切有關
[00:02:42.560 --> 00:02:45.120]  因為現代人其實不知不覺
[00:02:45.120 --> 00:02:48.480]  都將偶像擺咗佢心裏面
[00:02:48.480 --> 00:02:52.320]  有時擺到佢唔知佢拜偶像
[00:02:52.320 --> 00:02:54.320]  我哋話拜偶像就係
[00:02:54.320 --> 00:02:57.440]  有一啲嘢係代替咗神
[00:02:57.440 --> 00:03:01.120]  有啲嘢將我哋嘅精神注意力
[00:03:01.120 --> 00:03:02.880]  都集中喺嗰樣地方
[00:03:02.880 --> 00:03:04.880]  唔係集中喺神嗰啲
[00:03:04.880 --> 00:03:09.040]  嗰啲我哋錯集中嗰啲嘅對象
[00:03:09.040 --> 00:03:12.160]  就係偶像
[00:03:12.160 --> 00:03:14.800]  因此大兄姐妹我哋心裏面
[00:03:14.800 --> 00:03:18.640]  好可能有好多嘅偶像我哋都唔知道
[00:03:18.640 --> 00:03:20.640]  求神憐憫我哋
[00:03:20.640 --> 00:03:22.880]  喺今天我哋可以睇到
[00:03:22.880 --> 00:03:27.120]  神係藉住摩西嘅一段嘅說話
[00:03:27.120 --> 00:03:30.080]  點樣提醒我哋好好嘅
[00:03:30.080 --> 00:03:32.160]  去做主嘅門徒
[00:03:32.160 --> 00:03:35.520]  聽從主嘅話語
[00:03:35.520 --> 00:03:38.640]  基督徒嘅生命其實係一個爭戰
[00:03:38.640 --> 00:03:41.280]  有時嘅爭戰好猛烈
[00:03:41.280 --> 00:03:44.480]  一埋牙你就知道要打啦
[00:03:44.480 --> 00:03:48.880]  但有時嘅爭戰係默默咁樣嚟
[00:03:48.880 --> 00:03:50.960]  喺呢一章嘅經文
[00:03:50.960 --> 00:03:53.760]  都有唔同類型嘅爭戰
[00:03:53.760 --> 00:03:57.040]  咁我一陣間睇經文嘅時候又會睇到
