
[00:00:00.000 --> 00:00:04.300]  今天我和大家分享的《老家福音》一段經文
[00:00:04.300 --> 00:00:08.300]  題目是「珍惜主愛」
[00:00:08.300 --> 00:00:20.000]  我會從《老家記載著耶穌生命的最後階段》的內容裡面
[00:00:20.000 --> 00:00:24.900]  透過耶穌的兩個呼求,父話的呼求
[00:00:24.900 --> 00:00:29.700]  和一個英文,英文是罪犯的英文的說話
[00:00:29.700 --> 00:00:37.100]  來去反思這位充滿著連愛的主耶穌
[00:00:37.100 --> 00:00:41.600]  祂對我們的恩情
[00:00:41.600 --> 00:00:45.600]  我們是怎樣來去接收、理解呢?
[00:00:45.600 --> 00:00:49.900]  我們怎樣能夠在經文裡面從歷史的角度
[00:00:49.900 --> 00:00:56.000]  向我們今天的現實生命做一個比較
[00:00:56.000 --> 00:01:02.400]  去反省今天我們對耶穌那份感恩之心有多少呢?
[00:01:02.400 --> 00:01:05.300]  這是我希望在經文當中
[00:01:05.300 --> 00:01:07.500]  亦都是我在預備這段經文的時候
[00:01:07.500 --> 00:01:11.100]  帶出一份很大的感受
[00:01:11.100 --> 00:01:14.800]  讓我們一起同心吐高
[00:01:14.800 --> 00:01:19.800]  祝求祢都給我們有祢而來的感動
[00:01:19.800 --> 00:01:23.100]  願聖靈進入我們心中
[00:01:23.100 --> 00:01:29.000]  願聖靈帶領著我不配的人來傳講祢的話語
[00:01:29.000 --> 00:01:33.900]  讓我們一起同心地領受祢豐富的恩典
[00:01:33.900 --> 00:01:39.800]  讓我們再次思考、回憶祢給我們的恩情
[00:01:39.800 --> 00:01:43.000]  昔日的、現在的
[00:01:43.000 --> 00:01:49.500]  我們更好地去反省自己是一種什麼光徑
[00:01:49.500 --> 00:01:52.100]  求主監察我們、帶領我們
[00:01:52.100 --> 00:01:54.100]  禱告奉耶穌基督聖名祈求
[00:01:54.100 --> 00:01:58.000]  阿們
[00:01:58.000 --> 00:02:01.000]  耶穌要離開了
[00:02:01.000 --> 00:02:05.500]  祂要進入祂生命裡面最後的階段
[00:02:05.500 --> 00:02:07.800]  死亡
[00:02:07.800 --> 00:02:11.500]  這個場景亦都讓我勾起了很多很多
[00:02:11.500 --> 00:02:15.800]  我去很多傷感的場面
[00:02:15.800 --> 00:02:20.300]  無論是機場的送別
[00:02:20.300 --> 00:02:25.900]  在我們俗稱的大酒店的送別
[00:02:25.900 --> 00:02:30.100]  在醫院裡面的那種陪伴
[00:02:30.100 --> 00:02:35.600]  很多時候我都體會到那種依依不捨的心情
[00:02:35.600 --> 00:02:38.200]  有短暫的離別
[00:02:38.200 --> 00:02:43.500]  有一個長期的、深遠的離別
[00:02:43.500 --> 00:02:46.500]  似乎生與死之間
[00:02:46.500 --> 00:02:51.700]  往往就在這種場面裡面呈現出來
[00:02:51.700 --> 00:02:57.400]  那種帶給我們深情的衝擊
[00:02:57.400 --> 00:03:01.000]  耶穌要離開了
[00:03:01.000 --> 00:03:03.000]  或者我們要問
[00:03:03.000 --> 00:03:05.400]  耶穌記掛的是什麼呢?
[00:03:05.400 --> 00:03:09.100]  如果你是當事人
[00:03:09.100 --> 00:03:13.200]  你將要與你所愛的人離別
[00:03:13.200 --> 00:03:17.400]  你會記掛著什麼呢?
[00:03:17.400 --> 00:03:21.800]  做長輩的、記掛著的往往是年輕一輩
[00:03:21.800 --> 00:03:26.700]  他們的需要、他們的未來
