
[00:00:00.000 --> 00:00:06.000]  今日開始我哋會講一個新嘅講道系列我哋一齊睇彈爾里書
[00:00:06.000 --> 00:00:12.000]  咁彈爾里書呢就係記錄咗一個舊約嘅人物彈爾里
[00:00:12.000 --> 00:00:20.000]  喺巴比倫王朝同埋後期嘅波斯閣裏面列到係去復師當時呢兩個嘅王國
[00:00:20.000 --> 00:00:26.000]  咁雖然呢呢一卷嘅書卷呢就已經係2000距離今日2600年咁耐
[00:00:26.000 --> 00:00:36.000]  但當中裏面呢好多個的屬靈嘅教訓或者係裏面嘅預言呢對我哋今日活在今天嘅基督徒相當嘅重要
[00:00:36.000 --> 00:00:47.000]  咁我哋呢通過呢一個嘅書卷我哋都通過信心嘅角度嚟到喺同去學習呢卷書卷裏面要學嘅屬靈功課
[00:00:47.000 --> 00:00:56.000]  今日呢就讓我哋從第一章開始我哋今日嘅畀呢一個第一章嘅信息嘅題目係不染世俗嘅信心
[00:00:56.000 --> 00:01:04.000]  呢個故事呢就開始嘅時候呢就記載話呢就係喺猶大王約瓦競在位嘅第三年
[00:01:04.000 --> 00:01:17.000]  咁嗰個嘅時候呢耶路撒冷呢就係被圍困住㗎咁冇幾耐呢呢一個嘅國家就淪陷被當時嘅巴比倫帝國就攻陷咗
[00:01:17.000 --> 00:01:24.000]  咁發生呢就係呢一個嘅主前605年我哋跳落下一張係主前605年
[00:01:24.000 --> 00:01:36.000]  咁喺亡國嘅前後呢嗰段嘅時間呢猶大人呢就有三次被敵軍擄到去敵國嘅裏面
[00:01:36.000 --> 00:01:55.000]  咁而第一批呢嘅其中一個呢就係今日嘅故事主角丹爾里啦咁我哋可以想像下當時嘅情景一個因為打敗仗而被擄到去其他國家嘅戰敗者大家想像下能夠保持到佢哋嗰條命
[00:01:55.000 --> 00:02:15.000]  可以講已經好幸運㗎啦係咪但如果我從聖雅經文裏面話畀我哋聽下丹爾里個幸運度嘅地步呢被太監長嚟到係選中畀佢有特別嘅優待特別嘅訓練兼且可以享受黃嘅扇同埋黃嘅酒
[00:02:15.000 --> 00:02:26.000]  咁呢就準備佢喺黃面前嚟到係去試立㗎我想大家想一想如果你係丹爾里呀你會點樣睇呢一個嘅機會呀
[00:02:26.000 --> 00:02:47.000]  我相信大家都明白呀當人喺苦難嘅裏面好希望一定會好希望呢得到過度過到一啲嘅平安安息嘅生活㗎係咪但係你同一個俘虜嘅地位突然之間成為巴比倫王嘅一個後備精英
[00:02:47.000 --> 00:03:08.000]  同埋呢種嘅經呢種嘅功名利祿嘅誘惑可以想得好大㗎我相信未認真經歷過貧窮嘅人呢佢係唔會領略到喺貧窮當中拒絕不義之財嘅嗰種嘅誘惑係嗰種嘅能力係幾咁可貴呀
